"state","pre","post"
"Alabama",70,74
"Alabama",48,81
"Alabama",NA,71
"Alabama",70,47
"Alabama",70,70
"Alabama",77,71
"Alabama",74,84
"Alabama",69,80
"Alabama",58,31
"Alabama",74,71
"Alabama",77,71
"Alabama",70,54
"Alabama",62,NA
"Alabama",43,62
"Alabama",62,70
"Alabama",27,40
"Alabama",64,12
"Alabama",69,40
"Alabama",NA,30
"Alabama",69,71
"Alabama",76,NA
"Alabama",62,NA
"Alabama",54,65
"Alabama",54,54
"Alabama",49,54
"Alabama",56,20
"Alabama",56,38
"Alabama",48,50
"Alabama",66,NA
"Alabama",64,63
"Alabama",50,34
"Alabama",81,59
"Alabama",64,51
"Alabama",40,62
"Alabama",89,NA
"Alabama",64,77
"Alabama",33,41
"Alabama",73,58
"Alabama",70,77
"Alabama",61,63
"Alabama",44,30
"Alabama",66,NA
"Alabama",71,71
"Alabama",43,NA
"Alabama",69,67
"Alabama",57,36
"Alabama",98,33
"Alabama",67,59
"Alabama",62,54
"Alabama",56,37
"Alabama",37,NA
"Alabama",82,57
"Alabama",66,NA
"Alabama",67,87
"Alabama",71,71
"Alabama",79,61
"Alabama",35,74
"Alabama",42,59
"Alabama",38,78
"Alabama",46,39
"Alabama",74,NA
"Alabama",70,43
"Alabama",79,67
"Alabama",NA,63
"Alabama",59,51
"Alabama",35,49
"Alabama",72,64
"Alabama",65,52
"Alabama",70,43
"Alabama",59,64
"Alabama",45,NA
"Alabama",77,NA
"Alabama",78,78
"Alabama",57,35
"Alabama",58,33
"Alabama",54,52
"Alabama",59,40
"Alabama",67,53
"Alabama",81,45
"Alabama",71,97
"Alabama",49,NA
"Alabama",71,39
"Alabama",66,53
"Alabama",65,NA
"Alabama",57,62
"Alabama",77,49
"Alabama",65,NA
"Alabama",NA,NA
"Alabama",53,39
"Alabama",70,40
"Alabama",82,72
"Alabama",52,47
"Alabama",27,NA
"Alabama",68,53
"Alabama",68,87
"Alabama",47,49
"Alabama",NA,54
"Alabama",55,79
"Alabama",62,62
"Alabama",52,NA
"Alabama",NA,42
"Alabama",82,49
"Alabama",NA,59
"Alabama",49,43
"Alabama",66,70
"Alabama",NA,76
"Alabama",42,63
"Alabama",76,29
"Alabama",52,50
"Alabama",79,56
"Alabama",52,19
"Alabama",80,89
"Alabama",72,NA
"Alabama",60,49
"Alabama",47,41
"Alabama",62,31
"Alabama",64,NA
"Alabama",NA,55
"Alabama",79,68
"Alabama",57,47
"Alabama",59,44
"Alabama",73,72
"Alabama",61,NA
"Alabama",46,60
"Alabama",42,23
"Alabama",67,NA
"Alabama",62,81
"Alabama",47,76
"Alabama",93,37
"Alabama",71,54
"Alabama",75,NA
"Alabama",NA,92
"Alabama",42,72
"Alabama",61,66
"Alabama",NA,NA
"Alabama",97,58
"Alabama",60,NA
"Alabama",54,91
"Alabama",48,49
"Alabama",87,51
"Alabama",NA,72
"Alabama",57,58
"Alabama",57,60
"Alabama",67,52
"Alabama",57,94
"Alabama",61,39
"Alabama",79,64
"Alabama",58,51
"Alabama",39,70
"Alabama",50,62
"Alabama",67,82
"Alabama",79,83
"Alabama",70,51
"Alabama",36,70
"Alabama",53,64
"Alabama",48,68
"Alabama",76,NA
"Alabama",53,70
"Alabama",42,NA
"Alabama",68,80
"Alabama",45,73
"Alabama",73,48
"Alabama",53,56
"Alabama",55,68
"Alabama",41,73
"Alabama",61,79
"Alabama",89,64
"Alabama",71,82
"Alabama",64,57
"Alabama",68,53
"Alabama",79,NA
"Alabama",50,NA
"Alabama",96,48
"Alabama",40,60
"Alabama",76,64
"Alabama",71,62
"Alabama",64,60
"Alabama",69,NA
"Alabama",61,59
"Alabama",47,71
"Alabama",60,55
"Alabama",76,64
"Alabama",70,42
"Alabama",57,58
"Alabama",66,50
"Alabama",69,70
"Alabama",33,93
"Alabama",60,85
"Alabama",66,NA
"Alabama",62,57
"Alabama",59,65
"Alabama",61,NA
"Alabama",63,27
"Alabama",79,67
"Alabama",49,54
"Alabama",77,45
"Alabama",41,NA
"Alabama",64,63
"Alabama",76,63
"Alabama",NA,NA
"Alabama",51,89
"Alabama",40,46
"Alabama",77,56
"Alabama",NA,53
"Alabama",90,51
"Alabama",68,71
"Alabama",51,63
"Alabama",NA,67
"Alabama",78,58
"Alabama",50,77
"Alabama",54,63
"Alabama",83,51
"Alabama",63,75
"Alabama",61,61
"Alabama",66,63
"Alabama",70,40
"Alabama",54,48
"Alabama",45,58
"Alabama",85,71
"Alabama",45,20
"Alabama",38,84
"Alabama",50,NA
"Alabama",57,71
"Alabama",40,78
"Alabama",79,52
"Alabama",69,NA
"Alabama",60,80
"Alabama",NA,64
"Alabama",44,73
"Alabama",72,53
"Alabama",45,47
"Alabama",NA,43
"Alabama",NA,60
"Alabama",58,84
"Alabama",59,NA
"Alabama",54,64
"Alabama",73,67
"Alabama",81,57
"Alabama",56,NA
"Alabama",NA,61
"Alabama",63,88
"Alabama",48,87
"Alabama",NA,53
"Alabama",66,97
"Alabama",67,59
"Alabama",70,53
"Alabama",57,80
"Alabama",NA,52
"Alabama",70,64
"Alabama",85,51
"Alabama",63,53
"Alabama",72,57
"Alabama",NA,40
