"state","pre","post"
"Alaska",51,43
"Alaska",61,NA
"Alaska",34,56
"Alaska",37,NA
"Alaska",34,57
"Alaska",40,29
"Alaska",72,44
"Alaska",48,63
"Alaska",49,16
"Alaska",46,58
"Alaska",48,NA
"Alaska",54,55
"Alaska",86,58
"Alaska",43,54
"Alaska",51,63
"Alaska",54,61
"Alaska",53,36
"Alaska",32,53
"Alaska",39,86
"Alaska",73,62
"Alaska",47,57
"Alaska",82,45
"Alaska",69,NA
"Alaska",58,NA
"Alaska",59,47
"Alaska",NA,NA
"Alaska",47,42
"Alaska",50,32
"Alaska",16,30
"Alaska",31,58
"Alaska",68,33
"Alaska",59,43
"Alaska",53,47
"Alaska",92,NA
"Alaska",26,NA
"Alaska",69,NA
"Alaska",NA,NA
"Alaska",32,28
"Alaska",30,47
"Alaska",NA,41
"Alaska",60,NA
"Alaska",24,66
"Alaska",48,NA
"Alaska",44,NA
"Alaska",40,54
"Alaska",45,57
"Alaska",59,45
"Alaska",50,NA
"Alaska",42,62
"Alaska",81,73
"Alaska",NA,54
"Alaska",45,63
"Alaska",59,31
"Alaska",NA,59
"Alaska",54,82
"Alaska",33,56
"Alaska",NA,64
"Alaska",35,38
"Alaska",NA,35
"Alaska",55,NA
"Alaska",44,43
"Alaska",41,70
"Alaska",39,38
"Alaska",80,46
"Alaska",47,57
"Alaska",74,57
"Alaska",51,67
"Alaska",43,79
"Alaska",72,43
"Alaska",21,NA
"Alaska",75,47
"Alaska",44,22
"Alaska",58,51
"Alaska",58,41
"Alaska",42,49
"Alaska",38,16
"Alaska",58,60
"Alaska",NA,30
"Alaska",41,46
"Alaska",58,37
"Alaska",NA,70
"Alaska",27,50
"Alaska",67,58
"Alaska",50,30
"Alaska",66,67
"Alaska",NA,NA
"Alaska",73,62
"Alaska",49,NA
"Alaska",32,39
"Alaska",58,NA
"Alaska",34,NA
"Alaska",37,64
"Alaska",NA,NA
"Alaska",NA,52
"Alaska",40,22
"Alaska",69,NA
"Alaska",60,53
"Alaska",68,NA
"Alaska",43,40
"Alaska",65,77
"Alaska",41,NA
"Alaska",40,41
"Alaska",46,54
"Alaska",59,47
"Alaska",NA,44
"Alaska",35,45
"Alaska",46,62
"Alaska",57,7
"Alaska",43,NA
"Alaska",29,62
"Alaska",48,65
"Alaska",49,55
"Alaska",44,66
"Alaska",38,61
"Alaska",52,6
"Alaska",63,65
"Alaska",69,41
"Alaska",NA,50
"Alaska",70,NA
"Alaska",NA,25
"Alaska",72,56
"Alaska",47,47
"Alaska",75,50
"Alaska",40,46
"Alaska",63,72
"Alaska",51,33
"Alaska",52,49
"Alaska",45,24
"Alaska",64,37
"Alaska",57,53
"Alaska",60,47
"Alaska",64,NA
"Alaska",66,62
"Alaska",36,NA
"Alaska",48,NA
"Alaska",37,64
"Alaska",40,62
"Alaska",36,NA
"Alaska",49,36
"Alaska",64,40
"Alaska",41,70
"Alaska",80,27
"Alaska",68,43
"Alaska",56,NA
"Alaska",NA,98
"Alaska",NA,63
"Alaska",36,40
"Alaska",35,56
"Alaska",28,55
"Alaska",30,66
"Alaska",63,62
"Alaska",42,48
"Alaska",NA,74
"Alaska",32,46
"Alaska",37,56
"Alaska",43,NA
"Alaska",57,46
"Alaska",39,66
"Alaska",68,68
"Alaska",36,47
"Alaska",NA,16
"Alaska",31,NA
"Alaska",49,40
"Alaska",62,NA
"Alaska",61,NA
"Alaska",76,65
"Alaska",57,62
"Alaska",NA,49
"Alaska",NA,NA
"Alaska",53,NA
"Alaska",NA,50
"Alaska",49,49
"Alaska",61,41
"Alaska",64,38
"Alaska",57,56
"Alaska",59,57
"Alaska",53,52
"Alaska",36,42
"Alaska",42,NA
"Alaska",40,75
"Alaska",57,57
"Alaska",47,36
"Alaska",22,48
"Alaska",67,57
"Alaska",65,74
"Alaska",67,27
"Alaska",68,48
"Alaska",50,64
"Alaska",59,72
"Alaska",52,28
"Alaska",NA,58
"Alaska",31,54
"Alaska",NA,38
"Alaska",71,48
"Alaska",84,63
"Alaska",27,47
"Alaska",43,38
"Alaska",78,51
"Alaska",52,NA
"Alaska",43,71
"Alaska",39,NA
"Alaska",25,NA
"Alaska",72,55
"Alaska",53,38
"Alaska",39,50
"Alaska",NA,71
"Alaska",52,27
"Alaska",35,55
"Alaska",NA,47
"Alaska",54,NA
"Alaska",39,NA
"Alaska",61,NA
"Alaska",54,54
"Alaska",35,61
"Alaska",51,47
"Alaska",67,50
"Alaska",NA,46
"Alaska",55,38
"Alaska",55,65
"Alaska",36,24
"Alaska",33,57
"Alaska",51,60
"Alaska",46,74
"Alaska",52,47
"Alaska",39,43
"Alaska",46,NA
"Alaska",67,81
