"state","pre","post"
"Arizona",NA,54
"Arizona",61,59
"Arizona",46,73
"Arizona",38,90
"Arizona",26,73
"Arizona",39,73
"Arizona",89,50
"Arizona",NA,76
"Arizona",55,87
"Arizona",71,NA
"Arizona",NA,84
"Arizona",31,64
"Arizona",27,70
"Arizona",67,88
"Arizona",56,79
"Arizona",25,82
"Arizona",38,83
"Arizona",60,68
"Arizona",56,44
"Arizona",60,54
"Arizona",35,43
"Arizona",31,81
"Arizona",44,71
"Arizona",26,75
"Arizona",25,66
"Arizona",58,37
"Arizona",NA,53
"Arizona",74,75
"Arizona",50,58
"Arizona",52,52
"Arizona",50,55
"Arizona",36,66
"Arizona",52,65
"Arizona",41,69
"Arizona",NA,75
"Arizona",NA,81
"Arizona",NA,45
"Arizona",30,64
"Arizona",61,48
"Arizona",47,46
"Arizona",61,73
"Arizona",51,52
"Arizona",73,73
"Arizona",41,42
"Arizona",50,70
"Arizona",33,76
"Arizona",NA,59
"Arizona",32,84
"Arizona",33,70
"Arizona",40,59
"Arizona",75,NA
"Arizona",51,55
"Arizona",48,97
"Arizona",84,47
"Arizona",67,73
"Arizona",53,60
"Arizona",63,90
"Arizona",44,66
"Arizona",40,62
"Arizona",33,76
"Arizona",19,88
"Arizona",42,79
"Arizona",49,61
"Arizona",50,64
"Arizona",60,71
"Arizona",52,82
"Arizona",44,84
"Arizona",44,84
"Arizona",35,53
"Arizona",NA,83
"Arizona",48,54
"Arizona",29,69
"Arizona",58,61
"Arizona",61,62
"Arizona",48,75
"Arizona",NA,55
"Arizona",26,76
"Arizona",43,75
"Arizona",27,40
"Arizona",51,81
"Arizona",38,82
"Arizona",54,62
"Arizona",40,75
"Arizona",58,51
"Arizona",NA,51
"Arizona",39,59
"Arizona",57,59
"Arizona",31,81
"Arizona",51,NA
"Arizona",NA,NA
"Arizona",64,76
"Arizona",31,86
"Arizona",68,64
"Arizona",60,79
"Arizona",54,NA
"Arizona",47,99
"Arizona",53,79
"Arizona",80,58
"Arizona",50,62
"Arizona",54,69
"Arizona",53,59
"Arizona",45,66
