"state","pre","post"
"California",59,80
"California",51,66
"California",49,26
"California",50,81
"California",29,60
"California",54,80
"California",63,72
"California",58,97
"California",58,37
"California",61,71
"California",58,NA
"California",73,56
"California",50,50
"California",NA,68
"California",79,80
"California",NA,72
"California",72,73
"California",43,53
"California",82,79
"California",67,77
"California",NA,68
"California",31,64
"California",57,NA
"California",58,NA
"California",58,55
"California",60,91
"California",52,75
"California",41,67
"California",NA,73
"California",NA,83
"California",38,42
"California",NA,NA
"California",70,78
"California",42,67
"California",63,60
"California",62,74
"California",53,93
"California",45,66
"California",74,99
"California",57,NA
"California",68,66
"California",56,42
"California",NA,77
"California",68,53
"California",38,NA
"California",45,28
"California",34,77
"California",53,60
"California",44,71
"California",NA,45
"California",19,71
"California",47,43
"California",70,76
"California",71,100
"California",55,73
"California",59,90
"California",40,72
"California",65,66
"California",55,69
"California",67,63
"California",57,64
"California",60,31
"California",66,56
"California",77,NA
"California",NA,47
"California",74,47
"California",51,87
"California",70,77
"California",22,62
"California",NA,78
"California",59,NA
"California",66,NA
"California",NA,73
"California",41,67
"California",58,74
"California",69,92
"California",43,43
"California",32,54
"California",62,NA
"California",53,70
"California",53,67
"California",76,66
"California",84,61
"California",64,65
"California",41,61
"California",55,NA
"California",54,86
"California",46,NA
"California",64,75
"California",41,NA
"California",58,73
"California",32,NA
"California",26,85
"California",29,NA
"California",25,48
"California",45,59
"California",58,44
"California",35,74
"California",62,NA
"California",64,95
"California",NA,58
"California",68,66
"California",47,41
"California",59,58
"California",NA,65
"California",62,70
"California",76,55
"California",35,58
"California",NA,80
"California",NA,78
"California",44,NA
"California",54,NA
"California",35,86
"California",47,92
"California",53,52
"California",53,65
"California",NA,76
"California",66,65
"California",53,65
"California",57,66
"California",53,64
"California",72,62
"California",53,46
"California",54,NA
"California",62,64
"California",41,63
"California",74,89
"California",NA,NA
"California",47,NA
"California",58,89
"California",37,57
"California",NA,50
"California",48,81
"California",53,81
"California",34,67
"California",47,71
"California",NA,64
"California",51,NA
"California",61,69
"California",52,84
"California",51,49
"California",NA,NA
"California",55,88
"California",71,64
"California",47,57
"California",NA,67
"California",96,72
"California",58,72
"California",60,93
"California",26,44
"California",65,87
"California",NA,NA
"California",65,68
"California",NA,69
"California",80,93
"California",52,76
"California",62,83
"California",89,54
"California",31,80
"California",63,81
"California",41,57
"California",51,69
"California",76,78
"California",68,NA
"California",NA,NA
"California",41,76
"California",NA,61
"California",57,59
"California",26,84
"California",60,75
"California",40,53
"California",41,48
"California",24,60
"California",41,66
"California",45,72
"California",75,95
"California",42,NA
"California",65,NA
"California",37,76
"California",37,80
"California",60,48
