"state","pre","post"
"Colorado",63,46
"Colorado",48,52
"Colorado",58,53
"Colorado",51,74
"Colorado",64,53
"Colorado",44,35
"Colorado",36,51
"Colorado",73,41
"Colorado",69,39
"Colorado",51,47
"Colorado",35,41
"Colorado",51,NA
"Colorado",NA,64
"Colorado",34,NA
"Colorado",29,58
"Colorado",64,74
"Colorado",35,59
"Colorado",51,56
"Colorado",59,49
"Colorado",35,58
"Colorado",50,75
"Colorado",50,81
"Colorado",16,58
"Colorado",49,47
"Colorado",55,49
"Colorado",52,75
"Colorado",48,65
"Colorado",50,41
"Colorado",39,50
"Colorado",31,49
"Colorado",69,35
"Colorado",25,78
"Colorado",31,39
"Colorado",15,NA
"Colorado",NA,26
"Colorado",35,70
"Colorado",48,56
"Colorado",67,34
"Colorado",21,38
"Colorado",59,63
"Colorado",54,64
"Colorado",28,41
"Colorado",38,72
"Colorado",31,58
"Colorado",41,52
"Colorado",43,92
"Colorado",15,66
"Colorado",18,41
"Colorado",NA,54
"Colorado",35,NA
"Colorado",38,65
"Colorado",59,50
"Colorado",27,NA
"Colorado",27,59
"Colorado",49,41
"Colorado",19,NA
"Colorado",34,NA
"Colorado",33,69
"Colorado",39,62
"Colorado",41,67
"Colorado",33,38
"Colorado",25,NA
"Colorado",31,51
"Colorado",NA,48
"Colorado",46,NA
"Colorado",48,NA
"Colorado",35,58
"Colorado",48,61
"Colorado",38,42
"Colorado",37,56
"Colorado",41,36
"Colorado",57,81
"Colorado",NA,67
"Colorado",19,67
"Colorado",56,61
"Colorado",33,78
"Colorado",NA,58
"Colorado",40,NA
"Colorado",35,47
"Colorado",52,49
"Colorado",NA,63
"Colorado",53,63
"Colorado",49,62
"Colorado",22,36
"Colorado",NA,32
"Colorado",20,52
"Colorado",48,52
"Colorado",42,65
"Colorado",NA,26
"Colorado",30,NA
"Colorado",23,89
"Colorado",47,75
"Colorado",43,43
"Colorado",28,35
"Colorado",44,45
"Colorado",49,NA
"Colorado",36,67
"Colorado",54,44
"Colorado",64,78
"Colorado",36,24
"Colorado",47,38
"Colorado",42,35
"Colorado",NA,36
"Colorado",51,19
"Colorado",38,NA
"Colorado",67,31
"Colorado",39,50
"Colorado",33,NA
"Colorado",NA,31
"Colorado",33,NA
"Colorado",NA,49
"Colorado",51,NA
"Colorado",31,53
"Colorado",37,57
"Colorado",NA,42
"Colorado",9,59
"Colorado",33,53
"Colorado",30,78
"Colorado",60,78
"Colorado",38,47
"Colorado",34,NA
"Colorado",35,73
"Colorado",49,NA
"Colorado",49,NA
"Colorado",47,52
"Colorado",NA,49
"Colorado",36,54
"Colorado",41,50
"Colorado",77,43
"Colorado",28,62
"Colorado",63,52
"Colorado",56,84
"Colorado",55,65
"Colorado",NA,41
"Colorado",42,NA
"Colorado",NA,54
"Colorado",34,19
"Colorado",57,34
"Colorado",NA,NA
"Colorado",43,NA
"Colorado",53,68
"Colorado",42,49
"Colorado",NA,53
"Colorado",42,NA
"Colorado",22,54
"Colorado",46,53
"Colorado",48,30
"Colorado",24,63
"Colorado",55,47
"Colorado",48,28
"Colorado",32,36
"Colorado",42,NA
"Colorado",40,61
"Colorado",47,85
"Colorado",42,NA
"Colorado",39,45
"Colorado",10,59
"Colorado",54,NA
"Colorado",64,44
"Colorado",34,51
"Colorado",29,NA
"Colorado",43,45
"Colorado",48,53
"Colorado",27,57
"Colorado",11,10
"Colorado",31,NA
"Colorado",26,84
"Colorado",59,19
"Colorado",25,37
"Colorado",51,56
"Colorado",30,86
"Colorado",43,56
"Colorado",NA,49
"Colorado",38,45
"Colorado",NA,31
"Colorado",36,71
"Colorado",34,54
"Colorado",84,59
"Colorado",40,48
"Colorado",35,58
"Colorado",31,59
"Colorado",45,58
"Colorado",NA,19
"Colorado",47,41
"Colorado",39,51
"Colorado",32,76
"Colorado",46,48
"Colorado",NA,61
"Colorado",59,42
"Colorado",62,47
"Colorado",36,44
"Colorado",70,56
"Colorado",33,48
"Colorado",52,NA
"Colorado",75,66
"Colorado",32,74
"Colorado",45,71
"Colorado",29,85
"Colorado",42,NA
"Colorado",24,54
"Colorado",34,25
"Colorado",38,72
"Colorado",47,51
"Colorado",36,31
"Colorado",37,51
"Colorado",30,NA
"Colorado",45,41
"Colorado",34,48
"Colorado",41,47
"Colorado",69,12
"Colorado",61,68
"Colorado",22,66
"Colorado",26,30
"Colorado",47,60
"Colorado",NA,NA
"Colorado",30,70
"Colorado",50,46
"Colorado",66,46
"Colorado",NA,21
"Colorado",42,56
"Colorado",48,43
"Colorado",41,61
"Colorado",22,NA
"Colorado",62,NA
"Colorado",28,NA
"Colorado",NA,58
"Colorado",56,49
"Colorado",77,NA
"Colorado",56,39
"Colorado",34,NA
"Colorado",40,NA
"Colorado",30,53
"Colorado",36,67
"Colorado",24,NA
"Colorado",NA,62
"Colorado",54,NA
"Colorado",43,46
"Colorado",47,48
"Colorado",27,69
"Colorado",59,NA
"Colorado",31,70
"Colorado",57,82
"Colorado",60,NA
"Colorado",18,49
"Colorado",26,71
"Colorado",23,46
"Colorado",44,70
"Colorado",55,68
"Colorado",27,59
"Colorado",34,44
"Colorado",38,62
"Colorado",37,48
"Colorado",16,68
"Colorado",35,NA
"Colorado",44,58
"Colorado",54,11
"Colorado",21,40
"Colorado",26,NA
"Colorado",58,47
"Colorado",33,58
"Colorado",52,49
"Colorado",38,65
"Colorado",NA,37
"Colorado",35,NA
"Colorado",55,NA
"Colorado",42,NA
"Colorado",NA,62
"Colorado",33,45
"Colorado",53,31
"Colorado",17,52
"Colorado",55,47
"Colorado",NA,NA
"Colorado",39,NA
"Colorado",28,50
"Colorado",30,NA
"Colorado",58,68
"Colorado",19,51
"Colorado",NA,46
"Colorado",NA,53
"Colorado",20,61
"Colorado",56,NA
"Colorado",29,44
"Colorado",59,52
"Colorado",48,77
"Colorado",49,27
"Colorado",48,52
"Colorado",29,NA
"Colorado",21,52
"Colorado",70,47
"Colorado",20,63
"Colorado",26,NA
"Colorado",44,58
"Colorado",56,NA
"Colorado",36,NA
"Colorado",22,55
"Colorado",42,54
"Colorado",45,65
"Colorado",36,43
"Colorado",45,38
"Colorado",43,70
"Colorado",41,52
"Colorado",50,NA
"Colorado",32,23
"Colorado",56,38
"Colorado",28,NA
"Colorado",49,66
"Colorado",31,77
"Colorado",46,88
"Colorado",27,51
"Colorado",54,NA
"Colorado",58,NA
"Colorado",45,40
"Colorado",12,51
"Colorado",54,63
"Colorado",NA,50
"Colorado",51,NA
"Colorado",33,83
"Colorado",64,NA
"Colorado",48,44
"Colorado",70,36
"Colorado",54,45
"Colorado",22,72
"Colorado",NA,27
"Colorado",31,69
"Colorado",57,62
"Colorado",55,NA
"Colorado",32,39
"Colorado",34,54
"Colorado",NA,24
"Colorado",NA,58
"Colorado",49,46
"Colorado",32,NA
"Colorado",31,65
"Colorado",35,NA
"Colorado",46,55
"Colorado",NA,51
"Colorado",47,73
"Colorado",25,35
"Colorado",41,53
"Colorado",34,45
"Colorado",25,60
"Colorado",22,58
"Colorado",27,56
"Colorado",40,65
"Colorado",NA,44
"Colorado",74,50
"Colorado",NA,45
"Colorado",62,63
"Colorado",33,44
"Colorado",37,76
"Colorado",49,31
"Colorado",48,NA
"Colorado",56,47
"Colorado",30,49
"Colorado",49,55
"Colorado",43,NA
"Colorado",51,79
"Colorado",59,NA
"Colorado",32,44
"Colorado",NA,57
"Colorado",43,70
"Colorado",34,58
"Colorado",15,75
"Colorado",55,82
"Colorado",45,27
"Colorado",18,NA
"Colorado",42,51
"Colorado",38,57
"Colorado",69,43
"Colorado",40,54
"Colorado",43,25
"Colorado",56,47
"Colorado",25,41
"Colorado",53,55
"Colorado",49,77
"Colorado",21,51
"Colorado",17,31
"Colorado",52,31
"Colorado",74,61
"Colorado",48,58
"Colorado",42,67
"Colorado",48,49
"Colorado",66,48
"Colorado",24,69
"Colorado",35,65
"Colorado",21,NA
"Colorado",47,49
"Colorado",47,60
"Colorado",30,48
"Colorado",35,NA
"Colorado",31,88
"Colorado",54,NA
"Colorado",42,54
"Colorado",52,40
"Colorado",32,49
"Colorado",37,61
"Colorado",56,57
"Colorado",10,29
"Colorado",33,56
"Colorado",67,22
"Colorado",38,63
"Colorado",63,67
"Colorado",32,51
"Colorado",63,55
"Colorado",26,66
"Colorado",50,59
"Colorado",17,63
"Colorado",55,40
"Colorado",10,NA
"Colorado",42,NA
"Colorado",51,NA
"Colorado",29,NA
"Colorado",24,37
"Colorado",29,70
"Colorado",31,54
"Colorado",79,52
"Colorado",43,49
"Colorado",NA,41
"Colorado",49,50
"Colorado",36,45
"Colorado",63,45
"Colorado",49,49
"Colorado",48,65
"Colorado",27,49
"Colorado",16,NA
"Colorado",68,69
"Colorado",36,43
"Colorado",NA,NA
"Colorado",30,58
"Colorado",NA,66
"Colorado",55,48
"Colorado",30,53
"Colorado",26,45
"Colorado",41,33
"Colorado",45,47
"Colorado",NA,49
"Colorado",43,58
"Colorado",21,72
"Colorado",NA,50
"Colorado",NA,65
"Colorado",46,43
"Colorado",60,59
"Colorado",27,62
"Colorado",42,NA
"Colorado",63,44
"Colorado",34,69
"Colorado",55,64
"Colorado",18,76
"Colorado",49,58
"Colorado",44,17
"Colorado",31,47
"Colorado",54,51
"Colorado",39,NA
"Colorado",NA,38
"Colorado",NA,63
"Colorado",61,39
"Colorado",21,76
"Colorado",73,48
"Colorado",51,39
"Colorado",NA,59
"Colorado",NA,53
"Colorado",5,NA
"Colorado",47,58
"Colorado",30,68
"Colorado",52,NA
"Colorado",45,64
"Colorado",40,50
"Colorado",38,37
"Colorado",33,67
"Colorado",33,31
"Colorado",45,59
"Colorado",NA,41
"Colorado",28,63
"Colorado",37,53
"Colorado",62,59
"Colorado",41,57
"Colorado",27,57
"Colorado",24,29
"Colorado",41,49
"Colorado",44,NA
"Colorado",24,NA
"Colorado",53,49
"Colorado",55,34
"Colorado",68,53
"Colorado",28,52
"Colorado",57,59
"Colorado",26,46
"Colorado",34,46
"Colorado",42,39
"Colorado",20,47
"Colorado",34,21
"Colorado",68,62
"Colorado",56,51
"Colorado",29,61
"Colorado",41,66
"Colorado",53,49
"Colorado",46,46
"Colorado",40,28
"Colorado",51,73
"Colorado",65,54
"Colorado",43,60
"Colorado",42,NA
"Colorado",30,43
"Colorado",44,NA
"Colorado",52,46
"Colorado",47,51
"Colorado",54,61
"Colorado",20,56
"Colorado",45,28
"Colorado",56,45
"Colorado",37,42
"Colorado",44,58
"Colorado",37,NA
"Colorado",50,37
"Colorado",37,56
"Colorado",48,35
"Colorado",14,40
"Colorado",27,43
"Colorado",14,73
"Colorado",59,33
"Colorado",47,40
"Colorado",49,NA
"Colorado",NA,35
"Colorado",22,NA
"Colorado",46,NA
"Colorado",20,41
"Colorado",53,NA
"Colorado",47,43
"Colorado",25,68
"Colorado",NA,NA
"Colorado",28,50
"Colorado",48,26
"Colorado",40,NA
"Colorado",55,50
"Colorado",53,NA
"Colorado",61,78
"Colorado",31,77
"Colorado",46,65
"Colorado",34,52
"Colorado",56,69
"Colorado",22,35
"Colorado",8,32
"Colorado",NA,39
"Colorado",65,NA
"Colorado",65,39
"Colorado",42,66
"Colorado",55,68
"Colorado",56,38
"Colorado",57,30
"Colorado",20,35
"Colorado",48,52
"Colorado",32,34
"Colorado",40,52
"Colorado",46,NA
"Colorado",NA,57
"Colorado",68,NA
"Colorado",28,40
"Colorado",43,42
"Colorado",48,16
"Colorado",66,24
"Colorado",41,66
"Colorado",49,NA
"Colorado",34,NA
"Colorado",NA,65
"Colorado",NA,30
"Colorado",NA,45
"Colorado",23,61
"Colorado",43,57
"Colorado",54,42
"Colorado",64,70
"Colorado",NA,16
"Colorado",41,79
"Colorado",43,NA
"Colorado",65,60
"Colorado",53,NA
"Colorado",30,77
"Colorado",NA,31
"Colorado",39,70
"Colorado",63,66
"Colorado",32,1
"Colorado",59,NA
"Colorado",56,80
"Colorado",68,26
"Colorado",8,NA
"Colorado",51,51
"Colorado",63,64
"Colorado",26,NA
"Colorado",36,49
"Colorado",37,52
"Colorado",48,39
"Colorado",67,51
"Colorado",14,34
"Colorado",62,74
"Colorado",28,42
"Colorado",31,59
"Colorado",26,62
"Colorado",71,62
"Colorado",52,NA
"Colorado",NA,57
"Colorado",47,NA
"Colorado",43,NA
"Colorado",27,48
"Colorado",44,45
"Colorado",42,42
"Colorado",37,65
"Colorado",69,68
"Colorado",44,36
"Colorado",51,72
"Colorado",16,NA
"Colorado",46,51
"Colorado",38,NA
"Colorado",26,71
"Colorado",47,NA
"Colorado",59,89
"Colorado",47,62
"Colorado",66,82
"Colorado",52,47
"Colorado",37,43
"Colorado",63,NA
"Colorado",47,15
"Colorado",52,46
"Colorado",61,49
"Colorado",45,57
"Colorado",31,48
"Colorado",36,66
"Colorado",42,43
"Colorado",56,NA
"Colorado",49,41
"Colorado",55,41
"Colorado",45,67
"Colorado",73,47
"Colorado",36,64
"Colorado",39,55
"Colorado",56,NA
"Colorado",89,62
"Colorado",52,52
