"state","pre","post"
"Connecticut",33,NA
"Connecticut",49,55
"Connecticut",42,77
"Connecticut",61,83
"Connecticut",55,58
"Connecticut",52,69
"Connecticut",NA,48
"Connecticut",67,62
"Connecticut",66,85
"Connecticut",42,71
"Connecticut",55,63
"Connecticut",32,45
"Connecticut",51,NA
"Connecticut",64,52
"Connecticut",61,39
"Connecticut",36,NA
"Connecticut",60,59
"Connecticut",41,80
"Connecticut",33,76
"Connecticut",73,NA
"Connecticut",40,NA
"Connecticut",56,NA
"Connecticut",57,NA
"Connecticut",57,95
"Connecticut",NA,81
"Connecticut",41,NA
"Connecticut",NA,NA
"Connecticut",53,56
"Connecticut",NA,55
"Connecticut",53,66
"Connecticut",48,48
"Connecticut",67,53
"Connecticut",45,93
"Connecticut",34,NA
"Connecticut",49,58
"Connecticut",23,54
"Connecticut",56,32
"Connecticut",51,NA
"Connecticut",NA,55
"Connecticut",59,56
"Connecticut",62,41
"Connecticut",34,NA
"Connecticut",46,63
"Connecticut",65,95
"Connecticut",51,62
"Connecticut",49,31
"Connecticut",58,87
"Connecticut",54,94
"Connecticut",NA,71
"Connecticut",55,88
"Connecticut",32,51
"Connecticut",39,56
"Connecticut",45,49
"Connecticut",60,NA
"Connecticut",62,56
"Connecticut",25,52
"Connecticut",49,53
"Connecticut",37,91
"Connecticut",45,58
"Connecticut",61,NA
"Connecticut",52,67
"Connecticut",42,NA
"Connecticut",61,66
"Connecticut",55,48
"Connecticut",28,NA
"Connecticut",50,63
"Connecticut",31,NA
"Connecticut",41,68
"Connecticut",40,52
"Connecticut",74,45
"Connecticut",58,NA
"Connecticut",56,60
"Connecticut",NA,NA
"Connecticut",40,69
"Connecticut",40,61
"Connecticut",NA,NA
"Connecticut",18,75
"Connecticut",36,42
"Connecticut",47,46
"Connecticut",39,72
"Connecticut",17,NA
"Connecticut",65,60
"Connecticut",29,61
"Connecticut",36,60
"Connecticut",NA,NA
"Connecticut",NA,76
"Connecticut",45,78
"Connecticut",56,NA
"Connecticut",NA,72
"Connecticut",NA,68
"Connecticut",52,40
"Connecticut",51,69
"Connecticut",32,NA
"Connecticut",16,29
"Connecticut",54,80
"Connecticut",NA,NA
"Connecticut",35,72
"Connecticut",61,56
"Connecticut",36,71
"Connecticut",44,62
"Connecticut",36,46
"Connecticut",81,60
"Connecticut",62,73
"Connecticut",70,80
"Connecticut",57,81
"Connecticut",67,46
"Connecticut",26,40
"Connecticut",57,67
"Connecticut",NA,63
"Connecticut",31,52
"Connecticut",NA,83
"Connecticut",47,47
"Connecticut",52,NA
"Connecticut",45,89
"Connecticut",65,68
"Connecticut",46,60
"Connecticut",15,79
"Connecticut",44,72
"Connecticut",52,66
"Connecticut",57,53
"Connecticut",51,67
"Connecticut",42,84
"Connecticut",64,51
"Connecticut",78,80
"Connecticut",44,75
"Connecticut",61,NA
"Connecticut",63,66
"Connecticut",38,47
"Connecticut",74,77
"Connecticut",57,NA
"Connecticut",61,58
"Connecticut",54,46
"Connecticut",43,39
"Connecticut",32,83
"Connecticut",34,85
"Connecticut",66,83
"Connecticut",46,79
"Connecticut",NA,NA
"Connecticut",33,38
"Connecticut",NA,81
"Connecticut",42,87
"Connecticut",38,49
"Connecticut",NA,70
"Connecticut",25,49
"Connecticut",78,80
"Connecticut",63,52
"Connecticut",43,30
"Connecticut",55,37
"Connecticut",56,78
"Connecticut",46,80
"Connecticut",39,55
"Connecticut",93,87
"Connecticut",40,54
"Connecticut",80,50
"Connecticut",41,63
"Connecticut",60,42
"Connecticut",67,78
"Connecticut",45,69
"Connecticut",30,43
"Connecticut",21,85
"Connecticut",63,68
"Connecticut",81,48
"Connecticut",21,34
"Connecticut",NA,94
"Connecticut",76,66
"Connecticut",33,46
"Connecticut",69,87
"Connecticut",NA,NA
"Connecticut",43,48
"Connecticut",47,53
"Connecticut",49,55
"Connecticut",NA,41
"Connecticut",36,89
"Connecticut",56,67
"Connecticut",46,62
"Connecticut",47,68
"Connecticut",60,NA
"Connecticut",74,68
"Connecticut",62,61
"Connecticut",65,NA
"Connecticut",25,73
"Connecticut",56,NA
