"state","pre","post"
"Delaware",45,56
"Delaware",44,63
"Delaware",33,NA
"Delaware",75,NA
"Delaware",58,96
"Delaware",95,75
"Delaware",48,81
"Delaware",63,85
"Delaware",26,92
"Delaware",70,88
"Delaware",23,NA
"Delaware",45,NA
"Delaware",53,59
"Delaware",36,80
"Delaware",37,NA
"Delaware",58,90
"Delaware",36,80
"Delaware",16,46
"Delaware",50,76
"Delaware",49,NA
"Delaware",37,59
"Delaware",51,58
"Delaware",67,NA
"Delaware",NA,75
"Delaware",59,82
"Delaware",35,83
"Delaware",24,NA
"Delaware",46,NA
"Delaware",58,78
"Delaware",71,56
"Delaware",49,87
"Delaware",48,76
"Delaware",24,76
"Delaware",37,57
"Delaware",26,73
"Delaware",56,71
"Delaware",37,87
"Delaware",38,63
"Delaware",NA,91
"Delaware",NA,94
"Delaware",78,76
"Delaware",18,NA
"Delaware",43,NA
"Delaware",75,80
"Delaware",48,51
"Delaware",34,82
"Delaware",27,73
"Delaware",57,NA
"Delaware",41,69
"Delaware",42,NA
"Delaware",71,97
"Delaware",59,83
"Delaware",11,NA
"Delaware",43,51
"Delaware",43,88
"Delaware",59,45
"Delaware",70,32
"Delaware",46,74
"Delaware",56,97
"Delaware",43,73
"Delaware",36,70
"Delaware",90,70
"Delaware",64,68
"Delaware",38,73
"Delaware",50,78
"Delaware",58,50
"Delaware",47,59
"Delaware",NA,68
"Delaware",45,75
"Delaware",43,NA
"Delaware",37,77
"Delaware",68,81
"Delaware",NA,63
"Delaware",56,NA
"Delaware",47,44
"Delaware",66,NA
"Delaware",74,75
"Delaware",NA,87
"Delaware",49,NA
"Delaware",38,80
"Delaware",61,71
"Delaware",56,63
"Delaware",41,75
"Delaware",50,77
"Delaware",50,87
"Delaware",32,NA
"Delaware",58,84
"Delaware",NA,71
"Delaware",16,82
"Delaware",28,NA
"Delaware",44,73
"Delaware",33,66
"Delaware",78,45
"Delaware",38,78
"Delaware",47,NA
"Delaware",58,79
"Delaware",33,90
"Delaware",38,77
"Delaware",76,78
"Delaware",41,87
"Delaware",72,85
"Delaware",21,NA
"Delaware",48,90
"Delaware",36,NA
"Delaware",50,87
"Delaware",71,50
"Delaware",23,72
"Delaware",35,86
"Delaware",36,NA
"Delaware",46,75
"Delaware",42,77
"Delaware",60,NA
"Delaware",49,86
"Delaware",42,64
"Delaware",54,57
"Delaware",35,NA
"Delaware",76,71
"Delaware",65,70
"Delaware",31,NA
"Delaware",25,62
"Delaware",19,63
"Delaware",51,NA
"Delaware",47,81
"Delaware",61,84
"Delaware",64,91
"Delaware",49,74
"Delaware",44,96
"Delaware",30,52
"Delaware",66,78
"Delaware",49,84
"Delaware",57,NA
"Delaware",25,NA
"Delaware",47,76
"Delaware",52,70
"Delaware",49,NA
"Delaware",34,83
"Delaware",51,67
"Delaware",19,NA
"Delaware",65,60
"Delaware",21,92
"Delaware",57,56
"Delaware",39,85
"Delaware",55,56
"Delaware",47,98
"Delaware",61,NA
"Delaware",25,69
"Delaware",45,85
"Delaware",NA,62
"Delaware",33,70
"Delaware",26,NA
"Delaware",NA,86
"Delaware",55,74
"Delaware",44,69
"Delaware",45,96
"Delaware",33,83
"Delaware",63,NA
"Delaware",68,NA
"Delaware",61,58
"Delaware",49,69
"Delaware",29,53
"Delaware",34,89
"Delaware",35,51
"Delaware",45,76
"Delaware",73,72
"Delaware",53,84
"Delaware",59,53
"Delaware",42,60
"Delaware",45,64
"Delaware",70,NA
"Delaware",71,84
"Delaware",29,61
"Delaware",39,61
"Delaware",33,39
"Delaware",74,70
"Delaware",56,61
"Delaware",48,65
"Delaware",NA,60
"Delaware",56,62
"Delaware",48,90
"Delaware",44,60
"Delaware",50,55
"Delaware",65,81
"Delaware",59,69
