"state","pre","post"
"Florida",43,61
"Florida",51,NA
"Florida",50,68
"Florida",46,34
"Florida",35,77
"Florida",46,NA
"Florida",42,78
"Florida",40,60
"Florida",12,52
"Florida",40,79
"Florida",48,68
"Florida",44,90
"Florida",40,64
"Florida",28,75
"Florida",21,36
"Florida",53,77
"Florida",30,63
"Florida",26,41
"Florida",21,38
"Florida",57,92
"Florida",38,57
"Florida",24,NA
"Florida",52,52
"Florida",54,53
"Florida",35,65
"Florida",12,54
"Florida",3,66
"Florida",32,59
"Florida",59,NA
"Florida",30,60
"Florida",33,55
"Florida",8,51
"Florida",50,50
"Florida",40,NA
"Florida",54,NA
"Florida",31,NA
"Florida",43,75
"Florida",49,45
"Florida",59,84
"Florida",34,68
"Florida",21,50
"Florida",43,59
"Florida",24,66
"Florida",27,50
"Florida",49,65
"Florida",39,67
"Florida",44,NA
"Florida",27,98
"Florida",39,71
"Florida",34,NA
"Florida",63,39
"Florida",36,60
"Florida",56,60
"Florida",14,62
"Florida",44,43
"Florida",26,57
"Florida",9,56
"Florida",68,67
"Florida",42,75
"Florida",49,75
"Florida",13,71
"Florida",51,67
"Florida",22,65
"Florida",24,64
"Florida",32,64
"Florida",55,NA
"Florida",61,NA
"Florida",41,78
"Florida",38,68
"Florida",33,66
"Florida",43,85
"Florida",NA,42
"Florida",53,NA
"Florida",NA,71
"Florida",50,70
"Florida",44,79
"Florida",NA,75
"Florida",39,58
"Florida",39,NA
"Florida",33,76
"Florida",36,56
"Florida",39,66
"Florida",38,68
"Florida",17,70
"Florida",24,50
"Florida",75,NA
"Florida",57,72
"Florida",47,57
"Florida",39,NA
"Florida",19,68
"Florida",25,63
"Florida",41,47
"Florida",45,68
"Florida",30,71
"Florida",NA,66
"Florida",NA,66
"Florida",39,54
"Florida",23,61
"Florida",21,98
"Florida",42,50
"Florida",46,NA
"Florida",53,58
"Florida",45,66
"Florida",33,73
"Florida",45,72
"Florida",28,86
"Florida",33,82
"Florida",48,73
"Florida",32,66
"Florida",46,64
"Florida",38,51
"Florida",45,66
"Florida",58,NA
"Florida",34,62
"Florida",48,63
"Florida",52,44
"Florida",59,63
"Florida",68,63
"Florida",75,47
"Florida",36,67
"Florida",26,NA
"Florida",51,60
"Florida",38,56
"Florida",33,81
"Florida",41,64
"Florida",4,42
"Florida",33,73
"Florida",17,69
"Florida",34,51
"Florida",34,60
"Florida",43,NA
"Florida",28,55
"Florida",26,77
"Florida",38,55
"Florida",23,50
"Florida",33,80
"Florida",53,70
"Florida",42,58
"Florida",54,35
"Florida",41,70
"Florida",57,52
"Florida",58,56
"Florida",40,75
"Florida",37,71
"Florida",42,51
"Florida",36,NA
"Florida",43,67
"Florida",48,83
"Florida",40,58
"Florida",35,NA
"Florida",53,53
"Florida",NA,60
"Florida",35,67
"Florida",52,44
"Florida",44,67
"Florida",58,51
"Florida",59,NA
"Florida",50,NA
"Florida",40,80
"Florida",66,61
"Florida",54,58
"Florida",42,NA
"Florida",24,53
"Florida",35,NA
"Florida",52,39
"Florida",43,NA
"Florida",NA,84
"Florida",57,83
"Florida",60,NA
"Florida",56,83
"Florida",52,81
"Florida",24,73
"Florida",35,49
"Florida",33,NA
"Florida",39,57
"Florida",26,81
"Florida",77,54
"Florida",29,85
"Florida",38,71
"Florida",31,NA
"Florida",40,54
"Florida",44,76
"Florida",53,45
"Florida",20,58
"Florida",48,74
"Florida",56,38
"Florida",26,49
"Florida",30,41
"Florida",26,NA
"Florida",26,64
"Florida",59,NA
"Florida",NA,NA
"Florida",39,76
"Florida",NA,63
"Florida",13,NA
"Florida",46,82
"Florida",59,62
"Florida",39,85
"Florida",52,62
"Florida",32,75
"Florida",7,79
"Florida",64,64
"Florida",49,61
"Florida",61,85
"Florida",26,60
"Florida",57,48
"Florida",38,73
"Florida",19,NA
"Florida",21,54
"Florida",51,60
"Florida",41,61
"Florida",49,58
"Florida",27,71
"Florida",28,61
"Florida",45,66
"Florida",50,NA
"Florida",19,95
"Florida",45,27
"Florida",51,NA
"Florida",27,92
"Florida",45,43
"Florida",62,67
"Florida",27,84
"Florida",26,NA
"Florida",72,50
"Florida",34,92
"Florida",52,75
"Florida",43,54
"Florida",18,80
"Florida",31,NA
"Florida",17,63
"Florida",32,70
"Florida",37,63
"Florida",29,58
"Florida",44,78
"Florida",50,62
"Florida",35,46
"Florida",31,NA
"Florida",45,49
"Florida",66,51
"Florida",29,NA
"Florida",36,NA
"Florida",40,66
"Florida",15,48
"Florida",17,35
"Florida",41,69
"Florida",56,78
"Florida",41,49
"Florida",6,78
"Florida",68,69
"Florida",35,67
"Florida",51,43
"Florida",48,69
"Florida",59,75
"Florida",60,51
"Florida",44,NA
"Florida",68,47
"Florida",23,82
"Florida",39,56
"Florida",51,60
"Florida",34,69
"Florida",52,NA
"Florida",46,65
"Florida",11,55
"Florida",23,52
"Florida",49,64
"Florida",29,66
"Florida",45,57
"Florida",47,NA
"Florida",42,65
"Florida",35,55
"Florida",27,58
"Florida",49,61
"Florida",57,76
"Florida",31,72
"Florida",52,NA
"Florida",57,69
"Florida",23,59
"Florida",31,66
"Florida",NA,70
"Florida",63,52
"Florida",50,64
"Florida",57,43
"Florida",33,72
"Florida",60,74
"Florida",53,89
"Florida",48,NA
"Florida",33,68
"Florida",46,85
"Florida",46,77
"Florida",30,89
"Florida",28,48
"Florida",23,62
"Florida",27,79
"Florida",34,59
"Florida",51,65
"Florida",24,68
"Florida",68,73
"Florida",20,49
"Florida",38,78
"Florida",40,55
"Florida",68,78
"Florida",39,80
"Florida",33,56
"Florida",12,80
"Florida",38,62
"Florida",54,48
"Florida",46,80
"Florida",20,NA
"Florida",50,56
"Florida",38,70
"Florida",13,NA
"Florida",59,NA
"Florida",18,61
"Florida",51,NA
"Florida",52,79
"Florida",18,64
"Florida",43,NA
"Florida",77,70
"Florida",16,NA
"Florida",32,65
"Florida",27,87
"Florida",49,61
"Florida",30,56
"Florida",58,61
"Florida",48,65
"Florida",62,68
"Florida",47,78
"Florida",28,66
"Florida",27,36
"Florida",16,90
"Florida",29,54
"Florida",35,59
"Florida",31,54
"Florida",51,61
"Florida",15,50
"Florida",60,69
"Florida",15,63
"Florida",28,76
"Florida",51,78
"Florida",77,88
"Florida",49,72
"Florida",20,78
"Florida",77,55
"Florida",56,67
"Florida",27,41
"Florida",21,NA
"Florida",46,73
"Florida",47,NA
"Florida",59,77
"Florida",64,72
"Florida",63,55
"Florida",NA,65
"Florida",46,NA
"Florida",30,85
"Florida",37,70
"Florida",27,35
"Florida",26,NA
"Florida",60,59
"Florida",61,83
"Florida",23,76
"Florida",29,80
"Florida",30,70
"Florida",31,64
"Florida",60,24
"Florida",39,62
"Florida",67,69
"Florida",59,NA
"Florida",33,62
"Florida",26,68
"Florida",18,65
"Florida",35,NA
"Florida",29,77
"Florida",30,38
"Florida",62,79
"Florida",48,NA
"Florida",69,83
"Florida",36,65
"Florida",23,NA
"Florida",38,71
"Florida",23,90
"Florida",29,NA
"Florida",NA,63
"Florida",15,74
"Florida",37,81
"Florida",57,67
"Florida",45,73
"Florida",28,65
"Florida",31,63
"Florida",NA,66
"Florida",49,62
"Florida",43,68
"Florida",35,66
"Florida",29,49
"Florida",16,49
"Florida",36,70
"Florida",41,48
"Florida",48,NA
"Florida",55,54
"Florida",37,57
"Florida",32,59
"Florida",37,NA
"Florida",30,73
"Florida",42,46
"Florida",38,NA
"Florida",54,51
"Florida",50,78
"Florida",66,63
"Florida",33,70
"Florida",32,38
"Florida",55,65
"Florida",26,95
"Florida",52,74
"Florida",13,NA
"Florida",66,53
"Florida",22,77
"Florida",51,NA
"Florida",29,68
"Florida",24,82
"Florida",38,NA
"Florida",55,72
"Florida",73,64
"Florida",34,45
"Florida",54,64
"Florida",13,86
"Florida",56,93
"Florida",27,72
"Florida",53,84
"Florida",31,67
"Florida",24,75
"Florida",NA,77
"Florida",55,48
"Florida",43,45
"Florida",61,60
"Florida",38,NA
"Florida",29,NA
