"state","pre","post"
"Georgia",50,63
"Georgia",76,52
"Georgia",56,57
"Georgia",70,38
"Georgia",61,67
"Georgia",62,90
"Georgia",55,46
"Georgia",NA,42
"Georgia",66,60
"Georgia",71,53
"Georgia",69,61
"Georgia",64,59
"Georgia",38,63
"Georgia",64,NA
"Georgia",53,59
"Georgia",60,64
"Georgia",55,57
"Georgia",53,68
"Georgia",52,NA
"Georgia",69,44
"Georgia",40,34
"Georgia",61,56
"Georgia",72,66
"Georgia",62,77
"Georgia",66,66
"Georgia",42,54
"Georgia",66,56
"Georgia",58,NA
"Georgia",81,55
"Georgia",85,52
"Georgia",61,77
"Georgia",50,68
"Georgia",66,64
"Georgia",57,45
"Georgia",53,NA
"Georgia",73,NA
"Georgia",53,45
"Georgia",NA,39
"Georgia",49,64
"Georgia",NA,46
"Georgia",NA,NA
"Georgia",68,80
"Georgia",NA,26
"Georgia",81,60
"Georgia",81,70
"Georgia",35,NA
"Georgia",57,NA
"Georgia",67,34
"Georgia",57,54
"Georgia",58,60
"Georgia",46,NA
"Georgia",81,77
"Georgia",50,73
"Georgia",67,82
"Georgia",58,NA
"Georgia",71,NA
"Georgia",47,40
"Georgia",87,41
"Georgia",43,67
"Georgia",46,NA
"Georgia",77,59
"Georgia",38,68
"Georgia",68,82
"Georgia",73,72
"Georgia",61,NA
"Georgia",44,61
"Georgia",84,49
"Georgia",54,50
"Georgia",82,43
"Georgia",NA,59
"Georgia",35,84
"Georgia",67,62
"Georgia",77,40
"Georgia",35,53
"Georgia",44,75
"Georgia",52,72
"Georgia",65,31
"Georgia",67,60
"Georgia",55,91
"Georgia",64,72
"Georgia",39,NA
"Georgia",81,72
"Georgia",73,NA
"Georgia",76,71
"Georgia",63,37
"Georgia",49,NA
"Georgia",59,41
"Georgia",29,44
"Georgia",49,56
"Georgia",84,51
"Georgia",69,65
"Georgia",63,44
"Georgia",NA,44
"Georgia",48,40
"Georgia",63,56
"Georgia",55,61
"Georgia",66,34
"Georgia",53,46
"Georgia",59,55
"Georgia",71,26
"Georgia",69,46
"Georgia",63,41
"Georgia",86,52
"Georgia",81,53
"Georgia",49,NA
"Georgia",75,43
"Georgia",87,59
"Georgia",59,54
"Georgia",65,44
"Georgia",48,72
"Georgia",61,42
"Georgia",71,63
"Georgia",54,62
"Georgia",49,27
"Georgia",75,56
"Georgia",NA,70
"Georgia",66,59
"Georgia",58,47
"Georgia",70,56
"Georgia",52,78
"Georgia",51,40
"Georgia",53,70
"Georgia",54,66
"Georgia",36,62
"Georgia",NA,47
"Georgia",64,55
"Georgia",78,53
"Georgia",61,69
"Georgia",80,57
"Georgia",NA,51
"Georgia",45,54
"Georgia",80,45
"Georgia",64,67
"Georgia",NA,64
"Georgia",81,49
"Georgia",21,NA
"Georgia",84,60
"Georgia",65,54
"Georgia",46,NA
"Georgia",50,45
"Georgia",74,42
"Georgia",54,52
"Georgia",57,NA
"Georgia",62,55
"Georgia",78,66
"Georgia",63,85
"Georgia",52,56
"Georgia",61,34
"Georgia",51,48
"Georgia",39,60
"Georgia",62,42
"Georgia",57,86
"Georgia",59,NA
"Georgia",92,69
"Georgia",38,63
"Georgia",66,68
"Georgia",69,NA
"Georgia",39,86
"Georgia",68,42
"Georgia",60,85
"Georgia",63,61
"Georgia",39,74
"Georgia",55,50
"Georgia",64,NA
"Georgia",44,59
"Georgia",55,NA
"Georgia",78,34
"Georgia",49,37
"Georgia",71,58
"Georgia",70,43
"Georgia",70,44
"Georgia",70,34
"Georgia",46,56
"Georgia",65,51
"Georgia",58,37
"Georgia",28,39
"Georgia",79,NA
"Georgia",61,NA
"Georgia",63,78
"Georgia",NA,NA
"Georgia",NA,29
"Georgia",56,62
"Georgia",61,64
"Georgia",47,61
"Georgia",59,38
"Georgia",91,44
"Georgia",62,48
"Georgia",64,45
"Georgia",78,85
"Georgia",51,31
"Georgia",10,55
"Georgia",74,53
"Georgia",41,53
"Georgia",NA,18
"Georgia",NA,87
"Georgia",52,39
"Georgia",49,69
"Georgia",54,NA
"Georgia",57,71
"Georgia",NA,76
"Georgia",19,NA
"Georgia",73,42
"Georgia",73,66
"Georgia",NA,49
"Georgia",54,20
"Georgia",41,73
"Georgia",49,53
"Georgia",69,60
"Georgia",58,68
"Georgia",69,44
"Georgia",58,NA
"Georgia",66,53
"Georgia",69,45
"Georgia",NA,82
"Georgia",54,57
"Georgia",47,66
"Georgia",52,72
"Georgia",58,39
"Georgia",57,64
"Georgia",71,69
"Georgia",48,56
"Georgia",76,40
"Georgia",75,91
"Georgia",NA,NA
"Georgia",52,59
"Georgia",38,NA
"Georgia",47,48
"Georgia",53,32
"Georgia",NA,63
"Georgia",92,59
"Georgia",56,56
"Georgia",57,79
"Georgia",52,NA
"Georgia",47,27
"Georgia",71,29
"Georgia",57,47
"Georgia",49,54
"Georgia",40,58
"Georgia",50,38
"Georgia",64,57
"Georgia",59,64
"Georgia",68,NA
"Georgia",69,44
"Georgia",NA,60
"Georgia",43,59
"Georgia",81,45
"Georgia",60,78
"Georgia",35,56
"Georgia",45,67
"Georgia",40,59
"Georgia",51,56
"Georgia",NA,46
"Georgia",NA,52
