"state","pre","post"
"Hawaii",97,90
"Hawaii",62,90
"Hawaii",NA,76
"Hawaii",57,53
"Hawaii",NA,99
"Hawaii",52,79
"Hawaii",77,48
"Hawaii",66,68
"Hawaii",57,91
"Hawaii",68,60
"Hawaii",53,67
"Hawaii",50,NA
"Hawaii",73,NA
"Hawaii",62,64
"Hawaii",52,49
"Hawaii",NA,75
"Hawaii",NA,52
"Hawaii",57,44
"Hawaii",57,85
"Hawaii",95,55
"Hawaii",NA,70
"Hawaii",58,73
"Hawaii",54,NA
"Hawaii",52,94
"Hawaii",57,32
"Hawaii",34,68
"Hawaii",68,73
"Hawaii",56,70
"Hawaii",78,90
"Hawaii",28,88
"Hawaii",71,62
"Hawaii",69,64
"Hawaii",51,NA
"Hawaii",76,62
"Hawaii",37,58
"Hawaii",50,75
"Hawaii",91,NA
"Hawaii",63,NA
"Hawaii",71,64
"Hawaii",70,93
"Hawaii",49,75
"Hawaii",NA,72
"Hawaii",55,NA
"Hawaii",NA,77
"Hawaii",70,42
"Hawaii",33,NA
"Hawaii",89,74
"Hawaii",52,48
"Hawaii",30,NA
"Hawaii",55,61
"Hawaii",NA,47
"Hawaii",71,60
"Hawaii",60,NA
"Hawaii",77,85
"Hawaii",93,82
"Hawaii",NA,91
"Hawaii",NA,79
"Hawaii",61,NA
"Hawaii",82,50
"Hawaii",69,NA
"Hawaii",57,59
"Hawaii",74,66
"Hawaii",62,72
"Hawaii",55,83
"Hawaii",78,64
"Hawaii",74,56
"Hawaii",61,66
"Hawaii",22,37
"Hawaii",66,55
"Hawaii",NA,80
"Hawaii",44,72
"Hawaii",77,86
"Hawaii",69,53
"Hawaii",63,84
"Hawaii",68,68
"Hawaii",66,76
"Hawaii",64,78
"Hawaii",79,49
"Hawaii",73,NA
"Hawaii",66,75
"Hawaii",NA,74
"Hawaii",46,70
"Hawaii",45,NA
"Hawaii",54,85
"Hawaii",NA,54
"Hawaii",63,68
"Hawaii",68,NA
"Hawaii",72,NA
"Hawaii",65,75
"Hawaii",43,84
"Hawaii",64,83
"Hawaii",65,83
"Hawaii",69,NA
"Hawaii",68,NA
"Hawaii",NA,96
"Hawaii",57,NA
"Hawaii",45,96
"Hawaii",83,NA
"Hawaii",48,67
"Hawaii",64,87
"Hawaii",61,71
"Hawaii",52,52
"Hawaii",51,65
"Hawaii",63,83
"Hawaii",75,28
"Hawaii",79,67
"Hawaii",67,80
"Hawaii",83,78
"Hawaii",91,94
"Hawaii",70,NA
"Hawaii",45,NA
"Hawaii",42,NA
"Hawaii",85,77
"Hawaii",41,NA
"Hawaii",NA,69
"Hawaii",82,58
"Hawaii",79,58
"Hawaii",61,87
"Hawaii",NA,64
"Hawaii",59,61
"Hawaii",61,71
"Hawaii",48,49
"Hawaii",79,35
"Hawaii",53,71
"Hawaii",70,62
"Hawaii",66,71
"Hawaii",72,79
"Hawaii",61,41
"Hawaii",72,74
"Hawaii",76,93
"Hawaii",86,81
"Hawaii",NA,52
"Hawaii",65,81
"Hawaii",41,79
"Hawaii",55,55
"Hawaii",67,84
"Hawaii",NA,54
"Hawaii",59,75
"Hawaii",77,84
"Hawaii",70,69
"Hawaii",75,58
"Hawaii",63,78
"Hawaii",56,NA
"Hawaii",65,54
"Hawaii",73,81
"Hawaii",61,59
"Hawaii",39,75
"Hawaii",41,82
"Hawaii",59,61
"Hawaii",NA,92
"Hawaii",87,NA
"Hawaii",61,88
"Hawaii",57,67
"Hawaii",54,64
"Hawaii",48,88
"Hawaii",52,59
"Hawaii",56,NA
"Hawaii",64,NA
"Hawaii",75,80
"Hawaii",59,50
"Hawaii",69,53
"Hawaii",50,78
"Hawaii",72,59
"Hawaii",41,65
"Hawaii",71,97
"Hawaii",87,NA
"Hawaii",NA,74
"Hawaii",64,44
"Hawaii",74,58
"Hawaii",56,82
"Hawaii",53,67
"Hawaii",63,69
"Hawaii",67,44
"Hawaii",52,84
"Hawaii",62,46
"Hawaii",70,NA
"Hawaii",73,32
"Hawaii",69,52
"Hawaii",55,86
"Hawaii",76,87
"Hawaii",82,80
"Hawaii",66,65
"Hawaii",45,66
"Hawaii",66,73
"Hawaii",90,NA
"Hawaii",72,72
"Hawaii",63,71
"Hawaii",63,59
"Hawaii",47,50
"Hawaii",37,56
"Hawaii",73,95
"Hawaii",52,NA
"Hawaii",80,85
"Hawaii",57,70
"Hawaii",56,68
"Hawaii",59,69
"Hawaii",31,58
"Hawaii",57,48
"Hawaii",93,72
"Hawaii",57,55
"Hawaii",72,68
"Hawaii",49,97
"Hawaii",57,71
"Hawaii",74,64
"Hawaii",67,87
"Hawaii",74,75
"Hawaii",63,71
"Hawaii",55,93
"Hawaii",64,61
"Hawaii",57,NA
"Hawaii",72,56
"Hawaii",61,47
"Hawaii",57,47
"Hawaii",59,71
"Hawaii",67,68
"Hawaii",76,97
"Hawaii",55,69
"Hawaii",32,58
"Hawaii",72,47
"Hawaii",71,99
"Hawaii",51,57
"Hawaii",NA,50
"Hawaii",59,NA
"Hawaii",43,80
"Hawaii",NA,NA
"Hawaii",49,67
"Hawaii",92,47
"Hawaii",60,26
"Hawaii",57,NA
"Hawaii",88,NA
"Hawaii",27,56
"Hawaii",63,89
"Hawaii",55,65
"Hawaii",43,NA
"Hawaii",54,65
"Hawaii",43,78
"Hawaii",NA,49
"Hawaii",NA,NA
"Hawaii",68,76
"Hawaii",40,56
"Hawaii",33,71
"Hawaii",51,44
"Hawaii",62,64
"Hawaii",65,59
"Hawaii",50,NA
"Hawaii",76,NA
"Hawaii",60,49
"Hawaii",57,67
"Hawaii",57,75
"Hawaii",NA,39
"Hawaii",67,66
"Hawaii",NA,NA
"Hawaii",NA,70
"Hawaii",40,72
"Hawaii",66,64
"Hawaii",51,NA
"Hawaii",57,70
"Hawaii",77,61
"Hawaii",60,90
"Hawaii",74,34
"Hawaii",34,64
"Hawaii",92,51
"Hawaii",59,91
"Hawaii",46,96
"Hawaii",63,66
"Hawaii",NA,45
"Hawaii",57,61
"Hawaii",48,80
"Hawaii",66,78
"Hawaii",64,49
"Hawaii",64,76
"Hawaii",89,99
"Hawaii",63,NA
"Hawaii",61,77
"Hawaii",64,71
"Hawaii",57,56
"Hawaii",57,59
"Hawaii",60,78
"Hawaii",61,76
"Hawaii",60,72
"Hawaii",60,42
"Hawaii",42,NA
"Hawaii",58,60
"Hawaii",70,71
"Hawaii",NA,53
"Hawaii",NA,92
"Hawaii",72,60
"Hawaii",62,83
"Hawaii",89,63
"Hawaii",57,57
"Hawaii",56,NA
"Hawaii",73,NA
"Hawaii",68,55
"Hawaii",43,NA
"Hawaii",83,NA
"Hawaii",57,74
"Hawaii",68,96
"Hawaii",90,NA
"Hawaii",77,NA
"Hawaii",73,49
"Hawaii",42,49
"Hawaii",72,86
"Hawaii",NA,52
"Hawaii",NA,NA
"Hawaii",53,87
"Hawaii",64,74
"Hawaii",56,65
"Hawaii",54,76
"Hawaii",57,NA
"Hawaii",72,69
"Hawaii",NA,NA
"Hawaii",56,81
"Hawaii",NA,83
"Hawaii",34,69
"Hawaii",45,79
"Hawaii",69,81
"Hawaii",57,58
"Hawaii",43,84
"Hawaii",48,87
"Hawaii",68,65
"Hawaii",44,NA
"Hawaii",95,56
"Hawaii",49,58
"Hawaii",57,69
"Hawaii",48,76
"Hawaii",43,71
"Hawaii",NA,NA
"Hawaii",71,62
"Hawaii",61,NA
"Hawaii",39,78
"Hawaii",37,51
"Hawaii",89,60
"Hawaii",NA,68
"Hawaii",79,73
"Hawaii",55,90
"Hawaii",61,47
"Hawaii",86,76
"Hawaii",NA,73
"Hawaii",50,75
"Hawaii",64,79
"Hawaii",59,NA
"Hawaii",55,77
"Hawaii",60,82
"Hawaii",52,52
"Hawaii",72,73
"Hawaii",36,NA
"Hawaii",51,53
"Hawaii",67,53
"Hawaii",61,72
"Hawaii",75,80
"Hawaii",80,74
"Hawaii",71,74
"Hawaii",58,49
"Hawaii",70,33
"Hawaii",58,90
"Hawaii",36,85
"Hawaii",NA,78
"Hawaii",85,57
"Hawaii",31,82
"Hawaii",83,89
"Hawaii",49,66
"Hawaii",54,NA
"Hawaii",71,NA
"Hawaii",71,57
"Hawaii",65,50
"Hawaii",48,NA
"Hawaii",64,NA
"Hawaii",74,58
"Hawaii",49,45
"Hawaii",72,64
"Hawaii",67,59
"Hawaii",69,41
"Hawaii",87,68
"Hawaii",NA,65
"Hawaii",64,60
"Hawaii",58,NA
"Hawaii",70,NA
"Hawaii",66,81
"Hawaii",97,72
"Hawaii",71,40
"Hawaii",75,61
