"state","pre","post"
"Idaho",52,49
"Idaho",23,NA
"Idaho",61,54
"Idaho",NA,61
"Idaho",53,47
"Idaho",41,30
"Idaho",69,41
"Idaho",40,NA
"Idaho",64,39
"Idaho",43,70
"Idaho",49,44
"Idaho",53,57
"Idaho",49,28
"Idaho",38,39
"Idaho",50,64
"Idaho",52,40
"Idaho",30,NA
"Idaho",NA,35
"Idaho",25,NA
"Idaho",60,40
"Idaho",77,15
"Idaho",39,47
"Idaho",42,22
"Idaho",33,53
"Idaho",61,NA
"Idaho",25,65
"Idaho",54,58
"Idaho",56,29
"Idaho",38,71
"Idaho",51,58
"Idaho",NA,NA
"Idaho",24,NA
"Idaho",60,39
"Idaho",35,49
"Idaho",52,NA
"Idaho",51,19
"Idaho",78,35
"Idaho",35,35
"Idaho",45,58
"Idaho",29,18
"Idaho",36,NA
"Idaho",70,67
"Idaho",48,34
"Idaho",74,26
"Idaho",58,NA
"Idaho",60,49
"Idaho",47,53
"Idaho",37,38
"Idaho",37,39
"Idaho",45,NA
"Idaho",49,37
"Idaho",40,31
"Idaho",34,56
"Idaho",46,63
"Idaho",47,44
"Idaho",NA,54
"Idaho",36,24
"Idaho",NA,36
"Idaho",44,54
"Idaho",27,65
"Idaho",NA,21
"Idaho",26,NA
"Idaho",51,63
"Idaho",53,40
"Idaho",34,39
"Idaho",34,43
"Idaho",44,57
"Idaho",26,43
"Idaho",30,48
"Idaho",62,58
"Idaho",30,NA
"Idaho",NA,51
"Idaho",20,42
"Idaho",46,25
"Idaho",51,51
"Idaho",64,40
"Idaho",73,51
"Idaho",52,25
"Idaho",37,37
"Idaho",53,56
"Idaho",34,26
"Idaho",21,81
"Idaho",39,NA
"Idaho",NA,28
"Idaho",53,49
"Idaho",38,24
"Idaho",72,30
"Idaho",62,54
"Idaho",17,54
"Idaho",70,NA
"Idaho",NA,47
"Idaho",NA,31
"Idaho",47,41
"Idaho",48,31
"Idaho",57,6
"Idaho",82,34
"Idaho",43,38
"Idaho",NA,56
"Idaho",64,29
"Idaho",44,37
"Idaho",71,48
"Idaho",42,50
"Idaho",NA,41
"Idaho",58,42
"Idaho",40,49
"Idaho",66,60
"Idaho",47,NA
"Idaho",18,31
"Idaho",NA,53
"Idaho",27,49
"Idaho",57,37
"Idaho",65,NA
"Idaho",53,55
"Idaho",48,44
"Idaho",62,50
"Idaho",53,10
"Idaho",NA,46
"Idaho",75,51
"Idaho",42,33
"Idaho",65,60
"Idaho",38,9
"Idaho",22,NA
"Idaho",NA,45
