"state","pre","post"
"Illinois",28,85
"Illinois",40,74
"Illinois",50,61
"Illinois",32,74
"Illinois",54,84
"Illinois",NA,78
"Illinois",65,76
"Illinois",20,52
"Illinois",71,72
"Illinois",41,53
"Illinois",24,77
"Illinois",43,82
"Illinois",NA,92
"Illinois",72,71
"Illinois",32,83
"Illinois",48,56
"Illinois",25,65
"Illinois",42,78
"Illinois",47,84
"Illinois",47,97
"Illinois",67,NA
"Illinois",42,76
"Illinois",65,56
"Illinois",36,74
"Illinois",53,71
"Illinois",47,44
"Illinois",45,95
"Illinois",70,73
"Illinois",22,67
"Illinois",32,NA
"Illinois",66,52
"Illinois",36,NA
"Illinois",22,NA
"Illinois",25,NA
"Illinois",46,72
"Illinois",35,70
"Illinois",38,76
"Illinois",NA,64
"Illinois",58,99
"Illinois",30,69
"Illinois",39,59
"Illinois",44,60
"Illinois",46,67
"Illinois",44,66
"Illinois",40,66
"Illinois",NA,68
"Illinois",38,61
"Illinois",24,66
"Illinois",58,85
"Illinois",38,NA
"Illinois",25,85
"Illinois",NA,87
"Illinois",44,81
"Illinois",52,56
"Illinois",28,68
"Illinois",56,NA
"Illinois",42,84
"Illinois",56,65
"Illinois",32,78
"Illinois",28,60
"Illinois",28,85
"Illinois",61,72
"Illinois",51,58
"Illinois",NA,82
"Illinois",22,NA
"Illinois",50,71
"Illinois",24,86
"Illinois",48,50
"Illinois",NA,71
"Illinois",NA,72
"Illinois",64,97
"Illinois",35,62
"Illinois",44,98
"Illinois",43,74
"Illinois",30,61
"Illinois",42,57
"Illinois",28,83
"Illinois",43,52
"Illinois",32,35
"Illinois",35,72
"Illinois",30,NA
"Illinois",53,51
"Illinois",41,83
"Illinois",30,41
"Illinois",33,91
"Illinois",40,69
"Illinois",42,72
"Illinois",41,70
"Illinois",NA,76
"Illinois",39,64
"Illinois",57,66
"Illinois",NA,54
"Illinois",51,87
"Illinois",26,NA
"Illinois",29,91
"Illinois",33,NA
"Illinois",48,65
"Illinois",31,63
"Illinois",17,70
"Illinois",48,83
"Illinois",46,84
"Illinois",27,62
"Illinois",70,54
"Illinois",69,82
"Illinois",26,39
"Illinois",45,69
"Illinois",NA,NA
"Illinois",41,50
"Illinois",52,NA
"Illinois",35,65
"Illinois",47,80
"Illinois",19,79
"Illinois",32,97
"Illinois",32,60
"Illinois",38,74
"Illinois",61,58
"Illinois",54,79
"Illinois",35,71
"Illinois",33,69
"Illinois",23,43
"Illinois",56,62
"Illinois",29,66
"Illinois",37,72
"Illinois",63,64
"Illinois",27,86
"Illinois",43,73
"Illinois",22,57
"Illinois",44,56
"Illinois",57,44
"Illinois",39,84
"Illinois",52,80
"Illinois",54,71
"Illinois",36,NA
"Illinois",44,49
"Illinois",44,59
"Illinois",23,61
"Illinois",42,68
"Illinois",43,41
"Illinois",14,81
"Illinois",46,98
"Illinois",61,72
"Illinois",30,77
"Illinois",38,78
"Illinois",30,60
"Illinois",45,NA
"Illinois",43,88
"Illinois",45,74
"Illinois",NA,76
"Illinois",30,NA
"Illinois",48,46
"Illinois",41,73
"Illinois",47,99
"Illinois",55,58
"Illinois",35,49
"Illinois",23,78
"Illinois",89,NA
"Illinois",40,70
"Illinois",36,61
"Illinois",38,76
"Illinois",50,56
"Illinois",34,65
"Illinois",50,77
"Illinois",58,NA
"Illinois",41,70
"Illinois",75,66
"Illinois",59,72
"Illinois",25,61
"Illinois",59,59
"Illinois",10,48
"Illinois",50,55
"Illinois",49,66
"Illinois",63,64
"Illinois",40,76
"Illinois",17,63
"Illinois",45,74
"Illinois",61,64
"Illinois",23,65
"Illinois",36,50
"Illinois",58,69
"Illinois",35,96
"Illinois",37,52
"Illinois",35,53
"Illinois",51,67
"Illinois",31,85
"Illinois",51,35
"Illinois",50,59
"Illinois",46,52
"Illinois",27,71
"Illinois",47,81
"Illinois",35,59
"Illinois",54,65
"Illinois",89,70
"Illinois",63,80
"Illinois",67,NA
"Illinois",50,58
"Illinois",27,88
"Illinois",NA,45
"Illinois",71,73
"Illinois",44,NA
"Illinois",34,76
"Illinois",55,84
"Illinois",59,81
"Illinois",63,89
"Illinois",21,71
"Illinois",26,75
"Illinois",27,64
"Illinois",43,78
"Illinois",54,63
"Illinois",21,86
"Illinois",54,79
"Illinois",34,77
"Illinois",65,55
"Illinois",22,74
"Illinois",21,78
"Illinois",44,65
"Illinois",47,97
"Illinois",8,85
"Illinois",NA,96
"Illinois",32,85
"Illinois",52,69
"Illinois",57,NA
"Illinois",60,NA
"Illinois",7,71
"Illinois",24,67
"Illinois",29,86
"Illinois",42,58
"Illinois",58,60
"Illinois",53,NA
"Illinois",27,80
"Illinois",38,77
"Illinois",49,79
"Illinois",42,81
"Illinois",48,62
"Illinois",34,79
"Illinois",52,58
"Illinois",63,NA
"Illinois",68,46
"Illinois",31,64
"Illinois",27,81
"Illinois",26,78
"Illinois",60,64
