"state","pre","post"
"Iowa",51,NA
"Iowa",58,61
"Iowa",49,69
"Iowa",47,85
"Iowa",37,60
"Iowa",49,NA
"Iowa",37,67
"Iowa",40,75
"Iowa",31,77
"Iowa",28,88
"Iowa",36,52
"Iowa",64,66
"Iowa",57,77
"Iowa",30,55
"Iowa",29,52
"Iowa",46,62
"Iowa",26,92
"Iowa",22,77
"Iowa",63,69
"Iowa",70,NA
"Iowa",18,56
"Iowa",59,66
"Iowa",52,38
"Iowa",66,86
"Iowa",42,94
"Iowa",44,29
"Iowa",59,62
"Iowa",33,63
"Iowa",48,72
"Iowa",23,94
"Iowa",57,49
"Iowa",36,67
"Iowa",23,56
"Iowa",16,NA
"Iowa",22,50
"Iowa",51,43
"Iowa",32,NA
"Iowa",29,61
"Iowa",39,78
"Iowa",50,75
"Iowa",41,NA
"Iowa",33,45
"Iowa",23,86
"Iowa",34,49
"Iowa",40,51
"Iowa",30,76
"Iowa",41,65
"Iowa",49,63
"Iowa",67,62
"Iowa",49,52
"Iowa",56,40
"Iowa",61,53
"Iowa",49,73
"Iowa",51,67
"Iowa",51,51
"Iowa",55,85
"Iowa",58,69
"Iowa",57,73
"Iowa",60,NA
"Iowa",31,53
"Iowa",20,55
"Iowa",77,NA
"Iowa",68,52
"Iowa",56,34
"Iowa",57,57
"Iowa",40,33
"Iowa",64,55
"Iowa",51,75
"Iowa",38,68
"Iowa",43,60
"Iowa",38,81
"Iowa",62,51
"Iowa",6,NA
"Iowa",22,60
"Iowa",40,72
"Iowa",29,44
"Iowa",32,31
"Iowa",31,67
"Iowa",30,31
"Iowa",44,84
"Iowa",67,56
"Iowa",7,48
"Iowa",34,58
"Iowa",45,95
"Iowa",53,NA
"Iowa",64,NA
"Iowa",65,51
"Iowa",34,NA
"Iowa",72,78
"Iowa",31,52
"Iowa",21,56
"Iowa",NA,51
"Iowa",43,72
"Iowa",23,NA
"Iowa",23,41
"Iowa",40,52
"Iowa",35,85
"Iowa",51,56
"Iowa",58,49
"Iowa",44,90
"Iowa",56,42
"Iowa",31,81
"Iowa",41,68
"Iowa",41,NA
"Iowa",NA,76
"Iowa",NA,63
"Iowa",48,41
"Iowa",33,72
"Iowa",39,57
"Iowa",82,59
"Iowa",51,63
"Iowa",38,68
"Iowa",37,NA
"Iowa",34,73
"Iowa",39,81
"Iowa",51,41
"Iowa",45,52
"Iowa",68,59
"Iowa",58,NA
"Iowa",47,NA
"Iowa",48,48
"Iowa",45,86
"Iowa",55,59
"Iowa",43,49
"Iowa",14,76
"Iowa",36,80
"Iowa",43,62
"Iowa",52,61
"Iowa",50,53
"Iowa",33,58
"Iowa",NA,69
"Iowa",36,68
"Iowa",83,71
"Iowa",66,51
"Iowa",47,50
"Iowa",58,NA
"Iowa",10,84
"Iowa",11,47
"Iowa",22,56
"Iowa",31,53
"Iowa",18,58
"Iowa",50,54
"Iowa",50,50
"Iowa",42,66
"Iowa",45,NA
"Iowa",63,62
"Iowa",49,72
"Iowa",50,64
"Iowa",43,81
"Iowa",35,75
"Iowa",31,40
"Iowa",66,59
"Iowa",85,NA
"Iowa",53,85
"Iowa",30,67
"Iowa",26,63
"Iowa",38,71
"Iowa",32,56
"Iowa",44,58
"Iowa",44,67
"Iowa",62,41
"Iowa",54,79
"Iowa",52,68
"Iowa",25,68
"Iowa",39,69
"Iowa",50,48
"Iowa",30,78
"Iowa",44,NA
"Iowa",45,84
"Iowa",41,51
"Iowa",32,76
"Iowa",55,95
"Iowa",44,38
"Iowa",40,76
"Iowa",19,79
"Iowa",29,69
"Iowa",41,64
"Iowa",38,63
"Iowa",79,56
"Iowa",52,49
"Iowa",36,68
"Iowa",NA,49
"Iowa",38,NA
"Iowa",NA,58
"Iowa",67,56
"Iowa",44,NA
"Iowa",35,51
"Iowa",34,57
"Iowa",53,80
"Iowa",22,48
"Iowa",45,63
"Iowa",44,33
"Iowa",46,NA
"Iowa",16,80
"Iowa",36,38
"Iowa",44,36
"Iowa",46,61
"Iowa",23,55
"Iowa",33,NA
"Iowa",8,63
"Iowa",38,67
"Iowa",38,62
"Iowa",58,65
"Iowa",67,NA
"Iowa",39,64
"Iowa",41,55
"Iowa",47,92
"Iowa",50,65
"Iowa",45,83
"Iowa",39,74
"Iowa",45,72
"Iowa",66,60
"Iowa",45,84
"Iowa",54,46
"Iowa",17,62
"Iowa",37,82
"Iowa",27,67
"Iowa",48,NA
"Iowa",35,83
"Iowa",34,92
"Iowa",59,76
"Iowa",40,64
"Iowa",37,88
"Iowa",32,44
"Iowa",24,43
"Iowa",47,57
"Iowa",21,56
"Iowa",42,79
"Iowa",62,84
"Iowa",13,50
"Iowa",64,71
"Iowa",59,68
"Iowa",53,55
"Iowa",50,81
"Iowa",60,65
"Iowa",43,55
"Iowa",25,62
"Iowa",54,67
"Iowa",21,86
"Iowa",11,42
"Iowa",50,37
"Iowa",62,54
"Iowa",17,86
"Iowa",46,42
"Iowa",20,NA
"Iowa",40,61
"Iowa",49,65
"Iowa",59,NA
"Iowa",43,72
"Iowa",53,40
"Iowa",18,50
"Iowa",37,78
"Iowa",35,NA
"Iowa",70,64
"Iowa",34,62
"Iowa",51,73
"Iowa",50,67
"Iowa",16,80
"Iowa",49,72
"Iowa",23,46
"Iowa",48,64
"Iowa",35,56
"Iowa",27,49
"Iowa",43,51
"Iowa",47,54
"Iowa",27,69
"Iowa",22,72
"Iowa",54,76
"Iowa",27,NA
"Iowa",48,36
"Iowa",24,78
"Iowa",21,79
"Iowa",39,77
"Iowa",49,60
"Iowa",40,63
"Iowa",46,49
"Iowa",59,54
"Iowa",53,84
"Iowa",14,NA
"Iowa",73,70
"Iowa",54,60
"Iowa",41,60
"Iowa",49,84
"Iowa",16,78
"Iowa",45,68
"Iowa",38,74
"Iowa",41,68
"Iowa",32,47
"Iowa",44,92
"Iowa",36,68
"Iowa",54,78
"Iowa",70,70
"Iowa",44,75
"Iowa",37,NA
"Iowa",32,47
"Iowa",41,49
"Iowa",25,55
"Iowa",65,NA
"Iowa",59,56
"Iowa",40,56
"Iowa",55,79
"Iowa",45,80
"Iowa",66,85
"Iowa",50,47
"Iowa",25,46
"Iowa",26,61
"Iowa",41,67
"Iowa",45,59
"Iowa",29,73
"Iowa",28,62
"Iowa",53,85
