"state","pre","post"
"Kansas",56,NA
"Kansas",11,69
"Kansas",55,71
"Kansas",44,62
"Kansas",47,NA
"Kansas",NA,54
"Kansas",NA,79
"Kansas",53,78
"Kansas",54,97
"Kansas",85,73
"Kansas",28,86
"Kansas",66,39
"Kansas",38,72
"Kansas",55,NA
"Kansas",NA,89
"Kansas",43,57
"Kansas",16,71
"Kansas",49,80
"Kansas",57,NA
"Kansas",NA,62
"Kansas",NA,NA
"Kansas",60,71
"Kansas",68,76
"Kansas",52,76
"Kansas",29,88
"Kansas",NA,73
"Kansas",42,68
"Kansas",NA,NA
"Kansas",NA,66
"Kansas",39,70
"Kansas",69,NA
"Kansas",63,77
"Kansas",NA,NA
"Kansas",61,76
"Kansas",68,50
"Kansas",31,65
"Kansas",NA,75
"Kansas",66,46
"Kansas",48,89
"Kansas",73,71
"Kansas",36,80
"Kansas",62,56
"Kansas",75,NA
"Kansas",54,37
"Kansas",40,48
"Kansas",52,78
"Kansas",41,82
"Kansas",55,87
"Kansas",65,53
"Kansas",51,77
"Kansas",41,68
"Kansas",NA,72
"Kansas",68,63
"Kansas",71,90
"Kansas",66,70
"Kansas",NA,39
"Kansas",60,66
"Kansas",NA,90
"Kansas",70,NA
"Kansas",37,NA
"Kansas",NA,88
"Kansas",71,58
"Kansas",49,89
"Kansas",49,NA
"Kansas",45,NA
"Kansas",NA,68
"Kansas",60,46
"Kansas",62,78
"Kansas",52,83
"Kansas",29,31
"Kansas",25,74
"Kansas",35,75
"Kansas",74,84
"Kansas",50,98
"Kansas",58,73
"Kansas",87,78
"Kansas",58,72
"Kansas",47,81
"Kansas",NA,52
"Kansas",47,67
"Kansas",28,83
"Kansas",62,84
"Kansas",NA,63
"Kansas",38,66
"Kansas",41,NA
"Kansas",35,63
"Kansas",NA,NA
"Kansas",60,74
"Kansas",44,NA
"Kansas",NA,66
"Kansas",53,89
"Kansas",72,NA
"Kansas",32,80
"Kansas",80,83
"Kansas",71,NA
"Kansas",49,79
"Kansas",49,75
"Kansas",57,89
"Kansas",NA,71
"Kansas",36,66
"Kansas",85,36
"Kansas",83,NA
"Kansas",NA,61
"Kansas",40,74
"Kansas",47,82
"Kansas",49,58
"Kansas",58,NA
"Kansas",49,96
"Kansas",29,59
"Kansas",NA,79
"Kansas",61,NA
"Kansas",63,55
"Kansas",63,51
"Kansas",62,68
"Kansas",62,82
"Kansas",84,68
"Kansas",NA,NA
"Kansas",12,44
"Kansas",76,72
"Kansas",43,69
"Kansas",75,NA
"Kansas",43,83
"Kansas",59,94
"Kansas",53,59
"Kansas",42,97
"Kansas",45,NA
"Kansas",48,78
"Kansas",37,50
"Kansas",41,NA
"Kansas",54,84
"Kansas",32,69
"Kansas",34,83
"Kansas",43,84
"Kansas",58,48
"Kansas",48,59
"Kansas",50,49
"Kansas",37,58
"Kansas",98,67
"Kansas",41,68
"Kansas",31,NA
"Kansas",25,68
"Kansas",59,97
"Kansas",35,74
"Kansas",60,97
"Kansas",69,57
"Kansas",54,67
"Kansas",78,NA
"Kansas",NA,NA
"Kansas",NA,71
"Kansas",40,78
"Kansas",31,92
"Kansas",65,62
"Kansas",43,79
"Kansas",52,68
"Kansas",47,82
"Kansas",82,76
"Kansas",45,79
"Kansas",NA,NA
"Kansas",36,NA
"Kansas",33,70
"Kansas",57,72
"Kansas",71,NA
"Kansas",68,52
"Kansas",NA,43
"Kansas",60,57
"Kansas",40,66
"Kansas",42,60
"Kansas",38,68
"Kansas",61,29
"Kansas",66,75
"Kansas",55,92
"Kansas",56,59
"Kansas",53,60
"Kansas",72,85
"Kansas",31,72
"Kansas",75,87
"Kansas",48,NA
"Kansas",35,69
"Kansas",25,56
"Kansas",41,43
"Kansas",NA,59
"Kansas",NA,NA
"Kansas",62,87
"Kansas",54,11
"Kansas",57,49
"Kansas",NA,42
"Kansas",NA,64
"Kansas",51,64
"Kansas",65,87
"Kansas",28,68
"Kansas",75,47
"Kansas",49,83
"Kansas",75,NA
"Kansas",60,61
"Kansas",51,47
"Kansas",38,NA
"Kansas",33,81
"Kansas",57,76
"Kansas",73,78
"Kansas",28,68
"Kansas",29,58
"Kansas",66,62
"Kansas",61,83
"Kansas",67,68
"Kansas",41,62
"Kansas",59,59
"Kansas",51,72
"Kansas",48,94
"Kansas",28,67
"Kansas",44,NA
"Kansas",55,84
"Kansas",NA,84
"Kansas",64,74
"Kansas",NA,82
"Kansas",59,76
"Kansas",NA,46
"Kansas",NA,63
"Kansas",61,69
"Kansas",NA,93
"Kansas",43,75
"Kansas",38,66
"Kansas",54,75
"Kansas",NA,NA
"Kansas",40,81
"Kansas",60,76
"Kansas",41,56
"Kansas",28,NA
"Kansas",70,68
"Kansas",45,NA
"Kansas",40,44
