"state","pre","post"
"Kentucky",21,77
"Kentucky",77,NA
"Kentucky",40,63
"Kentucky",16,85
"Kentucky",21,95
"Kentucky",73,76
"Kentucky",39,68
"Kentucky",41,94
"Kentucky",49,96
"Kentucky",NA,69
"Kentucky",43,79
"Kentucky",NA,71
"Kentucky",32,NA
"Kentucky",54,67
"Kentucky",39,86
"Kentucky",32,47
"Kentucky",58,88
"Kentucky",51,71
"Kentucky",23,NA
"Kentucky",NA,87
"Kentucky",57,73
"Kentucky",47,54
"Kentucky",38,91
"Kentucky",43,71
"Kentucky",52,67
"Kentucky",32,95
"Kentucky",NA,NA
"Kentucky",26,81
"Kentucky",57,76
"Kentucky",49,85
"Kentucky",26,63
"Kentucky",42,63
"Kentucky",46,NA
"Kentucky",34,79
"Kentucky",41,NA
"Kentucky",51,56
"Kentucky",56,81
"Kentucky",39,NA
"Kentucky",11,76
"Kentucky",34,71
"Kentucky",26,49
"Kentucky",NA,70
"Kentucky",46,72
"Kentucky",39,63
"Kentucky",5,90
"Kentucky",27,97
"Kentucky",35,83
"Kentucky",NA,81
"Kentucky",68,50
"Kentucky",44,69
"Kentucky",38,78
"Kentucky",44,77
"Kentucky",10,78
"Kentucky",69,NA
"Kentucky",NA,89
"Kentucky",39,91
"Kentucky",NA,96
"Kentucky",19,NA
"Kentucky",39,88
"Kentucky",44,56
"Kentucky",20,79
"Kentucky",22,72
"Kentucky",60,76
"Kentucky",47,78
"Kentucky",40,72
"Kentucky",57,71
"Kentucky",NA,58
"Kentucky",NA,65
"Kentucky",12,NA
"Kentucky",35,92
"Kentucky",21,39
"Kentucky",43,74
"Kentucky",35,66
"Kentucky",19,69
"Kentucky",20,NA
"Kentucky",36,68
"Kentucky",23,91
"Kentucky",NA,89
"Kentucky",51,87
"Kentucky",23,48
"Kentucky",37,95
"Kentucky",59,78
"Kentucky",47,76
"Kentucky",28,NA
"Kentucky",62,72
"Kentucky",55,70
"Kentucky",47,84
"Kentucky",NA,NA
"Kentucky",NA,94
"Kentucky",47,76
"Kentucky",43,96
"Kentucky",46,60
"Kentucky",45,60
"Kentucky",52,86
"Kentucky",32,91
"Kentucky",46,79
"Kentucky",54,64
"Kentucky",73,NA
"Kentucky",34,84
"Kentucky",NA,80
"Kentucky",56,77
"Kentucky",44,94
"Kentucky",30,NA
"Kentucky",42,74
"Kentucky",31,88
"Kentucky",33,NA
"Kentucky",NA,97
"Kentucky",44,75
"Kentucky",41,67
"Kentucky",32,88
"Kentucky",41,NA
"Kentucky",NA,86
"Kentucky",35,90
"Kentucky",NA,98
"Kentucky",71,53
"Kentucky",28,NA
"Kentucky",23,NA
"Kentucky",32,81
"Kentucky",61,86
"Kentucky",NA,74
"Kentucky",10,NA
"Kentucky",60,82
"Kentucky",40,NA
"Kentucky",31,NA
"Kentucky",27,95
"Kentucky",35,72
"Kentucky",37,NA
"Kentucky",50,80
"Kentucky",42,80
"Kentucky",46,NA
"Kentucky",56,74
"Kentucky",50,NA
"Kentucky",36,78
"Kentucky",51,91
"Kentucky",54,73
"Kentucky",52,59
"Kentucky",62,76
"Kentucky",65,84
"Kentucky",49,73
"Kentucky",59,77
"Kentucky",58,NA
"Kentucky",54,72
"Kentucky",32,85
"Kentucky",43,86
"Kentucky",NA,95
"Kentucky",15,67
"Kentucky",58,92
"Kentucky",20,80
"Kentucky",46,72
"Kentucky",NA,87
"Kentucky",NA,64
"Kentucky",58,69
"Kentucky",50,NA
"Kentucky",39,76
"Kentucky",57,86
"Kentucky",42,NA
"Kentucky",18,97
"Kentucky",49,NA
"Kentucky",68,NA
"Kentucky",54,79
"Kentucky",59,86
"Kentucky",33,63
"Kentucky",45,95
"Kentucky",49,63
"Kentucky",31,64
"Kentucky",55,70
"Kentucky",64,71
"Kentucky",37,86
"Kentucky",44,84
"Kentucky",31,62
"Kentucky",67,79
"Kentucky",28,77
"Kentucky",27,88
"Kentucky",47,NA
"Kentucky",54,65
"Kentucky",64,74
"Kentucky",67,NA
"Kentucky",NA,64
"Kentucky",45,79
"Kentucky",65,NA
"Kentucky",78,63
"Kentucky",NA,77
"Kentucky",51,67
"Kentucky",45,46
"Kentucky",81,70
"Kentucky",38,90
"Kentucky",NA,55
"Kentucky",49,70
"Kentucky",NA,96
"Kentucky",NA,69
"Kentucky",23,87
"Kentucky",49,73
"Kentucky",62,95
"Kentucky",NA,73
"Kentucky",32,NA
"Kentucky",37,76
"Kentucky",60,89
"Kentucky",33,68
"Kentucky",42,89
"Kentucky",54,89
"Kentucky",31,62
"Kentucky",63,NA
"Kentucky",NA,65
"Kentucky",22,NA
"Kentucky",56,85
"Kentucky",51,72
"Kentucky",51,93
"Kentucky",49,81
"Kentucky",31,84
"Kentucky",16,82
"Kentucky",38,NA
"Kentucky",NA,71
"Kentucky",35,66
"Kentucky",52,NA
"Kentucky",48,85
"Kentucky",51,73
"Kentucky",47,62
"Kentucky",46,76
"Kentucky",NA,73
"Kentucky",50,69
"Kentucky",NA,80
"Kentucky",NA,88
"Kentucky",44,99
"Kentucky",37,90
"Kentucky",47,69
"Kentucky",64,72
"Kentucky",49,82
"Kentucky",47,85
"Kentucky",35,NA
