"state","pre","post"
"Louisiana",62,61
"Louisiana",39,45
"Louisiana",NA,89
"Louisiana",46,NA
"Louisiana",63,78
"Louisiana",26,74
"Louisiana",29,42
"Louisiana",33,57
"Louisiana",41,63
"Louisiana",39,46
"Louisiana",55,75
"Louisiana",76,64
"Louisiana",49,60
"Louisiana",NA,54
"Louisiana",62,53
"Louisiana",65,66
"Louisiana",37,52
"Louisiana",NA,55
"Louisiana",51,52
"Louisiana",28,64
"Louisiana",47,55
"Louisiana",47,NA
"Louisiana",40,65
"Louisiana",45,NA
"Louisiana",56,93
"Louisiana",9,89
"Louisiana",27,75
"Louisiana",87,86
"Louisiana",48,60
"Louisiana",35,63
"Louisiana",33,23
"Louisiana",62,42
"Louisiana",55,100
"Louisiana",53,74
"Louisiana",70,69
"Louisiana",51,60
"Louisiana",39,62
"Louisiana",32,61
"Louisiana",71,74
"Louisiana",52,90
"Louisiana",65,72
"Louisiana",62,59
"Louisiana",47,82
"Louisiana",NA,NA
"Louisiana",47,74
"Louisiana",60,78
"Louisiana",51,77
"Louisiana",58,85
"Louisiana",34,75
"Louisiana",NA,48
"Louisiana",56,53
"Louisiana",39,61
"Louisiana",NA,75
"Louisiana",48,42
"Louisiana",53,71
"Louisiana",39,79
"Louisiana",74,62
"Louisiana",48,66
"Louisiana",33,68
"Louisiana",33,93
"Louisiana",NA,77
"Louisiana",NA,85
"Louisiana",44,70
"Louisiana",38,66
"Louisiana",16,67
"Louisiana",53,94
"Louisiana",53,86
"Louisiana",68,66
"Louisiana",29,46
"Louisiana",34,88
"Louisiana",45,61
"Louisiana",42,53
"Louisiana",35,67
"Louisiana",27,82
"Louisiana",57,52
"Louisiana",34,43
"Louisiana",36,67
"Louisiana",63,61
"Louisiana",51,69
"Louisiana",54,98
"Louisiana",NA,84
"Louisiana",NA,61
"Louisiana",50,35
"Louisiana",59,NA
"Louisiana",31,NA
"Louisiana",32,68
"Louisiana",59,66
"Louisiana",56,56
"Louisiana",42,62
"Louisiana",44,82
"Louisiana",60,37
"Louisiana",24,58
"Louisiana",75,53
"Louisiana",77,32
"Louisiana",35,70
"Louisiana",32,74
"Louisiana",NA,90
"Louisiana",32,62
"Louisiana",61,62
"Louisiana",43,67
"Louisiana",41,88
"Louisiana",NA,64
"Louisiana",62,57
"Louisiana",30,77
"Louisiana",51,40
"Louisiana",53,54
"Louisiana",64,51
"Louisiana",34,46
"Louisiana",49,87
"Louisiana",41,39
"Louisiana",68,NA
"Louisiana",34,59
"Louisiana",60,70
"Louisiana",27,81
"Louisiana",NA,63
"Louisiana",73,51
"Louisiana",28,NA
"Louisiana",50,80
"Louisiana",54,75
"Louisiana",61,65
"Louisiana",22,53
"Louisiana",NA,76
"Louisiana",53,55
"Louisiana",21,67
"Louisiana",72,70
"Louisiana",NA,NA
"Louisiana",70,NA
