"state","pre","post"
"Maine",61,91
"Maine",NA,43
"Maine",63,NA
"Maine",66,47
"Maine",69,69
"Maine",57,NA
"Maine",82,75
"Maine",63,58
"Maine",39,64
"Maine",48,69
"Maine",73,NA
"Maine",74,68
"Maine",82,55
"Maine",70,83
"Maine",66,52
"Maine",91,72
"Maine",85,58
"Maine",53,NA
"Maine",85,53
"Maine",49,NA
"Maine",56,NA
"Maine",35,59
"Maine",73,NA
"Maine",61,63
"Maine",38,45
"Maine",84,NA
"Maine",67,51
"Maine",80,NA
"Maine",72,63
"Maine",58,61
"Maine",69,82
"Maine",83,37
"Maine",77,56
"Maine",51,44
"Maine",68,NA
"Maine",NA,65
"Maine",89,66
"Maine",44,53
"Maine",73,76
"Maine",74,75
"Maine",85,82
"Maine",59,NA
"Maine",64,52
"Maine",85,NA
"Maine",88,NA
"Maine",32,73
"Maine",45,78
"Maine",69,59
"Maine",75,44
"Maine",46,73
"Maine",46,66
"Maine",77,72
"Maine",67,59
"Maine",90,56
"Maine",66,69
"Maine",58,67
"Maine",62,75
"Maine",50,88
"Maine",50,NA
"Maine",66,73
"Maine",74,60
"Maine",72,84
"Maine",55,58
"Maine",75,59
"Maine",76,55
"Maine",54,63
"Maine",50,66
"Maine",86,85
"Maine",50,67
"Maine",51,59
"Maine",52,78
"Maine",74,44
"Maine",55,55
"Maine",54,72
"Maine",60,NA
"Maine",97,52
"Maine",85,82
"Maine",67,NA
"Maine",58,76
"Maine",66,39
"Maine",74,NA
"Maine",47,64
"Maine",85,NA
"Maine",32,47
"Maine",54,73
"Maine",50,83
"Maine",72,65
"Maine",67,88
"Maine",69,NA
"Maine",67,78
"Maine",67,NA
"Maine",91,NA
"Maine",58,50
"Maine",NA,38
"Maine",51,55
"Maine",73,49
"Maine",59,35
"Maine",68,49
"Maine",67,56
"Maine",NA,40
"Maine",78,77
"Maine",82,64
"Maine",60,54
"Maine",NA,89
"Maine",48,NA
"Maine",60,68
"Maine",53,75
"Maine",32,55
"Maine",58,36
"Maine",71,52
"Maine",61,47
"Maine",87,40
"Maine",48,64
"Maine",42,45
"Maine",83,NA
"Maine",79,65
"Maine",67,84
"Maine",56,43
"Maine",68,72
"Maine",46,NA
"Maine",73,51
"Maine",75,52
"Maine",87,45
"Maine",41,61
"Maine",62,70
"Maine",61,76
"Maine",38,61
"Maine",70,NA
"Maine",57,71
"Maine",97,59
"Maine",82,49
"Maine",68,71
"Maine",NA,27
"Maine",NA,NA
"Maine",74,64
"Maine",60,85
"Maine",NA,59
"Maine",94,37
"Maine",100,70
"Maine",71,56
"Maine",78,54
"Maine",59,57
"Maine",64,55
"Maine",77,58
"Maine",98,97
"Maine",80,67
"Maine",70,61
"Maine",93,50
"Maine",71,62
"Maine",38,NA
"Maine",NA,97
"Maine",49,67
"Maine",76,75
"Maine",88,NA
"Maine",77,42
"Maine",40,72
"Maine",56,72
"Maine",73,64
"Maine",84,66
"Maine",73,46
