"state","pre","post"
"Maryland",43,NA
"Maryland",87,44
"Maryland",46,72
"Maryland",46,67
"Maryland",67,NA
"Maryland",37,NA
"Maryland",63,39
"Maryland",64,29
"Maryland",92,29
"Maryland",68,NA
"Maryland",35,34
"Maryland",60,73
"Maryland",63,36
"Maryland",60,51
"Maryland",68,45
"Maryland",NA,51
"Maryland",41,35
"Maryland",53,31
"Maryland",55,52
"Maryland",73,37
"Maryland",65,49
"Maryland",27,26
"Maryland",57,55
"Maryland",62,18
"Maryland",58,45
"Maryland",44,35
"Maryland",53,52
"Maryland",51,53
"Maryland",40,51
"Maryland",57,47
"Maryland",8,38
"Maryland",56,22
"Maryland",53,NA
"Maryland",45,28
"Maryland",44,54
"Maryland",81,40
"Maryland",63,19
"Maryland",19,47
"Maryland",66,52
"Maryland",53,36
"Maryland",66,NA
"Maryland",83,NA
"Maryland",48,31
"Maryland",54,58
"Maryland",NA,48
"Maryland",61,58
"Maryland",84,42
"Maryland",50,52
"Maryland",NA,31
"Maryland",49,17
"Maryland",30,58
"Maryland",31,35
"Maryland",76,44
"Maryland",52,80
"Maryland",47,44
"Maryland",69,49
"Maryland",72,52
"Maryland",50,NA
"Maryland",77,60
"Maryland",57,NA
"Maryland",60,73
"Maryland",46,21
"Maryland",51,61
"Maryland",54,40
"Maryland",65,31
"Maryland",55,54
"Maryland",49,30
"Maryland",46,52
"Maryland",88,NA
"Maryland",37,53
"Maryland",NA,45
"Maryland",65,68
"Maryland",71,55
"Maryland",66,38
"Maryland",53,31
"Maryland",65,27
"Maryland",65,24
"Maryland",79,17
"Maryland",25,NA
"Maryland",12,40
"Maryland",78,NA
"Maryland",67,29
"Maryland",69,57
"Maryland",74,NA
"Maryland",NA,57
"Maryland",NA,15
"Maryland",57,83
"Maryland",50,50
"Maryland",29,21
"Maryland",55,38
"Maryland",74,NA
"Maryland",58,37
"Maryland",38,65
"Maryland",48,NA
"Maryland",28,62
"Maryland",45,87
"Maryland",78,63
"Maryland",37,52
"Maryland",35,45
"Maryland",70,47
"Maryland",46,NA
"Maryland",82,69
"Maryland",78,80
"Maryland",63,47
"Maryland",64,35
"Maryland",62,52
"Maryland",39,57
"Maryland",NA,NA
"Maryland",NA,NA
"Maryland",41,67
"Maryland",72,30
"Maryland",81,NA
"Maryland",32,50
"Maryland",48,31
"Maryland",40,42
"Maryland",59,30
"Maryland",59,NA
"Maryland",58,38
"Maryland",47,55
"Maryland",62,NA
"Maryland",48,41
"Maryland",NA,24
"Maryland",44,45
"Maryland",73,52
"Maryland",59,59
"Maryland",56,44
"Maryland",64,72
"Maryland",50,72
"Maryland",74,NA
"Maryland",53,49
"Maryland",41,55
"Maryland",45,62
"Maryland",66,27
"Maryland",50,50
"Maryland",40,NA
"Maryland",47,30
"Maryland",NA,41
"Maryland",NA,35
"Maryland",43,64
"Maryland",38,NA
"Maryland",44,49
"Maryland",48,41
"Maryland",64,37
"Maryland",50,NA
"Maryland",21,NA
"Maryland",52,45
"Maryland",77,45
"Maryland",62,36
"Maryland",60,39
"Maryland",68,39
"Maryland",NA,0
"Maryland",79,NA
"Maryland",38,48
"Maryland",26,43
"Maryland",61,48
"Maryland",63,43
"Maryland",62,49
"Maryland",77,28
"Maryland",85,10
"Maryland",46,NA
"Maryland",NA,22
"Maryland",NA,NA
"Maryland",57,42
"Maryland",68,13
"Maryland",62,35
"Maryland",43,64
"Maryland",68,50
"Maryland",51,41
"Maryland",54,62
"Maryland",58,NA
"Maryland",75,57
"Maryland",47,63
"Maryland",96,NA
"Maryland",79,36
"Maryland",NA,NA
"Maryland",74,NA
"Maryland",50,NA
"Maryland",72,13
"Maryland",51,53
"Maryland",25,49
"Maryland",53,64
"Maryland",68,41
"Maryland",57,31
"Maryland",49,44
"Maryland",76,55
"Maryland",71,42
"Maryland",50,NA
"Maryland",76,49
"Maryland",26,14
"Maryland",49,62
"Maryland",37,63
"Maryland",68,34
"Maryland",65,66
"Maryland",53,65
"Maryland",62,62
"Maryland",25,NA
"Maryland",59,51
"Maryland",61,31
"Maryland",62,NA
"Maryland",68,NA
"Maryland",57,67
"Maryland",35,4
"Maryland",65,NA
"Maryland",65,6
"Maryland",46,25
