"state","pre","post"
"Massachusetts",48,62
"Massachusetts",78,80
"Massachusetts",54,46
"Massachusetts",78,31
"Massachusetts",58,45
"Massachusetts",75,42
"Massachusetts",49,NA
"Massachusetts",55,56
"Massachusetts",36,48
"Massachusetts",72,41
"Massachusetts",57,35
"Massachusetts",56,53
"Massachusetts",86,37
"Massachusetts",66,45
"Massachusetts",83,46
"Massachusetts",58,34
"Massachusetts",67,37
"Massachusetts",64,76
"Massachusetts",71,44
"Massachusetts",NA,53
"Massachusetts",67,50
"Massachusetts",57,39
"Massachusetts",71,58
"Massachusetts",51,59
"Massachusetts",48,58
"Massachusetts",48,49
"Massachusetts",74,34
"Massachusetts",75,48
"Massachusetts",76,8
"Massachusetts",53,23
"Massachusetts",86,45
"Massachusetts",92,44
"Massachusetts",NA,57
"Massachusetts",72,34
"Massachusetts",45,NA
"Massachusetts",51,45
"Massachusetts",60,51
"Massachusetts",74,41
"Massachusetts",52,41
"Massachusetts",85,33
"Massachusetts",85,59
"Massachusetts",85,45
"Massachusetts",49,37
"Massachusetts",79,27
"Massachusetts",54,57
"Massachusetts",82,38
"Massachusetts",51,60
"Massachusetts",76,39
"Massachusetts",46,60
"Massachusetts",70,38
"Massachusetts",65,45
"Massachusetts",57,28
"Massachusetts",61,34
"Massachusetts",89,47
"Massachusetts",63,66
"Massachusetts",80,75
"Massachusetts",41,63
"Massachusetts",58,41
"Massachusetts",74,50
"Massachusetts",31,51
"Massachusetts",56,40
"Massachusetts",47,61
"Massachusetts",75,NA
"Massachusetts",48,23
"Massachusetts",40,32
"Massachusetts",55,51
"Massachusetts",48,47
"Massachusetts",NA,63
"Massachusetts",52,28
"Massachusetts",73,75
"Massachusetts",65,48
"Massachusetts",59,54
"Massachusetts",54,47
"Massachusetts",62,26
"Massachusetts",56,NA
"Massachusetts",27,19
"Massachusetts",47,58
"Massachusetts",80,44
"Massachusetts",49,62
"Massachusetts",72,11
"Massachusetts",43,56
"Massachusetts",73,70
"Massachusetts",57,35
"Massachusetts",74,59
"Massachusetts",58,37
"Massachusetts",61,45
"Massachusetts",64,28
"Massachusetts",73,6
"Massachusetts",68,34
"Massachusetts",NA,64
"Massachusetts",52,NA
"Massachusetts",39,62
"Massachusetts",51,NA
"Massachusetts",77,23
"Massachusetts",61,55
"Massachusetts",60,38
"Massachusetts",90,25
"Massachusetts",34,38
"Massachusetts",54,57
"Massachusetts",66,36
"Massachusetts",70,NA
"Massachusetts",50,50
"Massachusetts",73,58
"Massachusetts",67,NA
"Massachusetts",63,53
"Massachusetts",57,68
"Massachusetts",NA,57
"Massachusetts",NA,56
"Massachusetts",79,43
"Massachusetts",NA,32
"Massachusetts",62,68
"Massachusetts",76,60
"Massachusetts",63,34
"Massachusetts",NA,NA
"Massachusetts",72,60
"Massachusetts",60,58
"Massachusetts",73,NA
"Massachusetts",NA,52
"Massachusetts",99,37
"Massachusetts",52,29
"Massachusetts",75,37
"Massachusetts",56,41
"Massachusetts",84,27
"Massachusetts",NA,58
"Massachusetts",80,38
"Massachusetts",60,43
"Massachusetts",48,48
"Massachusetts",75,60
"Massachusetts",62,27
"Massachusetts",34,NA
"Massachusetts",40,51
"Massachusetts",61,NA
"Massachusetts",60,18
"Massachusetts",38,NA
"Massachusetts",58,28
"Massachusetts",58,68
"Massachusetts",NA,8
"Massachusetts",71,32
"Massachusetts",79,49
"Massachusetts",66,43
"Massachusetts",46,65
"Massachusetts",58,58
"Massachusetts",26,NA
"Massachusetts",37,40
"Massachusetts",77,64
"Massachusetts",37,82
"Massachusetts",74,40
"Massachusetts",53,40
"Massachusetts",47,58
"Massachusetts",73,35
"Massachusetts",61,44
"Massachusetts",63,52
"Massachusetts",37,52
"Massachusetts",71,43
"Massachusetts",84,41
"Massachusetts",60,60
"Massachusetts",70,68
"Massachusetts",50,69
"Massachusetts",68,71
"Massachusetts",41,NA
"Massachusetts",63,55
"Massachusetts",77,NA
"Massachusetts",52,22
"Massachusetts",57,65
"Massachusetts",61,NA
