"state","pre","post"
"Michigan",41,79
"Michigan",76,92
"Michigan",45,48
"Michigan",NA,67
"Michigan",70,63
"Michigan",33,61
"Michigan",34,79
"Michigan",27,87
"Michigan",25,98
"Michigan",62,83
"Michigan",50,93
"Michigan",31,NA
"Michigan",67,64
"Michigan",32,63
"Michigan",41,78
"Michigan",NA,50
"Michigan",26,63
"Michigan",53,81
"Michigan",57,65
"Michigan",39,81
"Michigan",70,75
"Michigan",64,72
"Michigan",46,85
"Michigan",62,NA
"Michigan",51,48
"Michigan",36,76
"Michigan",55,NA
"Michigan",NA,95
"Michigan",49,79
"Michigan",49,72
"Michigan",54,68
"Michigan",56,82
"Michigan",57,75
"Michigan",24,64
"Michigan",58,NA
"Michigan",53,86
"Michigan",81,54
"Michigan",22,NA
"Michigan",52,86
"Michigan",NA,61
"Michigan",68,64
"Michigan",48,63
"Michigan",51,71
"Michigan",68,70
"Michigan",NA,66
"Michigan",48,70
"Michigan",58,80
"Michigan",38,64
"Michigan",58,52
"Michigan",45,71
"Michigan",NA,62
"Michigan",35,69
"Michigan",42,68
"Michigan",34,NA
"Michigan",78,45
"Michigan",39,75
"Michigan",48,63
"Michigan",NA,60
"Michigan",NA,66
"Michigan",43,69
"Michigan",NA,NA
"Michigan",22,89
"Michigan",43,68
"Michigan",48,71
"Michigan",31,72
"Michigan",30,76
"Michigan",19,42
"Michigan",34,NA
"Michigan",20,63
"Michigan",44,90
"Michigan",29,88
"Michigan",NA,49
"Michigan",25,51
"Michigan",37,91
"Michigan",61,NA
"Michigan",14,NA
"Michigan",23,NA
"Michigan",56,NA
"Michigan",46,80
"Michigan",42,80
"Michigan",42,NA
"Michigan",42,80
"Michigan",57,67
"Michigan",28,66
"Michigan",43,69
"Michigan",61,62
"Michigan",71,74
"Michigan",26,78
"Michigan",34,63
"Michigan",36,66
"Michigan",26,68
"Michigan",42,66
"Michigan",35,NA
"Michigan",59,82
"Michigan",36,76
"Michigan",53,48
"Michigan",60,59
"Michigan",50,31
"Michigan",27,74
"Michigan",40,76
"Michigan",32,85
"Michigan",29,72
"Michigan",30,55
"Michigan",34,87
"Michigan",61,76
"Michigan",56,70
"Michigan",60,50
"Michigan",22,56
"Michigan",57,100
"Michigan",NA,68
"Michigan",37,48
"Michigan",36,NA
"Michigan",30,65
"Michigan",NA,NA
"Michigan",16,72
"Michigan",50,52
"Michigan",35,79
"Michigan",34,NA
"Michigan",36,85
"Michigan",NA,79
"Michigan",38,69
"Michigan",45,69
"Michigan",NA,83
"Michigan",57,74
"Michigan",38,NA
"Michigan",41,74
"Michigan",NA,88
"Michigan",25,68
"Michigan",2,39
"Michigan",35,48
"Michigan",63,79
"Michigan",22,71
"Michigan",37,79
"Michigan",40,77
"Michigan",25,64
"Michigan",47,52
"Michigan",44,57
"Michigan",51,84
"Michigan",49,54
"Michigan",73,63
"Michigan",39,74
"Michigan",34,49
"Michigan",49,76
"Michigan",46,49
"Michigan",48,81
"Michigan",13,51
"Michigan",40,66
"Michigan",50,83
"Michigan",55,88
"Michigan",44,82
"Michigan",79,64
"Michigan",40,93
"Michigan",28,50
"Michigan",44,84
"Michigan",51,NA
"Michigan",39,32
"Michigan",36,39
"Michigan",32,NA
"Michigan",47,99
"Michigan",32,72
"Michigan",16,83
"Michigan",64,65
"Michigan",63,NA
"Michigan",33,NA
"Michigan",70,60
"Michigan",38,76
"Michigan",45,63
"Michigan",49,67
"Michigan",24,70
"Michigan",48,63
"Michigan",58,NA
"Michigan",30,59
"Michigan",29,67
"Michigan",48,64
"Michigan",28,90
"Michigan",NA,80
"Michigan",32,63
"Michigan",44,75
"Michigan",38,58
"Michigan",39,84
"Michigan",64,53
"Michigan",34,NA
"Michigan",45,45
