"state","pre","post"
"Minnesota",31,69
"Minnesota",46,55
"Minnesota",12,NA
"Minnesota",76,NA
"Minnesota",73,NA
"Minnesota",63,81
"Minnesota",64,65
"Minnesota",65,NA
"Minnesota",41,72
"Minnesota",60,70
"Minnesota",74,47
"Minnesota",35,76
"Minnesota",37,62
"Minnesota",48,41
"Minnesota",53,68
"Minnesota",51,77
"Minnesota",35,72
"Minnesota",63,76
"Minnesota",41,NA
"Minnesota",45,31
"Minnesota",NA,83
"Minnesota",44,75
"Minnesota",NA,NA
"Minnesota",76,51
"Minnesota",46,79
"Minnesota",45,72
"Minnesota",69,46
"Minnesota",46,61
"Minnesota",44,66
"Minnesota",31,83
"Minnesota",45,73
"Minnesota",32,46
"Minnesota",64,NA
"Minnesota",61,48
"Minnesota",33,NA
"Minnesota",51,NA
"Minnesota",NA,83
"Minnesota",51,70
"Minnesota",27,NA
"Minnesota",37,47
"Minnesota",30,NA
"Minnesota",25,NA
"Minnesota",58,80
"Minnesota",24,79
"Minnesota",63,82
"Minnesota",35,62
"Minnesota",50,81
"Minnesota",62,58
"Minnesota",NA,80
"Minnesota",33,55
"Minnesota",NA,70
"Minnesota",44,83
"Minnesota",52,58
"Minnesota",59,56
"Minnesota",31,40
"Minnesota",46,69
"Minnesota",70,58
"Minnesota",NA,68
"Minnesota",53,90
"Minnesota",70,84
"Minnesota",83,66
"Minnesota",40,78
"Minnesota",64,14
"Minnesota",53,69
"Minnesota",68,78
"Minnesota",NA,81
"Minnesota",NA,84
"Minnesota",60,88
"Minnesota",60,86
"Minnesota",64,NA
"Minnesota",37,NA
"Minnesota",55,44
"Minnesota",57,58
"Minnesota",NA,NA
"Minnesota",48,65
"Minnesota",26,90
"Minnesota",64,67
"Minnesota",61,NA
"Minnesota",63,73
"Minnesota",36,51
"Minnesota",48,54
"Minnesota",45,68
"Minnesota",95,NA
"Minnesota",33,63
"Minnesota",NA,54
"Minnesota",73,57
"Minnesota",51,69
"Minnesota",58,NA
"Minnesota",55,87
"Minnesota",NA,58
"Minnesota",28,31
"Minnesota",55,NA
"Minnesota",28,66
"Minnesota",57,NA
"Minnesota",59,52
"Minnesota",33,NA
"Minnesota",64,57
"Minnesota",69,81
"Minnesota",44,60
"Minnesota",77,57
"Minnesota",51,76
"Minnesota",41,NA
"Minnesota",20,48
"Minnesota",46,NA
"Minnesota",47,61
"Minnesota",61,NA
"Minnesota",30,NA
"Minnesota",50,58
"Minnesota",35,64
"Minnesota",61,67
"Minnesota",62,46
"Minnesota",NA,67
"Minnesota",70,37
"Minnesota",45,73
"Minnesota",68,61
"Minnesota",48,71
"Minnesota",61,82
"Minnesota",63,77
"Minnesota",38,63
"Minnesota",37,57
"Minnesota",69,75
"Minnesota",74,53
"Minnesota",69,77
"Minnesota",28,88
"Minnesota",57,39
"Minnesota",44,61
"Minnesota",25,50
"Minnesota",51,76
"Minnesota",26,61
"Minnesota",37,79
"Minnesota",63,87
"Minnesota",53,50
"Minnesota",78,65
"Minnesota",54,72
"Minnesota",31,27
"Minnesota",44,68
"Minnesota",31,61
"Minnesota",59,NA
"Minnesota",29,69
"Minnesota",45,63
"Minnesota",43,NA
"Minnesota",46,57
"Minnesota",43,51
"Minnesota",75,70
"Minnesota",67,85
"Minnesota",23,62
"Minnesota",55,46
"Minnesota",54,52
"Minnesota",45,80
"Minnesota",68,60
"Minnesota",77,45
"Minnesota",64,45
"Minnesota",38,63
"Minnesota",61,51
"Minnesota",38,46
"Minnesota",NA,52
"Minnesota",84,61
"Minnesota",53,49
"Minnesota",51,78
"Minnesota",69,46
"Minnesota",78,53
"Minnesota",NA,67
"Minnesota",50,75
"Minnesota",72,NA
"Minnesota",73,65
"Minnesota",79,NA
"Minnesota",47,NA
"Minnesota",46,49
"Minnesota",41,75
"Minnesota",24,75
"Minnesota",65,NA
"Minnesota",37,NA
"Minnesota",42,NA
"Minnesota",56,98
"Minnesota",52,59
"Minnesota",43,68
"Minnesota",49,56
"Minnesota",36,64
"Minnesota",64,92
"Minnesota",NA,NA
"Minnesota",54,51
"Minnesota",61,81
"Minnesota",71,38
"Minnesota",NA,79
"Minnesota",NA,74
"Minnesota",78,NA
"Minnesota",43,NA
"Minnesota",36,NA
"Minnesota",NA,62
"Minnesota",69,69
"Minnesota",64,74
"Minnesota",NA,73
"Minnesota",75,55
"Minnesota",53,71
"Minnesota",62,NA
"Minnesota",32,65
"Minnesota",38,71
"Minnesota",30,NA
"Minnesota",50,63
"Minnesota",63,80
"Minnesota",76,NA
"Minnesota",61,46
"Minnesota",65,43
"Minnesota",62,44
"Minnesota",72,64
"Minnesota",37,98
"Minnesota",59,27
"Minnesota",25,57
"Minnesota",68,76
"Minnesota",58,62
"Minnesota",35,69
"Minnesota",67,61
"Minnesota",51,58
"Minnesota",34,76
"Minnesota",40,61
"Minnesota",49,68
"Minnesota",60,75
"Minnesota",40,80
"Minnesota",64,74
"Minnesota",40,61
"Minnesota",55,66
"Minnesota",44,72
"Minnesota",59,96
"Minnesota",42,63
"Minnesota",24,79
"Minnesota",NA,82
"Minnesota",38,53
"Minnesota",28,68
"Minnesota",62,56
"Minnesota",46,47
