"state","pre","post"
"Mississippi",50,67
"Mississippi",33,88
"Mississippi",67,NA
"Mississippi",44,71
"Mississippi",41,68
"Mississippi",27,76
"Mississippi",74,NA
"Mississippi",44,NA
"Mississippi",66,68
"Mississippi",52,71
"Mississippi",45,86
"Mississippi",71,80
"Mississippi",17,70
"Mississippi",55,81
"Mississippi",49,61
"Mississippi",64,61
"Mississippi",49,87
"Mississippi",54,82
"Mississippi",28,77
"Mississippi",NA,86
"Mississippi",69,NA
"Mississippi",63,75
"Mississippi",63,NA
"Mississippi",68,93
"Mississippi",46,NA
"Mississippi",57,75
"Mississippi",50,63
"Mississippi",61,96
"Mississippi",57,79
"Mississippi",58,79
"Mississippi",26,80
"Mississippi",65,92
"Mississippi",57,NA
"Mississippi",57,92
"Mississippi",26,74
"Mississippi",35,74
"Mississippi",45,72
"Mississippi",33,68
"Mississippi",51,97
"Mississippi",26,91
"Mississippi",60,95
"Mississippi",66,84
"Mississippi",47,92
"Mississippi",54,82
"Mississippi",44,55
"Mississippi",NA,75
"Mississippi",56,72
"Mississippi",22,89
"Mississippi",53,78
"Mississippi",36,90
"Mississippi",44,84
"Mississippi",41,NA
"Mississippi",25,59
"Mississippi",54,66
"Mississippi",59,86
"Mississippi",54,84
"Mississippi",59,73
"Mississippi",40,90
"Mississippi",66,67
"Mississippi",55,70
"Mississippi",51,84
"Mississippi",38,69
"Mississippi",76,88
"Mississippi",67,85
"Mississippi",31,55
"Mississippi",55,NA
"Mississippi",62,77
"Mississippi",43,87
"Mississippi",59,71
"Mississippi",51,68
"Mississippi",51,NA
"Mississippi",46,54
"Mississippi",51,65
"Mississippi",78,52
"Mississippi",56,67
"Mississippi",70,55
"Mississippi",52,53
"Mississippi",68,50
"Mississippi",69,83
"Mississippi",33,46
"Mississippi",53,NA
"Mississippi",78,87
"Mississippi",19,85
"Mississippi",44,77
"Mississippi",48,89
"Mississippi",80,98
"Mississippi",50,85
"Mississippi",54,93
"Mississippi",56,86
"Mississippi",72,94
"Mississippi",33,65
"Mississippi",34,83
"Mississippi",55,74
"Mississippi",56,NA
"Mississippi",NA,67
"Mississippi",NA,61
"Mississippi",33,81
"Mississippi",45,66
"Mississippi",40,NA
"Mississippi",55,79
"Mississippi",58,NA
"Mississippi",56,80
"Mississippi",31,81
"Mississippi",47,NA
"Mississippi",69,87
"Mississippi",NA,78
"Mississippi",69,80
"Mississippi",56,82
"Mississippi",60,88
"Mississippi",34,61
"Mississippi",60,75
"Mississippi",19,75
"Mississippi",68,70
"Mississippi",25,53
"Mississippi",41,71
"Mississippi",52,66
"Mississippi",52,86
"Mississippi",19,57
"Mississippi",50,57
"Mississippi",62,88
"Mississippi",64,48
"Mississippi",49,96
"Mississippi",70,87
"Mississippi",30,68
"Mississippi",NA,95
"Mississippi",53,68
"Mississippi",53,68
"Mississippi",38,97
"Mississippi",33,80
"Mississippi",41,68
"Mississippi",64,78
"Mississippi",50,84
"Mississippi",57,95
"Mississippi",45,78
"Mississippi",31,89
"Mississippi",47,54
"Mississippi",29,71
"Mississippi",57,84
"Mississippi",48,51
"Mississippi",47,87
"Mississippi",50,90
"Mississippi",56,52
"Mississippi",15,79
"Mississippi",28,60
"Mississippi",31,49
"Mississippi",44,83
"Mississippi",62,81
"Mississippi",67,90
"Mississippi",69,85
"Mississippi",54,79
"Mississippi",42,96
"Mississippi",34,68
"Mississippi",50,67
"Mississippi",27,74
"Mississippi",36,94
"Mississippi",53,89
"Mississippi",63,NA
"Mississippi",51,36
"Mississippi",42,80
"Mississippi",36,94
"Mississippi",66,60
"Mississippi",40,NA
"Mississippi",46,82
"Mississippi",59,89
"Mississippi",24,84
"Mississippi",66,NA
"Mississippi",34,98
"Mississippi",54,NA
"Mississippi",65,NA
"Mississippi",21,65
"Mississippi",59,80
"Mississippi",41,91
"Mississippi",39,72
"Mississippi",43,49
"Mississippi",66,83
"Mississippi",32,62
"Mississippi",32,97
"Mississippi",62,87
"Mississippi",32,92
"Mississippi",34,74
"Mississippi",71,75
"Mississippi",20,58
"Mississippi",81,76
"Mississippi",30,73
"Mississippi",50,54
"Mississippi",47,92
"Mississippi",62,73
"Mississippi",57,87
"Mississippi",50,56
"Mississippi",50,74
"Mississippi",74,65
