"state","pre","post"
"Missouri",49,NA
"Missouri",46,NA
"Missouri",NA,NA
"Missouri",42,55
"Missouri",29,48
"Missouri",NA,21
"Missouri",71,81
"Missouri",44,62
"Missouri",69,55
"Missouri",46,NA
"Missouri",43,33
"Missouri",47,NA
"Missouri",NA,68
"Missouri",NA,NA
"Missouri",56,47
"Missouri",43,36
"Missouri",54,56
"Missouri",56,47
"Missouri",71,46
"Missouri",35,35
"Missouri",57,46
"Missouri",20,NA
"Missouri",58,40
"Missouri",76,NA
"Missouri",48,NA
"Missouri",75,NA
"Missouri",NA,70
"Missouri",NA,79
"Missouri",55,69
"Missouri",78,46
"Missouri",44,48
"Missouri",59,54
"Missouri",66,67
"Missouri",77,NA
"Missouri",58,64
"Missouri",37,48
"Missouri",52,60
"Missouri",51,62
"Missouri",31,44
"Missouri",37,24
"Missouri",68,47
"Missouri",45,63
"Missouri",49,59
"Missouri",59,68
"Missouri",NA,NA
"Missouri",34,NA
"Missouri",74,61
"Missouri",68,57
"Missouri",42,42
"Missouri",69,67
"Missouri",54,46
"Missouri",29,77
"Missouri",NA,66
"Missouri",40,NA
"Missouri",59,61
"Missouri",NA,53
"Missouri",48,48
"Missouri",28,54
"Missouri",85,NA
"Missouri",50,58
"Missouri",42,38
"Missouri",54,77
"Missouri",47,61
"Missouri",28,76
"Missouri",41,39
"Missouri",NA,91
"Missouri",53,41
"Missouri",25,66
"Missouri",68,46
"Missouri",60,56
"Missouri",54,41
"Missouri",15,NA
"Missouri",71,NA
"Missouri",51,48
"Missouri",49,43
"Missouri",60,67
"Missouri",35,74
"Missouri",69,NA
"Missouri",44,57
"Missouri",39,39
"Missouri",64,69
"Missouri",28,46
"Missouri",50,59
"Missouri",50,51
"Missouri",59,35
"Missouri",26,53
"Missouri",53,46
"Missouri",54,NA
"Missouri",38,NA
"Missouri",50,NA
"Missouri",34,66
"Missouri",44,68
"Missouri",NA,47
"Missouri",68,59
"Missouri",50,62
"Missouri",48,64
"Missouri",26,NA
"Missouri",67,54
"Missouri",56,48
"Missouri",63,63
"Missouri",NA,60
"Missouri",50,38
"Missouri",78,55
"Missouri",61,52
"Missouri",56,59
"Missouri",77,52
"Missouri",67,NA
"Missouri",NA,48
"Missouri",91,NA
"Missouri",77,42
"Missouri",75,62
"Missouri",48,NA
"Missouri",18,58
"Missouri",63,57
"Missouri",57,66
"Missouri",72,37
"Missouri",NA,73
"Missouri",45,76
"Missouri",73,58
"Missouri",45,NA
"Missouri",86,NA
"Missouri",44,NA
"Missouri",33,39
"Missouri",44,34
"Missouri",67,71
"Missouri",86,NA
"Missouri",52,52
"Missouri",44,NA
"Missouri",36,24
"Missouri",51,41
"Missouri",46,50
"Missouri",NA,56
"Missouri",52,64
"Missouri",46,59
"Missouri",NA,73
"Missouri",89,66
"Missouri",31,60
"Missouri",NA,51
"Missouri",74,45
"Missouri",49,45
"Missouri",95,41
"Missouri",37,57
"Missouri",54,43
"Missouri",67,68
"Missouri",55,51
"Missouri",44,54
"Missouri",NA,NA
"Missouri",41,51
"Missouri",54,64
"Missouri",67,67
"Missouri",56,NA
"Missouri",NA,47
"Missouri",43,32
"Missouri",58,76
"Missouri",33,NA
"Missouri",48,57
"Missouri",50,52
"Missouri",NA,68
"Missouri",55,89
"Missouri",57,52
"Missouri",57,78
"Missouri",NA,NA
"Missouri",35,87
"Missouri",47,62
"Missouri",70,62
"Missouri",90,67
"Missouri",55,45
"Missouri",63,46
"Missouri",29,66
"Missouri",52,72
"Missouri",74,38
"Missouri",33,53
"Missouri",47,24
"Missouri",65,63
"Missouri",59,50
"Missouri",NA,69
"Missouri",70,30
"Missouri",30,NA
"Missouri",55,50
"Missouri",55,32
"Missouri",50,42
"Missouri",4,82
"Missouri",46,47
"Missouri",79,61
"Missouri",53,53
"Missouri",NA,75
"Missouri",48,45
"Missouri",63,34
"Missouri",40,NA
"Missouri",60,65
"Missouri",59,40
"Missouri",52,58
"Missouri",47,74
"Missouri",28,74
"Missouri",34,53
"Missouri",83,69
"Missouri",34,73
"Missouri",74,84
"Missouri",45,56
"Missouri",40,NA
"Missouri",21,79
"Missouri",56,45
"Missouri",53,84
"Missouri",NA,24
"Missouri",68,39
"Missouri",41,55
"Missouri",79,54
"Missouri",57,45
"Missouri",73,32
"Missouri",57,54
"Missouri",65,61
"Missouri",84,28
"Missouri",91,72
"Missouri",29,NA
"Missouri",44,55
"Missouri",38,45
"Missouri",76,NA
"Missouri",63,67
"Missouri",NA,44
"Missouri",78,45
"Missouri",94,29
"Missouri",71,78
"Missouri",44,54
"Missouri",26,50
"Missouri",35,94
"Missouri",73,NA
"Missouri",59,49
"Missouri",79,NA
"Missouri",65,47
"Missouri",77,63
"Missouri",NA,56
"Missouri",54,55
"Missouri",85,85
"Missouri",61,NA
"Missouri",79,NA
"Missouri",100,32
"Missouri",81,60
"Missouri",52,57
"Missouri",NA,59
"Missouri",NA,62
"Missouri",61,56
"Missouri",61,62
"Missouri",71,50
"Missouri",41,72
"Missouri",67,74
"Missouri",42,73
"Missouri",65,55
"Missouri",53,69
"Missouri",42,52
"Missouri",63,70
"Missouri",66,81
"Missouri",62,42
"Missouri",49,59
"Missouri",46,NA
"Missouri",61,51
"Missouri",62,59
"Missouri",65,58
"Missouri",53,NA
"Missouri",58,27
"Missouri",NA,NA
"Missouri",68,69
"Missouri",56,54
"Missouri",52,82
"Missouri",48,25
"Missouri",47,39
"Missouri",21,56
"Missouri",37,53
"Missouri",71,79
"Missouri",50,NA
"Missouri",38,98
"Missouri",45,75
"Missouri",31,74
"Missouri",58,NA
"Missouri",59,66
"Missouri",NA,64
"Missouri",35,49
"Missouri",62,65
"Missouri",NA,67
"Missouri",68,NA
"Missouri",62,NA
"Missouri",52,50
"Missouri",55,NA
"Missouri",57,57
"Missouri",51,68
"Missouri",79,55
"Missouri",51,70
"Missouri",45,32
"Missouri",59,60
"Missouri",15,51
"Missouri",46,74
"Missouri",47,69
"Missouri",67,52
"Missouri",83,38
"Missouri",68,49
"Missouri",75,58
"Missouri",48,40
"Missouri",55,62
"Missouri",68,77
"Missouri",81,75
"Missouri",NA,56
"Missouri",63,44
"Missouri",59,54
"Missouri",62,59
"Missouri",45,44
"Missouri",70,43
"Missouri",44,62
"Missouri",45,55
"Missouri",43,80
"Missouri",44,38
"Missouri",53,48
"Missouri",45,76
"Missouri",31,55
"Missouri",66,56
"Missouri",50,57
"Missouri",64,57
"Missouri",59,NA
"Missouri",NA,81
"Missouri",81,41
"Missouri",51,68
"Missouri",80,71
"Missouri",37,46
"Missouri",23,NA
"Missouri",50,NA
"Missouri",14,33
"Missouri",67,73
"Missouri",61,50
"Missouri",50,33
"Missouri",53,59
"Missouri",64,49
"Missouri",59,NA
"Missouri",65,63
"Missouri",59,42
"Missouri",58,61
"Missouri",49,24
"Missouri",59,62
"Missouri",53,63
"Missouri",57,48
"Missouri",47,NA
"Missouri",57,63
"Missouri",39,NA
"Missouri",NA,57
"Missouri",62,50
"Missouri",60,NA
"Missouri",63,NA
"Missouri",67,50
"Missouri",51,50
"Missouri",56,68
"Missouri",59,39
"Missouri",54,45
"Missouri",46,56
"Missouri",36,58
"Missouri",25,16
"Missouri",57,69
"Missouri",58,NA
"Missouri",31,29
"Missouri",NA,29
"Missouri",47,65
"Missouri",52,35
"Missouri",61,NA
"Missouri",61,59
"Missouri",24,NA
"Missouri",67,29
"Missouri",32,NA
"Missouri",72,85
"Missouri",77,NA
"Missouri",56,70
"Missouri",34,17
"Missouri",64,70
"Missouri",64,51
"Missouri",53,60
"Missouri",56,81
"Missouri",51,NA
"Missouri",NA,55
"Missouri",NA,46
"Missouri",53,51
"Missouri",53,79
"Missouri",40,72
"Missouri",50,54
"Missouri",51,21
"Missouri",39,60
"Missouri",60,50
"Missouri",86,24
"Missouri",54,63
"Missouri",65,81
"Missouri",50,68
"Missouri",74,68
"Missouri",46,72
"Missouri",46,NA
"Missouri",52,50
"Missouri",40,50
"Missouri",55,53
"Missouri",64,52
"Missouri",41,59
"Missouri",45,39
"Missouri",36,69
"Missouri",54,56
"Missouri",33,60
"Missouri",40,36
"Missouri",70,73
"Missouri",84,48
"Missouri",31,50
"Missouri",38,50
"Missouri",46,54
"Missouri",97,59
"Missouri",49,52
"Missouri",56,48
"Missouri",52,61
"Missouri",NA,48
"Missouri",NA,NA
"Missouri",NA,70
"Missouri",40,54
"Missouri",58,NA
"Missouri",66,36
"Missouri",51,56
"Missouri",39,65
"Missouri",NA,47
"Missouri",52,46
"Missouri",64,53
"Missouri",35,90
"Missouri",35,70
"Missouri",55,NA
"Missouri",71,57
"Missouri",49,NA
"Missouri",48,58
"Missouri",45,54
"Missouri",78,73
"Missouri",66,75
"Missouri",62,42
"Missouri",46,59
"Missouri",46,29
"Missouri",73,77
"Missouri",74,61
"Missouri",71,53
"Missouri",45,37
"Missouri",50,71
"Missouri",70,53
"Missouri",47,58
"Missouri",41,43
"Missouri",NA,NA
"Missouri",60,NA
"Missouri",94,58
"Missouri",82,52
"Missouri",NA,54
"Missouri",54,71
"Missouri",36,82
"Missouri",49,76
"Missouri",74,74
"Missouri",75,61
"Missouri",53,60
"Missouri",33,75
"Missouri",NA,62
"Missouri",47,NA
"Missouri",45,56
"Missouri",31,58
"Missouri",60,39
"Missouri",68,29
"Missouri",NA,77
"Missouri",43,NA
"Missouri",67,36
