"state","pre","post"
"Montana",42,19
"Montana",47,3
"Montana",59,50
"Montana",44,NA
"Montana",44,NA
"Montana",51,22
"Montana",54,36
"Montana",44,46
"Montana",69,NA
"Montana",52,22
"Montana",NA,40
"Montana",64,60
"Montana",72,61
"Montana",45,56
"Montana",60,43
"Montana",73,53
"Montana",78,39
"Montana",39,NA
"Montana",62,NA
"Montana",71,NA
"Montana",52,31
"Montana",59,19
"Montana",28,15
"Montana",41,60
"Montana",61,64
"Montana",41,41
"Montana",50,47
"Montana",50,71
"Montana",51,54
"Montana",69,40
"Montana",NA,80
"Montana",71,45
"Montana",NA,66
"Montana",68,70
"Montana",76,38
"Montana",70,23
"Montana",58,49
"Montana",54,28
"Montana",71,30
"Montana",71,70
"Montana",78,80
"Montana",78,49
"Montana",66,28
"Montana",35,45
"Montana",46,56
"Montana",52,35
"Montana",71,37
"Montana",34,22
"Montana",44,61
"Montana",50,12
"Montana",64,53
"Montana",74,57
"Montana",41,66
"Montana",62,47
"Montana",46,44
"Montana",53,NA
"Montana",75,70
"Montana",58,49
"Montana",NA,41
"Montana",62,48
"Montana",50,40
"Montana",34,NA
"Montana",45,33
"Montana",34,20
"Montana",50,34
"Montana",52,64
"Montana",52,38
"Montana",73,NA
"Montana",61,30
"Montana",45,36
"Montana",75,60
"Montana",73,50
"Montana",39,44
"Montana",55,59
"Montana",65,33
"Montana",43,42
"Montana",NA,NA
"Montana",75,49
"Montana",60,45
"Montana",32,46
"Montana",NA,41
"Montana",44,37
"Montana",67,35
"Montana",63,16
"Montana",48,NA
"Montana",41,40
"Montana",53,29
"Montana",49,50
"Montana",NA,29
"Montana",47,NA
"Montana",39,66
"Montana",82,34
"Montana",NA,35
"Montana",54,40
"Montana",67,27
"Montana",28,44
"Montana",67,49
"Montana",70,38
"Montana",NA,39
"Montana",65,60
"Montana",55,51
"Montana",72,23
"Montana",66,58
"Montana",61,70
"Montana",68,44
"Montana",82,36
"Montana",48,54
"Montana",63,45
"Montana",40,NA
"Montana",76,19
"Montana",55,56
"Montana",60,NA
"Montana",69,33
"Montana",51,51
"Montana",94,50
"Montana",62,37
"Montana",31,53
"Montana",99,41
"Montana",45,56
"Montana",62,67
"Montana",61,29
"Montana",NA,63
"Montana",39,28
"Montana",37,31
"Montana",66,NA
"Montana",49,65
"Montana",31,57
"Montana",68,NA
"Montana",81,36
"Montana",72,52
"Montana",47,78
"Montana",67,33
"Montana",70,33
"Montana",70,41
"Montana",NA,20
"Montana",59,27
"Montana",37,42
"Montana",64,61
"Montana",65,77
"Montana",66,22
"Montana",53,40
"Montana",63,33
"Montana",NA,26
"Montana",58,52
"Montana",54,52
"Montana",60,59
"Montana",85,48
"Montana",47,47
"Montana",54,46
"Montana",43,61
"Montana",64,29
"Montana",42,44
"Montana",45,NA
"Montana",29,63
"Montana",NA,59
"Montana",63,29
"Montana",72,NA
"Montana",65,43
"Montana",63,33
"Montana",28,43
"Montana",49,36
"Montana",57,34
"Montana",26,59
"Montana",47,45
"Montana",74,48
"Montana",25,54
"Montana",45,37
"Montana",NA,49
"Montana",37,41
"Montana",57,40
"Montana",54,23
"Montana",17,NA
"Montana",69,34
"Montana",54,23
"Montana",64,47
"Montana",62,41
"Montana",70,54
"Montana",63,45
"Montana",71,22
"Montana",51,NA
"Montana",50,46
"Montana",42,55
"Montana",56,57
"Montana",50,58
"Montana",57,46
"Montana",67,48
"Montana",72,18
"Montana",53,NA
"Montana",60,22
"Montana",81,38
"Montana",53,79
"Montana",59,33
"Montana",43,39
"Montana",NA,NA
"Montana",48,39
"Montana",57,62
"Montana",48,32
"Montana",48,45
"Montana",59,16
"Montana",44,38
"Montana",78,33
"Montana",NA,35
"Montana",44,59
"Montana",63,55
"Montana",87,37
"Montana",53,55
"Montana",61,37
"Montana",51,43
"Montana",59,31
"Montana",54,6
"Montana",53,47
"Montana",64,21
"Montana",71,64
"Montana",NA,64
"Montana",53,18
"Montana",74,15
"Montana",79,33
"Montana",NA,30
"Montana",40,19
"Montana",80,68
"Montana",71,24
"Montana",64,17
"Montana",66,57
"Montana",51,48
"Montana",69,NA
"Montana",30,30
"Montana",42,28
"Montana",82,63
"Montana",53,44
"Montana",100,56
"Montana",75,30
"Montana",55,51
"Montana",53,60
"Montana",53,NA
"Montana",68,61
"Montana",69,31
"Montana",61,35
"Montana",62,59
"Montana",37,46
"Montana",55,20
"Montana",48,29
"Montana",45,57
"Montana",50,48
"Montana",71,41
"Montana",43,NA
"Montana",55,43
"Montana",67,NA
"Montana",NA,22
"Montana",74,31
"Montana",66,35
"Montana",75,NA
"Montana",NA,NA
"Montana",55,37
"Montana",51,41
"Montana",63,61
"Montana",65,NA
"Montana",58,33
"Montana",64,NA
"Montana",47,NA
"Montana",27,66
"Montana",62,50
"Montana",44,25
"Montana",63,53
"Montana",73,NA
"Montana",47,52
"Montana",23,37
"Montana",NA,39
"Montana",78,36
"Montana",45,25
"Montana",47,57
"Montana",57,58
"Montana",55,47
"Montana",74,42
"Montana",29,36
"Montana",52,33
"Montana",40,22
"Montana",59,42
"Montana",67,NA
"Montana",63,69
"Montana",53,NA
"Montana",76,34
"Montana",57,NA
"Montana",85,61
"Montana",48,43
"Montana",40,58
"Montana",14,42
"Montana",51,23
"Montana",32,66
"Montana",73,49
"Montana",44,38
