"state","pre","post"
"Nebraska",32,71
"Nebraska",50,60
"Nebraska",NA,81
"Nebraska",24,48
"Nebraska",42,48
"Nebraska",35,65
"Nebraska",NA,23
"Nebraska",36,51
"Nebraska",23,NA
"Nebraska",NA,NA
"Nebraska",NA,57
"Nebraska",NA,69
"Nebraska",45,60
"Nebraska",35,44
"Nebraska",45,96
"Nebraska",NA,74
"Nebraska",66,69
"Nebraska",56,42
"Nebraska",41,70
"Nebraska",66,71
"Nebraska",NA,56
"Nebraska",33,35
"Nebraska",NA,68
"Nebraska",37,55
"Nebraska",21,42
"Nebraska",54,66
"Nebraska",44,51
"Nebraska",46,NA
"Nebraska",61,51
"Nebraska",50,21
"Nebraska",68,59
"Nebraska",68,57
"Nebraska",36,49
"Nebraska",43,63
"Nebraska",29,73
"Nebraska",33,92
"Nebraska",42,77
"Nebraska",48,NA
"Nebraska",31,71
"Nebraska",45,64
"Nebraska",22,85
"Nebraska",NA,75
"Nebraska",NA,57
"Nebraska",42,44
"Nebraska",47,36
"Nebraska",57,58
"Nebraska",18,57
"Nebraska",31,63
"Nebraska",NA,NA
"Nebraska",NA,52
"Nebraska",57,38
"Nebraska",NA,80
"Nebraska",27,54
"Nebraska",28,60
"Nebraska",36,88
"Nebraska",66,65
"Nebraska",48,47
"Nebraska",17,68
"Nebraska",23,52
"Nebraska",30,50
"Nebraska",21,63
"Nebraska",42,46
"Nebraska",23,57
"Nebraska",38,52
"Nebraska",58,59
"Nebraska",83,55
"Nebraska",43,32
"Nebraska",27,60
"Nebraska",39,84
"Nebraska",33,49
"Nebraska",30,59
"Nebraska",34,64
"Nebraska",17,80
"Nebraska",57,50
"Nebraska",48,33
"Nebraska",44,70
"Nebraska",12,70
"Nebraska",NA,48
"Nebraska",51,62
"Nebraska",55,55
"Nebraska",50,77
"Nebraska",42,60
"Nebraska",18,68
"Nebraska",39,73
"Nebraska",53,NA
"Nebraska",61,67
"Nebraska",23,59
"Nebraska",32,34
"Nebraska",NA,54
"Nebraska",48,29
"Nebraska",60,56
"Nebraska",32,39
"Nebraska",40,53
"Nebraska",85,63
"Nebraska",45,NA
"Nebraska",44,61
"Nebraska",54,72
"Nebraska",16,48
"Nebraska",41,69
"Nebraska",48,52
"Nebraska",40,46
"Nebraska",52,62
"Nebraska",45,50
"Nebraska",22,84
"Nebraska",36,NA
"Nebraska",69,16
"Nebraska",38,50
"Nebraska",NA,70
"Nebraska",61,56
"Nebraska",36,NA
"Nebraska",45,38
"Nebraska",45,59
"Nebraska",43,81
"Nebraska",27,40
"Nebraska",83,85
"Nebraska",28,47
"Nebraska",34,59
"Nebraska",45,70
"Nebraska",53,45
"Nebraska",41,59
"Nebraska",45,53
"Nebraska",51,54
"Nebraska",16,69
"Nebraska",40,66
"Nebraska",54,60
"Nebraska",47,NA
"Nebraska",78,25
"Nebraska",49,63
"Nebraska",26,70
"Nebraska",39,87
"Nebraska",NA,73
"Nebraska",41,75
"Nebraska",50,74
"Nebraska",40,39
"Nebraska",55,56
"Nebraska",56,84
"Nebraska",32,50
"Nebraska",12,63
"Nebraska",NA,49
"Nebraska",6,54
"Nebraska",43,60
"Nebraska",12,70
"Nebraska",37,52
"Nebraska",34,62
"Nebraska",35,91
"Nebraska",19,29
"Nebraska",25,70
"Nebraska",14,34
"Nebraska",49,43
"Nebraska",44,76
"Nebraska",33,81
"Nebraska",44,61
"Nebraska",46,NA
"Nebraska",45,40
"Nebraska",54,86
"Nebraska",45,53
"Nebraska",45,77
"Nebraska",33,37
"Nebraska",43,NA
"Nebraska",73,63
"Nebraska",34,38
"Nebraska",42,44
"Nebraska",17,66
"Nebraska",72,42
"Nebraska",28,77
"Nebraska",34,NA
"Nebraska",44,51
"Nebraska",58,51
"Nebraska",50,56
"Nebraska",NA,77
"Nebraska",NA,51
"Nebraska",25,NA
"Nebraska",57,41
"Nebraska",47,73
"Nebraska",NA,46
"Nebraska",45,64
"Nebraska",50,46
"Nebraska",34,78
"Nebraska",41,NA
"Nebraska",56,48
"Nebraska",28,74
"Nebraska",54,50
"Nebraska",37,57
"Nebraska",59,61
"Nebraska",52,NA
"Nebraska",37,83
"Nebraska",51,70
"Nebraska",NA,62
"Nebraska",27,54
"Nebraska",39,NA
"Nebraska",35,71
"Nebraska",37,61
"Nebraska",44,67
"Nebraska",15,45
"Nebraska",21,58
"Nebraska",25,67
"Nebraska",50,57
"Nebraska",31,66
"Nebraska",25,55
"Nebraska",46,42
"Nebraska",35,60
"Nebraska",28,67
"Nebraska",72,54
"Nebraska",51,67
"Nebraska",40,86
"Nebraska",51,72
"Nebraska",NA,83
"Nebraska",87,61
"Nebraska",2,65
"Nebraska",47,65
"Nebraska",31,NA
"Nebraska",26,62
"Nebraska",37,64
"Nebraska",23,NA
"Nebraska",53,58
"Nebraska",57,66
"Nebraska",64,46
"Nebraska",66,NA
"Nebraska",59,66
"Nebraska",41,53
"Nebraska",45,72
"Nebraska",25,61
"Nebraska",42,75
"Nebraska",NA,77
"Nebraska",38,59
"Nebraska",NA,68
"Nebraska",50,NA
"Nebraska",26,NA
"Nebraska",44,53
"Nebraska",65,NA
"Nebraska",NA,NA
"Nebraska",19,56
"Nebraska",41,69
"Nebraska",42,NA
"Nebraska",NA,47
"Nebraska",56,74
"Nebraska",41,33
"Nebraska",57,48
"Nebraska",22,93
"Nebraska",29,64
"Nebraska",61,60
"Nebraska",42,25
"Nebraska",34,NA
"Nebraska",73,63
"Nebraska",54,46
"Nebraska",34,38
"Nebraska",56,61
"Nebraska",30,37
"Nebraska",28,56
"Nebraska",20,60
"Nebraska",36,44
"Nebraska",70,NA
"Nebraska",41,52
"Nebraska",66,56
"Nebraska",35,54
"Nebraska",41,39
"Nebraska",24,62
"Nebraska",11,29
"Nebraska",39,72
"Nebraska",24,59
"Nebraska",53,58
"Nebraska",49,83
"Nebraska",40,68
"Nebraska",37,61
"Nebraska",56,62
"Nebraska",58,51
"Nebraska",58,66
"Nebraska",58,66
"Nebraska",50,63
"Nebraska",57,NA
"Nebraska",20,NA
"Nebraska",56,84
"Nebraska",44,NA
"Nebraska",43,75
"Nebraska",41,49
"Nebraska",29,58
"Nebraska",48,22
"Nebraska",27,68
"Nebraska",NA,60
"Nebraska",34,42
"Nebraska",58,40
"Nebraska",59,77
"Nebraska",15,62
"Nebraska",63,NA
"Nebraska",40,72
"Nebraska",67,49
"Nebraska",23,NA
"Nebraska",29,62
"Nebraska",39,69
"Nebraska",46,72
"Nebraska",23,64
"Nebraska",39,NA
"Nebraska",59,51
"Nebraska",44,48
"Nebraska",NA,68
"Nebraska",21,69
"Nebraska",NA,53
"Nebraska",46,44
"Nebraska",34,37
"Nebraska",51,70
"Nebraska",35,56
"Nebraska",44,NA
"Nebraska",5,66
"Nebraska",42,73
"Nebraska",42,60
"Nebraska",38,59
"Nebraska",87,69
"Nebraska",45,89
"Nebraska",22,47
"Nebraska",43,46
"Nebraska",38,72
"Nebraska",63,NA
"Nebraska",23,48
"Nebraska",56,83
"Nebraska",50,60
"Nebraska",62,72
"Nebraska",31,81
"Nebraska",44,38
"Nebraska",35,58
"Nebraska",53,72
"Nebraska",53,42
"Nebraska",52,38
"Nebraska",52,46
"Nebraska",47,48
"Nebraska",43,NA
"Nebraska",45,47
"Nebraska",38,NA
"Nebraska",20,74
"Nebraska",48,67
"Nebraska",61,64
"Nebraska",31,61
"Nebraska",46,57
"Nebraska",26,58
"Nebraska",22,63
"Nebraska",NA,61
"Nebraska",30,70
"Nebraska",14,55
"Nebraska",40,54
"Nebraska",68,NA
"Nebraska",35,NA
"Nebraska",NA,88
"Nebraska",45,52
"Nebraska",3,64
"Nebraska",25,NA
"Nebraska",36,66
"Nebraska",41,77
"Nebraska",33,52
"Nebraska",51,84
"Nebraska",66,72
"Nebraska",39,57
"Nebraska",35,61
"Nebraska",55,53
"Nebraska",40,64
"Nebraska",39,49
"Nebraska",NA,56
"Nebraska",53,64
"Nebraska",57,62
"Nebraska",48,NA
"Nebraska",6,73
"Nebraska",67,67
"Nebraska",16,51
"Nebraska",41,43
"Nebraska",19,72
