"state","pre","post"
"Nevada",58,NA
"Nevada",58,66
"Nevada",NA,75
"Nevada",64,74
"Nevada",53,82
"Nevada",40,70
"Nevada",43,66
"Nevada",32,NA
"Nevada",54,69
"Nevada",51,NA
"Nevada",30,93
"Nevada",49,56
"Nevada",NA,87
"Nevada",76,62
"Nevada",64,71
"Nevada",61,87
"Nevada",40,75
"Nevada",43,68
"Nevada",NA,62
"Nevada",64,NA
"Nevada",58,95
"Nevada",67,77
"Nevada",58,92
"Nevada",38,73
"Nevada",56,79
"Nevada",52,73
"Nevada",60,95
"Nevada",7,82
"Nevada",58,69
"Nevada",52,61
"Nevada",64,NA
"Nevada",64,77
"Nevada",62,NA
"Nevada",62,50
"Nevada",52,60
"Nevada",70,64
"Nevada",NA,89
"Nevada",61,89
"Nevada",38,86
"Nevada",72,60
"Nevada",53,73
"Nevada",60,66
"Nevada",61,46
"Nevada",45,75
"Nevada",63,84
"Nevada",49,58
"Nevada",57,75
"Nevada",73,60
"Nevada",52,78
"Nevada",45,83
"Nevada",58,41
"Nevada",59,38
"Nevada",53,76
"Nevada",76,88
"Nevada",96,81
"Nevada",27,67
"Nevada",36,53
"Nevada",72,82
"Nevada",NA,67
"Nevada",NA,64
"Nevada",63,80
"Nevada",48,61
"Nevada",60,60
"Nevada",80,81
"Nevada",55,NA
"Nevada",84,NA
"Nevada",61,79
"Nevada",40,52
"Nevada",67,51
"Nevada",33,76
"Nevada",61,NA
"Nevada",51,NA
"Nevada",47,89
"Nevada",52,60
"Nevada",72,68
"Nevada",55,70
"Nevada",78,63
"Nevada",29,82
"Nevada",65,NA
"Nevada",64,38
"Nevada",54,65
"Nevada",42,88
"Nevada",68,NA
"Nevada",49,NA
"Nevada",49,50
"Nevada",48,60
"Nevada",NA,45
"Nevada",38,83
"Nevada",70,55
"Nevada",67,77
"Nevada",49,70
"Nevada",36,44
"Nevada",65,64
"Nevada",60,96
"Nevada",76,61
"Nevada",48,69
"Nevada",81,80
"Nevada",60,52
"Nevada",NA,62
"Nevada",71,77
"Nevada",64,74
"Nevada",NA,NA
"Nevada",64,NA
"Nevada",48,72
"Nevada",78,76
"Nevada",46,50
"Nevada",60,58
"Nevada",55,NA
"Nevada",50,NA
"Nevada",40,NA
