"state","pre","post"
"New Hampshire",30,35
"New Hampshire",46,54
"New Hampshire",39,40
"New Hampshire",42,NA
"New Hampshire",43,54
"New Hampshire",33,62
"New Hampshire",48,45
"New Hampshire",NA,67
"New Hampshire",40,35
"New Hampshire",49,52
"New Hampshire",43,87
"New Hampshire",7,NA
"New Hampshire",30,NA
"New Hampshire",59,57
"New Hampshire",41,27
"New Hampshire",51,60
"New Hampshire",43,55
"New Hampshire",54,37
"New Hampshire",35,66
"New Hampshire",24,53
"New Hampshire",49,NA
"New Hampshire",20,61
"New Hampshire",60,47
"New Hampshire",50,NA
"New Hampshire",53,40
"New Hampshire",65,NA
"New Hampshire",58,NA
"New Hampshire",48,NA
"New Hampshire",63,72
"New Hampshire",36,47
"New Hampshire",30,18
"New Hampshire",35,28
"New Hampshire",34,75
"New Hampshire",50,51
"New Hampshire",39,40
"New Hampshire",51,55
"New Hampshire",46,50
"New Hampshire",61,42
"New Hampshire",66,43
"New Hampshire",32,38
"New Hampshire",42,NA
"New Hampshire",29,63
"New Hampshire",59,NA
"New Hampshire",52,52
"New Hampshire",71,17
"New Hampshire",NA,NA
"New Hampshire",39,NA
"New Hampshire",44,45
"New Hampshire",56,42
"New Hampshire",59,30
"New Hampshire",56,NA
"New Hampshire",27,NA
"New Hampshire",48,41
"New Hampshire",34,65
"New Hampshire",61,28
"New Hampshire",30,45
"New Hampshire",49,60
"New Hampshire",50,44
"New Hampshire",41,51
"New Hampshire",32,70
"New Hampshire",31,48
"New Hampshire",56,48
"New Hampshire",26,69
"New Hampshire",37,40
"New Hampshire",41,NA
"New Hampshire",NA,NA
"New Hampshire",39,44
"New Hampshire",44,56
"New Hampshire",51,94
"New Hampshire",NA,39
"New Hampshire",41,51
"New Hampshire",35,54
"New Hampshire",37,46
"New Hampshire",NA,NA
"New Hampshire",27,NA
"New Hampshire",45,NA
"New Hampshire",34,NA
"New Hampshire",38,40
"New Hampshire",43,66
"New Hampshire",50,54
"New Hampshire",34,31
"New Hampshire",25,59
"New Hampshire",37,NA
"New Hampshire",21,NA
"New Hampshire",41,47
"New Hampshire",49,NA
"New Hampshire",30,61
"New Hampshire",52,40
"New Hampshire",33,42
"New Hampshire",33,46
"New Hampshire",46,35
"New Hampshire",69,56
"New Hampshire",36,44
"New Hampshire",12,47
"New Hampshire",37,79
"New Hampshire",52,47
"New Hampshire",44,NA
"New Hampshire",17,62
"New Hampshire",64,60
"New Hampshire",46,48
"New Hampshire",29,NA
"New Hampshire",51,60
"New Hampshire",42,67
"New Hampshire",53,NA
"New Hampshire",47,49
"New Hampshire",54,60
"New Hampshire",41,65
"New Hampshire",50,47
"New Hampshire",16,NA
"New Hampshire",51,21
"New Hampshire",52,32
"New Hampshire",51,50
"New Hampshire",74,72
"New Hampshire",51,60
"New Hampshire",34,58
"New Hampshire",44,56
"New Hampshire",36,52
"New Hampshire",53,43
"New Hampshire",40,42
"New Hampshire",31,61
"New Hampshire",38,51
"New Hampshire",54,46
"New Hampshire",68,NA
"New Hampshire",66,78
"New Hampshire",22,57
"New Hampshire",NA,36
"New Hampshire",44,56
"New Hampshire",62,48
"New Hampshire",43,54
"New Hampshire",57,45
"New Hampshire",28,NA
"New Hampshire",66,41
"New Hampshire",46,31
"New Hampshire",42,56
"New Hampshire",57,58
"New Hampshire",42,NA
"New Hampshire",NA,75
"New Hampshire",38,68
"New Hampshire",67,43
"New Hampshire",69,NA
"New Hampshire",56,NA
"New Hampshire",29,33
"New Hampshire",34,82
"New Hampshire",57,54
"New Hampshire",NA,49
"New Hampshire",52,NA
"New Hampshire",42,45
"New Hampshire",40,53
"New Hampshire",29,59
"New Hampshire",14,44
"New Hampshire",1,54
"New Hampshire",46,47
"New Hampshire",NA,27
"New Hampshire",35,56
"New Hampshire",14,48
"New Hampshire",48,53
"New Hampshire",41,NA
"New Hampshire",NA,59
"New Hampshire",52,29
"New Hampshire",85,44
"New Hampshire",NA,61
"New Hampshire",49,34
"New Hampshire",28,58
"New Hampshire",51,68
"New Hampshire",46,60
"New Hampshire",NA,55
"New Hampshire",40,NA
"New Hampshire",24,44
"New Hampshire",39,35
"New Hampshire",NA,NA
"New Hampshire",74,NA
"New Hampshire",48,46
"New Hampshire",44,78
"New Hampshire",52,64
"New Hampshire",34,48
"New Hampshire",66,39
"New Hampshire",59,34
"New Hampshire",60,60
"New Hampshire",49,45
"New Hampshire",36,29
"New Hampshire",42,42
"New Hampshire",NA,41
"New Hampshire",58,66
"New Hampshire",60,77
"New Hampshire",52,45
"New Hampshire",50,24
"New Hampshire",55,70
"New Hampshire",36,36
"New Hampshire",42,52
"New Hampshire",48,55
"New Hampshire",38,72
"New Hampshire",74,63
"New Hampshire",NA,25
"New Hampshire",41,47
"New Hampshire",NA,81
"New Hampshire",29,45
"New Hampshire",65,56
"New Hampshire",33,68
"New Hampshire",55,74
"New Hampshire",52,57
"New Hampshire",17,NA
"New Hampshire",37,46
"New Hampshire",75,63
"New Hampshire",28,43
"New Hampshire",16,36
"New Hampshire",43,NA
"New Hampshire",39,65
"New Hampshire",58,58
"New Hampshire",27,55
"New Hampshire",76,NA
"New Hampshire",36,NA
"New Hampshire",58,NA
"New Hampshire",59,63
"New Hampshire",52,53
"New Hampshire",21,45
"New Hampshire",57,45
"New Hampshire",57,45
"New Hampshire",96,37
"New Hampshire",54,NA
"New Hampshire",NA,57
"New Hampshire",38,35
"New Hampshire",34,NA
"New Hampshire",50,60
"New Hampshire",47,58
"New Hampshire",30,NA
"New Hampshire",65,54
"New Hampshire",39,69
"New Hampshire",30,40
"New Hampshire",57,41
"New Hampshire",NA,47
"New Hampshire",32,54
"New Hampshire",NA,70
"New Hampshire",39,54
"New Hampshire",62,52
"New Hampshire",42,60
"New Hampshire",36,35
"New Hampshire",18,NA
"New Hampshire",33,NA
"New Hampshire",32,NA
"New Hampshire",42,76
"New Hampshire",59,23
"New Hampshire",78,66
"New Hampshire",21,58
"New Hampshire",61,59
"New Hampshire",48,50
"New Hampshire",31,81
"New Hampshire",53,77
"New Hampshire",46,44
"New Hampshire",41,NA
"New Hampshire",36,NA
"New Hampshire",NA,59
"New Hampshire",44,48
"New Hampshire",44,38
"New Hampshire",69,58
"New Hampshire",26,39
"New Hampshire",19,53
"New Hampshire",28,35
"New Hampshire",30,35
"New Hampshire",32,50
"New Hampshire",26,81
"New Hampshire",54,82
"New Hampshire",17,70
"New Hampshire",35,42
"New Hampshire",39,51
"New Hampshire",33,NA
"New Hampshire",46,55
"New Hampshire",39,54
"New Hampshire",60,22
"New Hampshire",64,52
"New Hampshire",76,68
"New Hampshire",36,45
"New Hampshire",48,51
"New Hampshire",63,38
"New Hampshire",NA,39
"New Hampshire",60,30
"New Hampshire",57,53
