"state","pre","post"
"New Jersey",62,73
"New Jersey",45,NA
"New Jersey",NA,77
"New Jersey",NA,59
"New Jersey",53,55
"New Jersey",76,52
"New Jersey",78,59
"New Jersey",43,69
"New Jersey",45,97
"New Jersey",56,NA
"New Jersey",60,85
"New Jersey",45,95
"New Jersey",77,NA
"New Jersey",45,NA
"New Jersey",80,74
"New Jersey",49,45
"New Jersey",65,75
"New Jersey",62,57
"New Jersey",63,80
"New Jersey",66,64
"New Jersey",57,NA
"New Jersey",71,86
"New Jersey",34,78
"New Jersey",43,NA
"New Jersey",58,54
"New Jersey",61,NA
"New Jersey",51,NA
"New Jersey",65,85
"New Jersey",64,NA
"New Jersey",81,94
"New Jersey",64,71
"New Jersey",61,79
"New Jersey",49,67
"New Jersey",55,46
"New Jersey",86,66
"New Jersey",78,62
"New Jersey",87,82
"New Jersey",NA,71
"New Jersey",50,55
"New Jersey",59,58
"New Jersey",62,59
"New Jersey",24,67
"New Jersey",NA,71
"New Jersey",77,74
"New Jersey",83,63
"New Jersey",45,70
"New Jersey",43,79
"New Jersey",58,75
"New Jersey",30,70
"New Jersey",43,60
"New Jersey",35,56
"New Jersey",36,74
"New Jersey",78,81
"New Jersey",49,86
"New Jersey",NA,NA
"New Jersey",79,NA
"New Jersey",54,NA
"New Jersey",72,69
"New Jersey",20,76
"New Jersey",41,NA
"New Jersey",61,44
"New Jersey",67,94
"New Jersey",56,86
"New Jersey",60,69
"New Jersey",66,74
"New Jersey",63,72
"New Jersey",59,65
"New Jersey",79,72
"New Jersey",48,54
"New Jersey",50,89
"New Jersey",52,100
"New Jersey",31,77
"New Jersey",55,67
"New Jersey",54,93
"New Jersey",71,64
"New Jersey",55,87
"New Jersey",45,79
"New Jersey",NA,64
"New Jersey",41,82
"New Jersey",65,63
"New Jersey",44,53
"New Jersey",47,83
"New Jersey",64,79
"New Jersey",51,91
"New Jersey",NA,NA
"New Jersey",66,NA
"New Jersey",82,43
"New Jersey",36,60
"New Jersey",56,91
"New Jersey",75,78
"New Jersey",60,91
"New Jersey",59,71
"New Jersey",50,64
"New Jersey",64,66
"New Jersey",60,62
"New Jersey",NA,45
"New Jersey",54,70
"New Jersey",NA,59
"New Jersey",64,52
"New Jersey",66,59
"New Jersey",NA,99
"New Jersey",44,65
"New Jersey",82,NA
"New Jersey",68,NA
"New Jersey",67,92
"New Jersey",58,74
"New Jersey",81,81
"New Jersey",53,66
"New Jersey",77,77
"New Jersey",37,NA
"New Jersey",33,78
"New Jersey",NA,75
"New Jersey",67,NA
"New Jersey",58,78
"New Jersey",NA,79
"New Jersey",NA,NA
"New Jersey",69,82
"New Jersey",54,91
"New Jersey",55,79
"New Jersey",71,76
"New Jersey",53,69
"New Jersey",55,90
"New Jersey",70,56
"New Jersey",37,61
"New Jersey",68,74
"New Jersey",45,72
"New Jersey",83,86
"New Jersey",88,88
"New Jersey",66,NA
"New Jersey",57,66
"New Jersey",50,64
"New Jersey",41,65
"New Jersey",61,98
"New Jersey",49,58
"New Jersey",45,63
"New Jersey",63,92
"New Jersey",NA,NA
"New Jersey",70,96
"New Jersey",33,71
"New Jersey",65,NA
"New Jersey",55,NA
"New Jersey",NA,68
"New Jersey",52,67
"New Jersey",70,90
"New Jersey",63,82
"New Jersey",76,81
"New Jersey",46,83
"New Jersey",48,71
"New Jersey",41,64
"New Jersey",64,77
"New Jersey",70,48
"New Jersey",39,61
"New Jersey",71,71
"New Jersey",75,97
"New Jersey",60,NA
"New Jersey",64,NA
"New Jersey",54,61
"New Jersey",25,75
"New Jersey",43,77
