"state","pre","post"
"New Mexico",36,73
"New Mexico",54,60
"New Mexico",58,60
"New Mexico",47,31
"New Mexico",23,59
"New Mexico",46,NA
"New Mexico",NA,53
"New Mexico",39,68
"New Mexico",14,38
"New Mexico",73,48
"New Mexico",43,52
"New Mexico",66,63
"New Mexico",44,48
"New Mexico",78,51
"New Mexico",49,37
"New Mexico",NA,NA
"New Mexico",46,53
"New Mexico",49,39
"New Mexico",14,NA
"New Mexico",NA,52
"New Mexico",NA,50
"New Mexico",41,60
"New Mexico",NA,NA
"New Mexico",57,50
"New Mexico",53,40
"New Mexico",NA,NA
"New Mexico",47,20
"New Mexico",64,62
"New Mexico",37,49
"New Mexico",47,56
"New Mexico",57,47
"New Mexico",35,NA
"New Mexico",28,46
"New Mexico",50,46
"New Mexico",50,40
"New Mexico",28,35
"New Mexico",55,50
"New Mexico",38,68
"New Mexico",17,57
"New Mexico",32,30
"New Mexico",56,46
"New Mexico",33,48
"New Mexico",NA,NA
"New Mexico",NA,48
"New Mexico",52,NA
"New Mexico",62,46
"New Mexico",35,54
"New Mexico",46,42
"New Mexico",58,56
"New Mexico",82,9
"New Mexico",19,61
"New Mexico",60,51
"New Mexico",17,51
"New Mexico",54,52
"New Mexico",62,69
"New Mexico",59,39
"New Mexico",40,NA
"New Mexico",57,26
"New Mexico",46,38
"New Mexico",30,NA
"New Mexico",17,43
"New Mexico",29,31
"New Mexico",37,NA
"New Mexico",58,32
"New Mexico",49,53
"New Mexico",56,53
"New Mexico",39,NA
"New Mexico",50,NA
"New Mexico",NA,NA
"New Mexico",61,NA
"New Mexico",42,35
"New Mexico",36,38
"New Mexico",48,49
"New Mexico",49,44
"New Mexico",75,NA
"New Mexico",36,NA
"New Mexico",40,46
"New Mexico",51,NA
"New Mexico",50,50
"New Mexico",37,38
"New Mexico",44,52
"New Mexico",29,45
"New Mexico",67,1
"New Mexico",66,48
"New Mexico",41,44
"New Mexico",28,NA
"New Mexico",29,NA
"New Mexico",55,59
"New Mexico",28,55
"New Mexico",43,42
"New Mexico",35,57
"New Mexico",66,45
"New Mexico",63,25
"New Mexico",59,59
"New Mexico",54,NA
"New Mexico",46,39
"New Mexico",62,NA
"New Mexico",47,38
"New Mexico",NA,70
"New Mexico",40,NA
"New Mexico",NA,38
"New Mexico",NA,60
"New Mexico",29,56
"New Mexico",47,NA
"New Mexico",41,49
"New Mexico",53,51
"New Mexico",76,36
"New Mexico",65,68
"New Mexico",30,58
"New Mexico",47,58
"New Mexico",65,38
"New Mexico",40,49
"New Mexico",59,47
"New Mexico",53,44
"New Mexico",68,42
"New Mexico",42,40
"New Mexico",56,56
"New Mexico",42,42
"New Mexico",61,38
"New Mexico",41,64
"New Mexico",77,NA
"New Mexico",34,21
"New Mexico",49,48
"New Mexico",43,40
"New Mexico",45,57
"New Mexico",46,NA
"New Mexico",41,47
"New Mexico",65,55
"New Mexico",28,61
"New Mexico",65,71
"New Mexico",42,25
"New Mexico",NA,14
"New Mexico",20,NA
"New Mexico",49,36
"New Mexico",37,40
"New Mexico",20,11
"New Mexico",26,51
"New Mexico",16,41
"New Mexico",46,59
"New Mexico",32,21
"New Mexico",65,NA
"New Mexico",NA,47
"New Mexico",36,NA
"New Mexico",50,NA
"New Mexico",37,60
"New Mexico",51,34
"New Mexico",70,67
"New Mexico",64,32
"New Mexico",51,29
"New Mexico",35,NA
"New Mexico",40,59
"New Mexico",NA,61
"New Mexico",47,53
"New Mexico",65,45
"New Mexico",25,36
"New Mexico",38,26
"New Mexico",62,NA
"New Mexico",50,31
"New Mexico",32,53
"New Mexico",NA,NA
"New Mexico",52,52
"New Mexico",60,45
"New Mexico",40,43
"New Mexico",NA,43
"New Mexico",73,46
"New Mexico",77,34
"New Mexico",52,55
"New Mexico",35,47
"New Mexico",43,53
"New Mexico",52,42
"New Mexico",66,21
"New Mexico",57,39
"New Mexico",NA,52
"New Mexico",35,66
"New Mexico",31,37
"New Mexico",NA,68
"New Mexico",54,35
"New Mexico",NA,NA
"New Mexico",72,52
"New Mexico",53,61
"New Mexico",68,36
"New Mexico",24,27
"New Mexico",34,33
"New Mexico",77,60
"New Mexico",53,49
"New Mexico",40,NA
"New Mexico",46,45
"New Mexico",29,62
"New Mexico",60,NA
"New Mexico",40,54
"New Mexico",45,55
"New Mexico",33,45
"New Mexico",59,60
"New Mexico",18,62
"New Mexico",58,NA
"New Mexico",45,NA
"New Mexico",46,38
"New Mexico",38,49
"New Mexico",33,NA
"New Mexico",21,30
"New Mexico",59,47
"New Mexico",64,35
"New Mexico",18,31
"New Mexico",NA,55
"New Mexico",36,72
"New Mexico",26,52
"New Mexico",58,46
"New Mexico",49,64
"New Mexico",NA,50
"New Mexico",54,46
"New Mexico",NA,69
"New Mexico",45,46
"New Mexico",43,60
"New Mexico",54,56
"New Mexico",52,59
"New Mexico",56,NA
"New Mexico",8,24
"New Mexico",57,25
"New Mexico",27,47
"New Mexico",17,41
"New Mexico",29,48
"New Mexico",NA,43
"New Mexico",NA,NA
"New Mexico",61,48
"New Mexico",18,NA
"New Mexico",49,36
"New Mexico",56,47
"New Mexico",49,NA
"New Mexico",71,59
"New Mexico",39,47
"New Mexico",NA,51
"New Mexico",66,18
"New Mexico",51,63
"New Mexico",44,46
"New Mexico",40,53
"New Mexico",45,47
"New Mexico",53,49
"New Mexico",68,63
"New Mexico",48,34
"New Mexico",43,NA
"New Mexico",60,18
"New Mexico",57,NA
"New Mexico",42,56
"New Mexico",35,82
"New Mexico",41,71
"New Mexico",45,52
"New Mexico",54,36
"New Mexico",32,57
"New Mexico",52,36
"New Mexico",48,45
"New Mexico",12,61
"New Mexico",NA,36
"New Mexico",47,40
"New Mexico",28,47
"New Mexico",34,62
"New Mexico",56,43
"New Mexico",54,70
"New Mexico",47,75
"New Mexico",45,NA
"New Mexico",31,32
"New Mexico",55,37
"New Mexico",NA,56
"New Mexico",55,NA
"New Mexico",55,34
"New Mexico",43,52
"New Mexico",53,54
"New Mexico",47,53
"New Mexico",44,51
"New Mexico",NA,43
"New Mexico",NA,73
"New Mexico",58,56
"New Mexico",41,NA
"New Mexico",57,NA
"New Mexico",42,46
"New Mexico",46,38
"New Mexico",64,24
"New Mexico",83,52
"New Mexico",33,35
"New Mexico",48,54
"New Mexico",62,27
"New Mexico",52,46
"New Mexico",48,19
"New Mexico",15,42
"New Mexico",NA,NA
"New Mexico",24,52
"New Mexico",55,NA
"New Mexico",48,46
"New Mexico",58,52
"New Mexico",31,45
"New Mexico",35,88
"New Mexico",42,28
"New Mexico",24,54
"New Mexico",37,44
"New Mexico",24,48
"New Mexico",64,34
"New Mexico",38,38
"New Mexico",50,38
"New Mexico",20,68
"New Mexico",46,44
"New Mexico",14,57
"New Mexico",58,50
"New Mexico",42,33
"New Mexico",49,49
"New Mexico",26,55
"New Mexico",49,71
"New Mexico",38,NA
"New Mexico",48,66
"New Mexico",44,NA
"New Mexico",43,57
"New Mexico",34,29
"New Mexico",49,NA
"New Mexico",49,21
"New Mexico",52,50
"New Mexico",71,60
"New Mexico",46,42
"New Mexico",35,32
"New Mexico",41,63
"New Mexico",34,31
"New Mexico",47,48
"New Mexico",17,35
"New Mexico",28,13
"New Mexico",51,63
"New Mexico",44,40
"New Mexico",45,50
"New Mexico",29,NA
"New Mexico",52,29
"New Mexico",22,58
"New Mexico",64,69
"New Mexico",52,44
"New Mexico",33,42
"New Mexico",NA,55
"New Mexico",67,72
"New Mexico",36,24
"New Mexico",36,54
"New Mexico",62,15
"New Mexico",42,NA
"New Mexico",54,47
"New Mexico",35,NA
"New Mexico",61,49
