"state","pre","post"
"New York",53,NA
"New York",44,75
"New York",62,58
"New York",NA,73
"New York",36,NA
"New York",60,82
"New York",54,63
"New York",70,NA
"New York",56,79
"New York",64,NA
"New York",55,NA
"New York",46,64
"New York",66,71
"New York",NA,NA
"New York",64,65
"New York",45,38
"New York",52,79
"New York",28,99
"New York",43,57
"New York",66,67
"New York",48,77
"New York",47,NA
"New York",57,75
"New York",35,94
"New York",48,51
"New York",45,99
"New York",28,81
"New York",52,NA
"New York",45,75
"New York",45,84
"New York",NA,NA
"New York",56,91
"New York",92,50
"New York",52,73
"New York",46,65
"New York",77,NA
"New York",63,62
"New York",65,43
"New York",62,48
"New York",65,78
"New York",65,48
"New York",65,57
"New York",40,82
"New York",74,76
"New York",36,74
"New York",50,NA
"New York",NA,52
"New York",57,NA
"New York",58,86
"New York",88,82
"New York",60,85
"New York",37,78
"New York",41,72
"New York",56,65
"New York",74,84
"New York",51,47
"New York",69,NA
"New York",77,51
"New York",56,73
"New York",25,68
"New York",65,57
"New York",77,73
"New York",55,70
"New York",51,87
"New York",NA,NA
"New York",58,58
"New York",49,69
"New York",65,92
"New York",45,87
"New York",51,73
"New York",92,75
"New York",72,68
"New York",68,89
"New York",72,71
"New York",62,63
"New York",55,84
"New York",51,71
"New York",52,NA
"New York",51,72
"New York",29,81
"New York",54,NA
"New York",51,89
"New York",59,79
"New York",58,90
"New York",50,NA
"New York",NA,58
"New York",55,80
"New York",87,NA
"New York",54,71
"New York",45,47
"New York",83,91
"New York",62,68
"New York",40,52
"New York",64,85
"New York",57,71
"New York",57,85
"New York",39,61
"New York",36,71
"New York",49,47
"New York",66,NA
"New York",67,76
"New York",76,78
"New York",78,63
"New York",60,72
"New York",61,54
"New York",75,NA
"New York",NA,91
"New York",74,74
"New York",58,72
"New York",65,91
"New York",65,82
"New York",39,NA
"New York",43,80
"New York",84,65
"New York",53,85
"New York",62,77
"New York",47,68
"New York",75,NA
"New York",55,90
"New York",66,65
"New York",34,78
"New York",66,60
"New York",NA,73
"New York",68,NA
"New York",55,70
"New York",51,72
"New York",42,83
"New York",59,79
"New York",65,71
"New York",36,78
"New York",66,52
"New York",61,62
"New York",69,76
"New York",50,73
"New York",60,93
"New York",57,78
"New York",NA,70
"New York",36,NA
"New York",NA,78
"New York",66,50
"New York",32,77
"New York",38,66
"New York",51,60
"New York",50,61
"New York",62,52
"New York",37,NA
"New York",52,83
"New York",49,55
"New York",69,78
"New York",51,58
"New York",45,94
"New York",72,84
"New York",52,64
"New York",61,69
"New York",46,88
"New York",75,78
"New York",50,63
"New York",61,80
"New York",72,75
"New York",71,90
"New York",58,46
"New York",54,98
"New York",34,84
"New York",74,73
"New York",87,55
"New York",60,72
"New York",58,72
"New York",47,NA
"New York",65,60
"New York",49,66
"New York",68,62
"New York",60,80
"New York",71,NA
"New York",62,NA
"New York",64,63
"New York",50,82
"New York",74,88
"New York",NA,81
"New York",58,71
"New York",56,54
"New York",62,32
"New York",74,78
"New York",83,84
"New York",61,NA
"New York",44,94
"New York",45,74
"New York",70,44
"New York",85,64
"New York",NA,78
"New York",44,81
"New York",65,47
"New York",54,72
"New York",91,77
"New York",42,67
"New York",64,94
"New York",38,58
"New York",65,NA
"New York",64,NA
"New York",52,82
"New York",67,75
"New York",89,61
"New York",25,84
"New York",44,NA
"New York",79,61
"New York",NA,70
"New York",58,85
"New York",NA,44
"New York",46,96
"New York",60,85
"New York",52,70
"New York",66,54
"New York",55,75
"New York",NA,85
"New York",85,39
"New York",42,60
"New York",57,72
"New York",78,NA
"New York",81,68
"New York",68,90
"New York",71,60
"New York",47,53
"New York",59,83
"New York",63,NA
"New York",63,58
"New York",62,46
"New York",76,76
"New York",24,65
"New York",69,98
"New York",60,81
"New York",69,71
"New York",68,59
"New York",58,68
"New York",87,84
"New York",75,87
"New York",66,68
"New York",59,72
"New York",63,74
"New York",32,96
"New York",68,NA
"New York",NA,61
"New York",59,67
"New York",56,77
"New York",70,72
"New York",52,81
"New York",64,NA
"New York",60,76
"New York",69,76
"New York",NA,NA
"New York",60,67
"New York",70,71
"New York",60,65
"New York",58,81
"New York",42,83
"New York",59,53
"New York",51,75
"New York",65,80
"New York",61,89
"New York",85,39
"New York",56,NA
"New York",68,NA
"New York",61,66
"New York",55,73
"New York",35,74
"New York",58,40
"New York",NA,51
"New York",77,NA
"New York",67,61
"New York",43,73
"New York",58,70
"New York",84,80
"New York",52,87
"New York",42,74
"New York",47,64
"New York",85,63
"New York",67,77
"New York",83,66
"New York",NA,88
"New York",75,64
"New York",63,NA
"New York",35,63
"New York",43,40
"New York",82,NA
"New York",60,99
"New York",61,81
"New York",61,61
"New York",40,78
"New York",55,NA
"New York",61,65
"New York",82,91
"New York",68,66
"New York",58,NA
"New York",80,79
"New York",68,65
"New York",93,88
"New York",61,82
"New York",83,76
"New York",77,90
"New York",55,82
"New York",73,92
"New York",71,NA
"New York",54,84
"New York",75,80
"New York",56,80
"New York",73,57
"New York",NA,80
"New York",71,81
"New York",57,85
"New York",81,87
"New York",83,66
"New York",57,76
"New York",64,44
"New York",50,61
"New York",62,58
"New York",56,55
"New York",76,59
"New York",68,63
"New York",60,66
"New York",64,67
"New York",NA,92
"New York",58,72
"New York",48,59
"New York",63,NA
"New York",15,92
"New York",51,91
"New York",46,47
"New York",64,80
"New York",56,NA
"New York",43,NA
"New York",57,74
"New York",64,NA
"New York",63,82
"New York",46,NA
"New York",40,82
"New York",54,NA
"New York",48,51
"New York",67,60
"New York",NA,73
"New York",37,50
"New York",36,82
"New York",67,69
"New York",46,83
"New York",84,67
"New York",52,90
"New York",58,52
"New York",59,NA
"New York",53,NA
"New York",89,72
"New York",50,61
"New York",55,68
"New York",70,74
"New York",47,51
"New York",36,82
"New York",77,54
"New York",91,78
"New York",65,41
"New York",43,74
"New York",42,71
"New York",62,79
"New York",44,68
"New York",34,75
"New York",43,65
"New York",34,78
"New York",43,NA
"New York",52,69
"New York",45,NA
"New York",53,79
"New York",70,90
"New York",59,95
"New York",55,92
"New York",43,70
"New York",52,94
"New York",83,69
"New York",46,NA
"New York",77,56
"New York",48,88
"New York",70,76
"New York",34,63
"New York",52,NA
"New York",63,46
"New York",77,NA
"New York",53,81
"New York",NA,71
"New York",54,61
"New York",59,74
"New York",68,NA
"New York",56,42
"New York",58,52
"New York",65,64
"New York",69,83
"New York",77,93
"New York",87,58
"New York",53,73
"New York",69,57
"New York",NA,78
"New York",69,77
"New York",61,68
"New York",72,66
"New York",52,99
"New York",75,77
"New York",70,63
"New York",76,77
"New York",29,86
"New York",52,68
"New York",43,84
"New York",60,68
"New York",67,77
"New York",63,65
"New York",60,78
"New York",63,93
"New York",95,66
"New York",21,77
"New York",54,81
"New York",NA,79
"New York",80,80
"New York",NA,64
"New York",52,72
"New York",62,68
"New York",68,84
"New York",69,63
"New York",NA,52
"New York",63,79
"New York",61,NA
"New York",55,79
"New York",55,78
"New York",52,56
"New York",NA,61
"New York",49,97
"New York",72,96
"New York",64,92
"New York",81,NA
"New York",86,59
"New York",54,72
"New York",60,58
"New York",79,85
"New York",84,NA
"New York",67,76
"New York",48,83
"New York",77,99
