"state","pre","post"
"North Carolina",41,51
"North Carolina",50,NA
"North Carolina",73,50
"North Carolina",75,72
"North Carolina",39,52
"North Carolina",68,68
"North Carolina",44,60
"North Carolina",62,53
"North Carolina",61,48
"North Carolina",71,NA
"North Carolina",58,40
"North Carolina",37,NA
"North Carolina",60,NA
"North Carolina",80,79
"North Carolina",37,56
"North Carolina",58,41
"North Carolina",32,NA
"North Carolina",66,42
"North Carolina",75,63
"North Carolina",71,71
"North Carolina",NA,57
"North Carolina",NA,42
"North Carolina",81,18
"North Carolina",70,75
"North Carolina",56,56
"North Carolina",56,72
"North Carolina",45,68
"North Carolina",87,NA
"North Carolina",NA,NA
"North Carolina",76,66
"North Carolina",62,58
"North Carolina",69,NA
"North Carolina",43,43
"North Carolina",36,31
"North Carolina",46,NA
"North Carolina",32,44
"North Carolina",46,43
"North Carolina",23,54
"North Carolina",60,80
"North Carolina",82,63
"North Carolina",73,77
"North Carolina",77,67
"North Carolina",NA,56
"North Carolina",69,NA
"North Carolina",92,57
"North Carolina",57,68
"North Carolina",62,58
"North Carolina",75,68
"North Carolina",51,57
"North Carolina",NA,49
"North Carolina",47,31
"North Carolina",61,36
"North Carolina",43,51
"North Carolina",68,39
"North Carolina",70,58
"North Carolina",56,50
"North Carolina",41,35
"North Carolina",59,NA
"North Carolina",NA,NA
"North Carolina",41,57
"North Carolina",65,66
"North Carolina",59,40
"North Carolina",70,16
"North Carolina",NA,43
"North Carolina",50,94
"North Carolina",76,33
"North Carolina",69,68
"North Carolina",66,78
"North Carolina",59,82
"North Carolina",91,54
"North Carolina",50,54
"North Carolina",81,31
"North Carolina",81,40
"North Carolina",49,73
"North Carolina",37,44
"North Carolina",49,82
"North Carolina",54,58
"North Carolina",19,41
"North Carolina",NA,41
"North Carolina",40,NA
"North Carolina",72,38
"North Carolina",NA,33
"North Carolina",95,50
"North Carolina",72,59
"North Carolina",79,24
"North Carolina",73,NA
"North Carolina",62,51
"North Carolina",67,45
"North Carolina",88,59
"North Carolina",31,53
"North Carolina",59,65
"North Carolina",88,51
"North Carolina",33,48
"North Carolina",49,59
"North Carolina",64,56
"North Carolina",60,NA
"North Carolina",73,NA
"North Carolina",71,46
"North Carolina",72,66
"North Carolina",56,NA
"North Carolina",80,NA
"North Carolina",46,NA
"North Carolina",68,60
"North Carolina",51,NA
"North Carolina",58,40
"North Carolina",31,31
"North Carolina",50,NA
"North Carolina",54,NA
"North Carolina",86,NA
"North Carolina",73,31
"North Carolina",49,57
"North Carolina",60,36
"North Carolina",44,53
"North Carolina",47,71
"North Carolina",66,NA
"North Carolina",NA,NA
"North Carolina",49,34
"North Carolina",65,33
"North Carolina",51,50
"North Carolina",67,66
"North Carolina",88,57
"North Carolina",NA,60
"North Carolina",63,58
"North Carolina",57,68
"North Carolina",38,57
"North Carolina",40,53
"North Carolina",12,29
"North Carolina",41,NA
"North Carolina",64,NA
"North Carolina",67,52
"North Carolina",20,49
"North Carolina",56,41
"North Carolina",71,53
"North Carolina",43,46
"North Carolina",54,NA
"North Carolina",41,67
"North Carolina",54,50
"North Carolina",55,62
"North Carolina",46,22
"North Carolina",NA,40
"North Carolina",74,69
"North Carolina",35,45
"North Carolina",NA,NA
"North Carolina",38,57
"North Carolina",NA,71
"North Carolina",63,45
"North Carolina",78,57
"North Carolina",51,64
"North Carolina",83,46
"North Carolina",28,88
"North Carolina",9,69
"North Carolina",68,NA
"North Carolina",70,62
"North Carolina",64,61
"North Carolina",74,27
"North Carolina",68,45
"North Carolina",56,65
"North Carolina",57,49
"North Carolina",48,49
"North Carolina",74,63
"North Carolina",85,50
"North Carolina",61,46
"North Carolina",52,76
"North Carolina",52,NA
"North Carolina",24,NA
"North Carolina",56,NA
"North Carolina",NA,45
"North Carolina",62,24
"North Carolina",NA,34
"North Carolina",43,57
"North Carolina",87,40
"North Carolina",62,65
"North Carolina",40,44
"North Carolina",55,48
"North Carolina",NA,66
"North Carolina",59,61
"North Carolina",43,41
"North Carolina",52,60
"North Carolina",92,42
"North Carolina",59,52
"North Carolina",51,NA
"North Carolina",56,NA
"North Carolina",91,44
"North Carolina",59,50
"North Carolina",68,23
"North Carolina",NA,20
"North Carolina",71,61
"North Carolina",59,68
"North Carolina",60,86
"North Carolina",65,40
"North Carolina",71,NA
"North Carolina",64,77
"North Carolina",39,65
"North Carolina",46,20
"North Carolina",36,19
"North Carolina",NA,87
"North Carolina",50,51
"North Carolina",79,19
"North Carolina",43,29
"North Carolina",NA,NA
"North Carolina",47,48
"North Carolina",37,61
"North Carolina",78,36
"North Carolina",54,43
"North Carolina",77,NA
"North Carolina",80,64
"North Carolina",58,65
"North Carolina",56,53
"North Carolina",96,38
"North Carolina",71,NA
"North Carolina",79,45
"North Carolina",71,47
"North Carolina",78,58
"North Carolina",NA,59
"North Carolina",63,16
