"state","pre","post"
"North Dakota",46,76
"North Dakota",23,46
"North Dakota",54,66
"North Dakota",NA,36
"North Dakota",53,74
"North Dakota",45,63
"North Dakota",29,74
"North Dakota",56,4
"North Dakota",44,64
"North Dakota",18,64
"North Dakota",24,64
"North Dakota",25,36
"North Dakota",37,59
"North Dakota",6,70
"North Dakota",38,61
"North Dakota",30,NA
"North Dakota",61,58
"North Dakota",48,40
"North Dakota",57,63
"North Dakota",38,48
"North Dakota",49,70
"North Dakota",49,43
"North Dakota",54,48
"North Dakota",54,57
"North Dakota",32,92
"North Dakota",35,NA
"North Dakota",46,69
"North Dakota",33,62
"North Dakota",21,46
"North Dakota",16,54
"North Dakota",46,NA
"North Dakota",29,59
"North Dakota",42,54
"North Dakota",56,54
"North Dakota",38,52
"North Dakota",55,44
"North Dakota",46,64
"North Dakota",28,24
"North Dakota",14,45
"North Dakota",37,71
"North Dakota",44,44
"North Dakota",28,33
"North Dakota",46,44
"North Dakota",37,NA
"North Dakota",NA,78
"North Dakota",48,73
"North Dakota",NA,NA
"North Dakota",0,47
"North Dakota",49,38
"North Dakota",54,92
"North Dakota",38,39
"North Dakota",66,30
"North Dakota",35,80
"North Dakota",63,88
"North Dakota",18,50
"North Dakota",22,37
"North Dakota",24,59
"North Dakota",44,68
"North Dakota",60,57
"North Dakota",46,55
"North Dakota",35,NA
"North Dakota",39,NA
"North Dakota",40,57
"North Dakota",59,60
"North Dakota",33,60
"North Dakota",51,54
"North Dakota",33,NA
"North Dakota",47,NA
"North Dakota",15,61
"North Dakota",44,73
"North Dakota",40,89
"North Dakota",NA,52
"North Dakota",NA,44
"North Dakota",38,63
"North Dakota",47,70
"North Dakota",42,52
"North Dakota",27,56
"North Dakota",26,64
"North Dakota",51,NA
"North Dakota",38,58
"North Dakota",68,56
"North Dakota",26,44
"North Dakota",44,NA
"North Dakota",77,83
"North Dakota",35,76
"North Dakota",35,60
"North Dakota",47,93
"North Dakota",89,63
"North Dakota",34,60
"North Dakota",58,60
"North Dakota",23,74
"North Dakota",35,47
"North Dakota",29,62
"North Dakota",18,75
"North Dakota",66,70
"North Dakota",40,55
"North Dakota",62,55
"North Dakota",23,89
"North Dakota",9,47
"North Dakota",52,70
"North Dakota",49,39
"North Dakota",50,63
"North Dakota",45,61
"North Dakota",NA,71
"North Dakota",54,58
"North Dakota",51,69
"North Dakota",44,73
"North Dakota",NA,33
"North Dakota",57,56
"North Dakota",15,54
"North Dakota",50,56
"North Dakota",39,72
"North Dakota",38,70
"North Dakota",42,40
"North Dakota",24,47
"North Dakota",36,51
"North Dakota",53,NA
"North Dakota",40,61
"North Dakota",NA,43
"North Dakota",23,52
