"state","pre","post"
"Ohio",26,93
"Ohio",28,76
"Ohio",17,NA
"Ohio",20,74
"Ohio",44,74
"Ohio",54,98
"Ohio",54,68
"Ohio",52,83
"Ohio",45,52
"Ohio",30,80
"Ohio",51,70
"Ohio",27,70
"Ohio",52,80
"Ohio",45,68
"Ohio",9,64
"Ohio",NA,NA
"Ohio",38,89
"Ohio",28,81
"Ohio",39,75
"Ohio",61,NA
"Ohio",43,74
"Ohio",33,61
"Ohio",44,74
"Ohio",52,68
"Ohio",22,96
"Ohio",32,80
"Ohio",21,89
"Ohio",15,77
"Ohio",25,81
"Ohio",28,86
"Ohio",44,77
"Ohio",38,87
"Ohio",47,64
"Ohio",42,97
"Ohio",44,90
"Ohio",24,79
"Ohio",12,47
"Ohio",NA,89
"Ohio",41,92
"Ohio",49,NA
"Ohio",9,84
"Ohio",69,91
"Ohio",62,96
"Ohio",44,76
"Ohio",55,89
"Ohio",42,67
"Ohio",41,NA
"Ohio",25,89
"Ohio",21,75
"Ohio",31,69
"Ohio",44,84
"Ohio",78,90
"Ohio",NA,54
"Ohio",28,NA
"Ohio",31,62
"Ohio",34,79
"Ohio",21,82
"Ohio",49,55
"Ohio",49,38
"Ohio",19,82
"Ohio",62,82
"Ohio",36,76
"Ohio",43,83
"Ohio",52,NA
"Ohio",48,NA
"Ohio",34,NA
"Ohio",54,74
"Ohio",41,94
"Ohio",39,68
"Ohio",46,71
"Ohio",58,90
"Ohio",30,NA
"Ohio",62,64
"Ohio",47,90
"Ohio",15,NA
"Ohio",10,63
"Ohio",27,NA
"Ohio",21,79
"Ohio",53,72
"Ohio",40,82
"Ohio",19,NA
"Ohio",42,65
"Ohio",36,78
"Ohio",51,74
"Ohio",51,59
"Ohio",27,72
"Ohio",44,82
"Ohio",15,74
"Ohio",17,62
"Ohio",29,87
"Ohio",77,78
"Ohio",21,98
"Ohio",42,69
"Ohio",51,NA
"Ohio",NA,NA
"Ohio",34,70
"Ohio",40,72
"Ohio",23,NA
"Ohio",41,49
"Ohio",17,76
"Ohio",44,78
"Ohio",32,71
"Ohio",13,NA
"Ohio",9,61
"Ohio",31,92
"Ohio",23,49
"Ohio",41,76
"Ohio",53,80
"Ohio",45,65
"Ohio",51,75
"Ohio",53,71
"Ohio",43,70
"Ohio",43,72
"Ohio",30,95
"Ohio",18,77
"Ohio",67,NA
"Ohio",52,63
"Ohio",44,NA
"Ohio",57,96
"Ohio",58,16
"Ohio",25,72
"Ohio",49,79
"Ohio",49,84
"Ohio",38,85
"Ohio",11,78
"Ohio",49,64
"Ohio",61,68
"Ohio",23,91
"Ohio",26,52
"Ohio",50,86
"Ohio",47,79
"Ohio",25,76
"Ohio",NA,71
"Ohio",35,82
"Ohio",44,85
"Ohio",20,64
"Ohio",24,52
"Ohio",40,93
"Ohio",37,82
"Ohio",24,82
"Ohio",37,75
"Ohio",26,80
"Ohio",62,93
"Ohio",42,NA
"Ohio",18,NA
"Ohio",16,78
"Ohio",32,51
"Ohio",NA,85
"Ohio",13,49
"Ohio",50,90
"Ohio",32,85
"Ohio",40,71
"Ohio",43,65
"Ohio",45,65
"Ohio",41,58
"Ohio",12,75
"Ohio",46,77
"Ohio",5,59
"Ohio",14,87
"Ohio",36,76
"Ohio",49,80
"Ohio",NA,94
"Ohio",64,79
"Ohio",45,NA
"Ohio",16,88
"Ohio",35,61
"Ohio",NA,57
"Ohio",58,88
"Ohio",34,82
"Ohio",51,91
"Ohio",52,98
"Ohio",29,82
"Ohio",31,87
"Ohio",46,NA
"Ohio",46,69
"Ohio",48,84
"Ohio",31,90
"Ohio",13,NA
"Ohio",32,49
"Ohio",18,65
"Ohio",31,77
"Ohio",45,NA
"Ohio",NA,NA
"Ohio",54,99
"Ohio",26,86
"Ohio",57,94
"Ohio",43,81
"Ohio",NA,70
"Ohio",27,70
"Ohio",40,68
"Ohio",50,99
"Ohio",40,80
"Ohio",30,97
"Ohio",59,79
"Ohio",58,84
"Ohio",51,69
"Ohio",27,78
"Ohio",29,NA
"Ohio",22,45
"Ohio",28,56
"Ohio",44,87
"Ohio",41,96
"Ohio",49,74
"Ohio",34,80
"Ohio",54,NA
"Ohio",16,68
"Ohio",40,NA
"Ohio",41,63
"Ohio",25,60
"Ohio",40,73
"Ohio",20,78
"Ohio",62,71
"Ohio",48,74
"Ohio",40,99
"Ohio",NA,75
"Ohio",53,83
"Ohio",2,88
"Ohio",25,NA
"Ohio",29,78
"Ohio",37,69
"Ohio",52,NA
"Ohio",46,74
"Ohio",71,66
"Ohio",28,84
"Ohio",46,54
"Ohio",34,NA
"Ohio",28,76
"Ohio",37,95
"Ohio",NA,64
"Ohio",41,89
"Ohio",NA,70
"Ohio",32,42
"Ohio",31,84
"Ohio",36,74
"Ohio",45,99
"Ohio",54,66
"Ohio",26,49
"Ohio",37,NA
"Ohio",38,63
"Ohio",NA,68
"Ohio",36,NA
"Ohio",38,76
"Ohio",48,82
"Ohio",21,71
"Ohio",29,59
"Ohio",35,NA
"Ohio",NA,33
"Ohio",54,69
"Ohio",NA,78
"Ohio",31,77
"Ohio",54,53
"Ohio",59,87
"Ohio",31,79
"Ohio",34,49
"Ohio",53,NA
"Ohio",23,NA
"Ohio",45,56
"Ohio",61,76
"Ohio",27,NA
"Ohio",11,89
"Ohio",65,67
"Ohio",54,88
"Ohio",36,80
"Ohio",60,42
"Ohio",47,54
"Ohio",32,80
"Ohio",52,63
"Ohio",16,77
"Ohio",51,80
"Ohio",41,NA
"Ohio",27,91
"Ohio",17,73
"Ohio",34,NA
"Ohio",33,86
"Ohio",20,66
"Ohio",17,NA
"Ohio",NA,64
"Ohio",27,78
"Ohio",40,49
"Ohio",42,NA
"Ohio",79,81
"Ohio",51,73
"Ohio",38,59
"Ohio",21,NA
"Ohio",41,NA
"Ohio",28,49
"Ohio",34,81
"Ohio",34,52
"Ohio",44,83
"Ohio",28,71
"Ohio",46,86
"Ohio",43,80
"Ohio",28,96
"Ohio",NA,74
"Ohio",37,64
"Ohio",36,67
"Ohio",56,NA
"Ohio",29,82
"Ohio",44,82
"Ohio",29,82
"Ohio",45,87
"Ohio",40,84
"Ohio",44,69
"Ohio",42,64
"Ohio",35,82
"Ohio",41,84
"Ohio",52,66
"Ohio",58,76
"Ohio",33,50
"Ohio",25,63
"Ohio",21,NA
"Ohio",38,NA
"Ohio",22,68
"Ohio",35,NA
"Ohio",37,68
"Ohio",78,88
"Ohio",38,77
"Ohio",28,NA
"Ohio",54,NA
"Ohio",40,NA
"Ohio",22,87
"Ohio",43,NA
"Ohio",31,68
"Ohio",31,92
"Ohio",51,97
"Ohio",40,78
"Ohio",43,96
"Ohio",53,NA
"Ohio",41,86
"Ohio",43,85
"Ohio",43,NA
"Ohio",52,NA
"Ohio",53,66
"Ohio",32,72
"Ohio",62,67
"Ohio",47,94
"Ohio",56,NA
"Ohio",30,74
"Ohio",62,60
"Ohio",44,NA
"Ohio",45,88
"Ohio",63,NA
"Ohio",51,68
"Ohio",37,66
"Ohio",32,56
"Ohio",21,58
"Ohio",11,94
"Ohio",66,83
"Ohio",NA,81
"Ohio",30,73
"Ohio",NA,76
"Ohio",12,99
"Ohio",10,81
"Ohio",50,53
"Ohio",6,70
"Ohio",NA,84
"Ohio",34,65
"Ohio",31,NA
"Ohio",5,80
"Ohio",40,73
"Ohio",NA,80
"Ohio",41,NA
"Ohio",32,88
"Ohio",26,68
"Ohio",23,93
"Ohio",35,88
"Ohio",22,55
"Ohio",27,78
"Ohio",NA,NA
"Ohio",26,80
"Ohio",33,75
"Ohio",38,48
"Ohio",31,88
"Ohio",41,NA
"Ohio",47,93
"Ohio",51,77
"Ohio",45,57
"Ohio",21,NA
"Ohio",25,NA
"Ohio",41,NA
"Ohio",41,81
"Ohio",18,89
"Ohio",41,85
"Ohio",8,77
"Ohio",27,83
"Ohio",59,NA
"Ohio",33,NA
"Ohio",55,89
"Ohio",61,30
"Ohio",35,42
"Ohio",28,60
"Ohio",NA,NA
"Ohio",43,94
"Ohio",31,63
"Ohio",54,89
"Ohio",46,70
"Ohio",37,79
"Ohio",28,75
"Ohio",41,NA
"Ohio",48,87
"Ohio",67,81
"Ohio",57,NA
"Ohio",30,71
"Ohio",NA,NA
"Ohio",44,62
"Ohio",8,60
"Ohio",59,95
"Ohio",56,NA
"Ohio",20,65
"Ohio",54,NA
"Ohio",48,59
"Ohio",45,NA
"Ohio",22,NA
"Ohio",33,74
"Ohio",54,91
"Ohio",52,89
"Ohio",48,86
"Ohio",48,93
"Ohio",38,100
"Ohio",68,64
"Ohio",47,84
"Ohio",26,71
"Ohio",24,60
"Ohio",36,66
"Ohio",14,NA
"Ohio",56,61
"Ohio",40,66
"Ohio",49,75
"Ohio",32,54
"Ohio",40,NA
"Ohio",52,63
"Ohio",44,77
"Ohio",32,NA
"Ohio",39,65
"Ohio",68,99
"Ohio",NA,88
"Ohio",36,NA
"Ohio",NA,NA
"Ohio",75,62
"Ohio",48,71
"Ohio",61,91
"Ohio",49,75
"Ohio",54,91
"Ohio",42,96
"Ohio",52,78
"Ohio",58,86
"Ohio",23,71
"Ohio",12,77
"Ohio",18,76
"Ohio",49,NA
"Ohio",60,72
"Ohio",26,75
"Ohio",40,NA
"Ohio",NA,86
"Ohio",49,78
"Ohio",41,49
"Ohio",65,56
"Ohio",33,NA
"Ohio",43,95
"Ohio",34,46
"Ohio",39,73
"Ohio",41,80
"Ohio",NA,93
"Ohio",56,85
"Ohio",41,73
"Ohio",58,98
"Ohio",33,76
"Ohio",31,80
"Ohio",40,87
"Ohio",37,NA
"Ohio",42,73
"Ohio",17,72
"Ohio",53,NA
"Ohio",30,71
"Ohio",27,71
"Ohio",47,55
"Ohio",39,97
"Ohio",4,93
"Ohio",28,73
"Ohio",33,86
"Ohio",30,77
"Ohio",2,95
"Ohio",24,91
"Ohio",66,67
"Ohio",30,74
"Ohio",34,76
"Ohio",20,54
"Ohio",37,88
"Ohio",57,NA
"Ohio",NA,80
"Ohio",53,71
"Ohio",45,90
"Ohio",58,88
"Ohio",30,78
"Ohio",27,71
"Ohio",25,87
"Ohio",46,NA
"Ohio",23,64
"Ohio",28,89
"Ohio",37,90
"Ohio",18,70
"Ohio",59,78
"Ohio",48,71
"Ohio",47,95
"Ohio",81,74
"Ohio",55,NA
"Ohio",63,74
"Ohio",29,79
"Ohio",31,95
"Ohio",31,62
"Ohio",58,90
"Ohio",50,69
"Ohio",22,NA
"Ohio",30,80
"Ohio",81,NA
"Ohio",52,NA
"Ohio",52,82
"Ohio",51,51
"Ohio",47,73
"Ohio",30,NA
"Ohio",36,NA
"Ohio",11,53
"Ohio",38,90
"Ohio",23,46
"Ohio",28,NA
"Ohio",NA,67
"Ohio",NA,83
"Ohio",39,83
"Ohio",38,80
"Ohio",31,70
"Ohio",27,73
"Ohio",23,95
"Ohio",31,57
"Ohio",NA,75
"Ohio",48,98
"Ohio",51,71
"Ohio",33,NA
"Ohio",8,87
"Ohio",33,NA
"Ohio",62,81
"Ohio",26,80
"Ohio",35,47
"Ohio",10,74
"Ohio",31,85
"Ohio",52,72
"Ohio",32,80
"Ohio",46,98
"Ohio",5,89
"Ohio",38,84
"Ohio",49,NA
"Ohio",NA,85
"Ohio",24,66
"Ohio",38,78
"Ohio",46,95
"Ohio",38,52
"Ohio",25,56
"Ohio",40,76
"Ohio",21,NA
"Ohio",56,75
"Ohio",22,75
"Ohio",27,NA
"Ohio",40,82
"Ohio",73,63
"Ohio",58,71
"Ohio",33,NA
"Ohio",53,76
"Ohio",25,96
"Ohio",35,94
"Ohio",40,97
"Ohio",33,NA
"Ohio",38,70
"Ohio",26,85
"Ohio",26,89
"Ohio",11,NA
"Ohio",40,73
"Ohio",46,98
"Ohio",14,94
"Ohio",23,76
"Ohio",31,65
"Ohio",39,90
"Ohio",30,57
"Ohio",30,97
"Ohio",16,NA
"Ohio",NA,89
"Ohio",13,55
"Ohio",50,87
"Ohio",51,82
"Ohio",NA,NA
"Ohio",61,94
"Ohio",55,88
"Ohio",40,88
