"state","pre","post"
"Oklahoma",NA,50
"Oklahoma",67,72
"Oklahoma",88,86
"Oklahoma",26,81
"Oklahoma",52,NA
"Oklahoma",47,76
"Oklahoma",43,65
"Oklahoma",NA,78
"Oklahoma",75,NA
"Oklahoma",42,76
"Oklahoma",56,NA
"Oklahoma",41,NA
"Oklahoma",56,74
"Oklahoma",66,55
"Oklahoma",46,65
"Oklahoma",42,54
"Oklahoma",66,34
"Oklahoma",69,83
"Oklahoma",32,85
"Oklahoma",61,38
"Oklahoma",32,NA
"Oklahoma",60,78
"Oklahoma",34,54
"Oklahoma",71,NA
"Oklahoma",44,NA
"Oklahoma",46,79
"Oklahoma",57,58
"Oklahoma",34,78
"Oklahoma",60,57
"Oklahoma",56,68
"Oklahoma",35,70
"Oklahoma",46,75
"Oklahoma",45,70
"Oklahoma",NA,59
"Oklahoma",89,52
"Oklahoma",55,58
"Oklahoma",44,NA
"Oklahoma",56,61
"Oklahoma",39,NA
"Oklahoma",43,73
"Oklahoma",48,NA
"Oklahoma",65,62
"Oklahoma",NA,84
"Oklahoma",22,NA
"Oklahoma",NA,69
"Oklahoma",NA,37
"Oklahoma",75,NA
"Oklahoma",51,79
"Oklahoma",42,71
"Oklahoma",44,NA
"Oklahoma",96,50
"Oklahoma",42,79
"Oklahoma",51,85
"Oklahoma",51,38
"Oklahoma",51,56
"Oklahoma",57,37
"Oklahoma",NA,76
"Oklahoma",18,56
"Oklahoma",43,NA
"Oklahoma",41,83
"Oklahoma",77,NA
"Oklahoma",55,55
"Oklahoma",58,53
"Oklahoma",69,89
"Oklahoma",29,60
"Oklahoma",NA,78
"Oklahoma",71,50
"Oklahoma",NA,46
"Oklahoma",67,60
"Oklahoma",35,NA
"Oklahoma",54,76
"Oklahoma",NA,51
"Oklahoma",47,NA
"Oklahoma",51,83
"Oklahoma",51,92
"Oklahoma",40,69
"Oklahoma",41,44
"Oklahoma",57,71
"Oklahoma",37,58
"Oklahoma",39,49
"Oklahoma",48,NA
"Oklahoma",NA,68
"Oklahoma",NA,56
"Oklahoma",41,73
"Oklahoma",54,74
"Oklahoma",68,63
"Oklahoma",57,73
"Oklahoma",41,52
"Oklahoma",63,58
"Oklahoma",39,35
"Oklahoma",54,92
"Oklahoma",25,84
"Oklahoma",72,NA
"Oklahoma",70,60
"Oklahoma",48,63
"Oklahoma",59,73
"Oklahoma",32,66
"Oklahoma",75,73
"Oklahoma",38,64
"Oklahoma",18,65
"Oklahoma",74,74
"Oklahoma",77,48
"Oklahoma",69,64
"Oklahoma",30,NA
"Oklahoma",37,87
"Oklahoma",43,76
"Oklahoma",45,60
"Oklahoma",66,NA
"Oklahoma",52,NA
"Oklahoma",49,61
"Oklahoma",72,54
"Oklahoma",54,NA
"Oklahoma",58,56
"Oklahoma",58,83
"Oklahoma",NA,NA
"Oklahoma",NA,82
"Oklahoma",66,80
"Oklahoma",50,NA
"Oklahoma",62,68
"Oklahoma",NA,69
"Oklahoma",73,80
"Oklahoma",41,82
"Oklahoma",43,99
"Oklahoma",62,NA
"Oklahoma",57,NA
"Oklahoma",40,53
"Oklahoma",33,NA
"Oklahoma",42,83
"Oklahoma",51,91
"Oklahoma",44,70
"Oklahoma",28,43
"Oklahoma",58,45
"Oklahoma",53,83
"Oklahoma",40,63
"Oklahoma",51,59
"Oklahoma",54,NA
"Oklahoma",56,77
"Oklahoma",75,62
"Oklahoma",72,39
"Oklahoma",49,65
"Oklahoma",64,41
"Oklahoma",55,63
"Oklahoma",NA,79
"Oklahoma",36,54
"Oklahoma",70,NA
"Oklahoma",39,NA
"Oklahoma",59,48
"Oklahoma",58,68
"Oklahoma",42,61
"Oklahoma",NA,51
"Oklahoma",29,45
"Oklahoma",67,NA
"Oklahoma",60,44
"Oklahoma",41,NA
"Oklahoma",52,69
"Oklahoma",61,78
"Oklahoma",NA,56
"Oklahoma",55,49
"Oklahoma",59,80
"Oklahoma",85,67
"Oklahoma",60,NA
"Oklahoma",18,76
"Oklahoma",61,60
"Oklahoma",53,63
"Oklahoma",55,55
"Oklahoma",90,61
"Oklahoma",NA,NA
"Oklahoma",49,95
"Oklahoma",26,54
"Oklahoma",55,65
"Oklahoma",70,70
"Oklahoma",30,84
"Oklahoma",73,46
"Oklahoma",NA,NA
"Oklahoma",39,67
"Oklahoma",45,88
"Oklahoma",39,76
"Oklahoma",57,75
"Oklahoma",NA,86
"Oklahoma",81,NA
"Oklahoma",66,62
"Oklahoma",70,88
"Oklahoma",44,70
"Oklahoma",46,62
"Oklahoma",68,NA
"Oklahoma",53,NA
"Oklahoma",54,NA
"Oklahoma",NA,NA
"Oklahoma",71,38
"Oklahoma",29,NA
"Oklahoma",34,43
"Oklahoma",71,75
"Oklahoma",33,60
"Oklahoma",79,61
"Oklahoma",NA,NA
"Oklahoma",40,63
"Oklahoma",66,86
"Oklahoma",51,58
"Oklahoma",67,62
"Oklahoma",47,90
"Oklahoma",50,NA
"Oklahoma",41,NA
"Oklahoma",53,80
"Oklahoma",NA,80
"Oklahoma",67,69
"Oklahoma",NA,66
"Oklahoma",38,23
"Oklahoma",NA,NA
"Oklahoma",NA,62
"Oklahoma",55,NA
"Oklahoma",33,NA
"Oklahoma",61,79
"Oklahoma",41,68
"Oklahoma",65,57
"Oklahoma",64,NA
"Oklahoma",81,95
"Oklahoma",37,50
"Oklahoma",47,49
"Oklahoma",70,85
"Oklahoma",32,84
"Oklahoma",52,79
"Oklahoma",26,75
"Oklahoma",37,NA
"Oklahoma",61,66
"Oklahoma",40,57
"Oklahoma",50,NA
"Oklahoma",NA,79
"Oklahoma",51,76
"Oklahoma",59,NA
"Oklahoma",39,85
"Oklahoma",71,77
"Oklahoma",51,NA
"Oklahoma",39,58
"Oklahoma",NA,35
"Oklahoma",29,69
"Oklahoma",NA,95
"Oklahoma",55,NA
"Oklahoma",61,65
"Oklahoma",72,NA
"Oklahoma",54,60
"Oklahoma",56,NA
"Oklahoma",78,NA
"Oklahoma",45,67
"Oklahoma",52,NA
"Oklahoma",NA,82
"Oklahoma",61,66
"Oklahoma",58,67
"Oklahoma",58,54
"Oklahoma",48,NA
"Oklahoma",68,59
"Oklahoma",51,96
"Oklahoma",26,65
"Oklahoma",71,70
"Oklahoma",41,81
"Oklahoma",NA,80
"Oklahoma",34,71
"Oklahoma",67,76
"Oklahoma",67,NA
"Oklahoma",50,69
"Oklahoma",57,70
"Oklahoma",37,50
"Oklahoma",71,79
"Oklahoma",25,71
"Oklahoma",81,83
"Oklahoma",61,75
"Oklahoma",29,90
"Oklahoma",67,68
"Oklahoma",49,NA
"Oklahoma",59,NA
"Oklahoma",51,53
"Oklahoma",NA,NA
"Oklahoma",62,88
"Oklahoma",68,60
"Oklahoma",54,94
"Oklahoma",32,58
"Oklahoma",50,NA
"Oklahoma",31,NA
"Oklahoma",59,63
"Oklahoma",58,83
"Oklahoma",67,59
"Oklahoma",NA,69
"Oklahoma",53,72
"Oklahoma",62,86
"Oklahoma",30,82
"Oklahoma",55,54
"Oklahoma",NA,74
"Oklahoma",49,74
"Oklahoma",47,81
"Oklahoma",57,53
"Oklahoma",54,NA
"Oklahoma",26,81
"Oklahoma",NA,49
"Oklahoma",62,49
"Oklahoma",48,83
"Oklahoma",33,83
"Oklahoma",60,72
"Oklahoma",42,NA
"Oklahoma",42,68
"Oklahoma",33,NA
"Oklahoma",NA,NA
"Oklahoma",31,73
"Oklahoma",NA,74
"Oklahoma",48,73
"Oklahoma",56,NA
"Oklahoma",54,75
"Oklahoma",50,50
"Oklahoma",NA,57
"Oklahoma",44,88
"Oklahoma",NA,NA
"Oklahoma",31,82
"Oklahoma",36,76
"Oklahoma",27,69
"Oklahoma",67,NA
"Oklahoma",47,68
"Oklahoma",NA,60
"Oklahoma",80,59
"Oklahoma",NA,69
"Oklahoma",53,69
"Oklahoma",67,59
"Oklahoma",49,66
"Oklahoma",36,38
"Oklahoma",39,NA
"Oklahoma",73,54
"Oklahoma",NA,87
"Oklahoma",NA,71
"Oklahoma",48,55
"Oklahoma",47,80
"Oklahoma",NA,57
"Oklahoma",NA,49
"Oklahoma",NA,70
"Oklahoma",76,NA
"Oklahoma",75,83
"Oklahoma",36,NA
"Oklahoma",31,74
"Oklahoma",39,61
"Oklahoma",48,75
"Oklahoma",55,NA
"Oklahoma",53,86
"Oklahoma",40,52
"Oklahoma",71,74
"Oklahoma",49,70
"Oklahoma",74,73
"Oklahoma",47,NA
"Oklahoma",54,NA
"Oklahoma",53,64
"Oklahoma",62,79
"Oklahoma",48,56
"Oklahoma",46,74
"Oklahoma",33,79
"Oklahoma",NA,70
"Oklahoma",32,58
"Oklahoma",69,NA
"Oklahoma",50,65
"Oklahoma",94,68
"Oklahoma",54,78
"Oklahoma",74,64
"Oklahoma",61,77
"Oklahoma",NA,53
"Oklahoma",50,NA
"Oklahoma",54,69
"Oklahoma",49,61
"Oklahoma",98,66
"Oklahoma",45,77
"Oklahoma",53,59
"Oklahoma",43,55
"Oklahoma",57,65
"Oklahoma",59,NA
"Oklahoma",36,37
"Oklahoma",NA,71
"Oklahoma",58,79
"Oklahoma",56,70
"Oklahoma",56,64
"Oklahoma",39,68
"Oklahoma",76,NA
"Oklahoma",44,NA
"Oklahoma",49,61
"Oklahoma",43,72
"Oklahoma",22,48
"Oklahoma",27,95
"Oklahoma",49,76
"Oklahoma",36,71
"Oklahoma",47,71
"Oklahoma",NA,54
"Oklahoma",72,NA
"Oklahoma",68,67
"Oklahoma",36,79
"Oklahoma",68,81
"Oklahoma",NA,71
"Oklahoma",66,74
"Oklahoma",80,NA
"Oklahoma",30,64
"Oklahoma",46,45
"Oklahoma",59,75
"Oklahoma",62,81
"Oklahoma",26,NA
"Oklahoma",16,74
"Oklahoma",65,70
"Oklahoma",53,NA
"Oklahoma",59,59
"Oklahoma",39,94
"Oklahoma",51,NA
"Oklahoma",52,64
"Oklahoma",22,76
"Oklahoma",78,48
"Oklahoma",84,62
"Oklahoma",69,63
"Oklahoma",71,76
"Oklahoma",64,30
"Oklahoma",55,85
"Oklahoma",79,72
"Oklahoma",48,NA
"Oklahoma",68,NA
"Oklahoma",60,79
"Oklahoma",48,62
"Oklahoma",50,64
"Oklahoma",53,72
"Oklahoma",55,51
"Oklahoma",57,NA
"Oklahoma",47,NA
"Oklahoma",37,58
"Oklahoma",69,41
"Oklahoma",56,81
"Oklahoma",78,NA
"Oklahoma",57,52
"Oklahoma",NA,NA
"Oklahoma",44,NA
"Oklahoma",50,71
"Oklahoma",39,65
"Oklahoma",65,67
"Oklahoma",NA,84
"Oklahoma",58,69
"Oklahoma",41,85
"Oklahoma",57,47
"Oklahoma",52,NA
"Oklahoma",38,67
"Oklahoma",49,NA
"Oklahoma",47,74
"Oklahoma",66,NA
"Oklahoma",NA,45
"Oklahoma",58,62
"Oklahoma",59,64
"Oklahoma",63,62
"Oklahoma",41,75
"Oklahoma",72,86
"Oklahoma",50,NA
"Oklahoma",46,67
"Oklahoma",NA,NA
"Oklahoma",66,79
"Oklahoma",62,63
"Oklahoma",39,NA
"Oklahoma",69,73
"Oklahoma",66,57
"Oklahoma",74,50
"Oklahoma",37,NA
"Oklahoma",50,63
"Oklahoma",77,58
"Oklahoma",50,69
"Oklahoma",41,55
"Oklahoma",74,55
"Oklahoma",70,47
"Oklahoma",61,NA
"Oklahoma",61,89
"Oklahoma",46,69
"Oklahoma",42,69
"Oklahoma",NA,73
"Oklahoma",48,83
"Oklahoma",55,NA
"Oklahoma",51,41
"Oklahoma",33,87
"Oklahoma",59,NA
"Oklahoma",70,91
"Oklahoma",56,52
"Oklahoma",73,62
"Oklahoma",71,55
"Oklahoma",46,48
"Oklahoma",41,73
"Oklahoma",58,NA
"Oklahoma",NA,37
"Oklahoma",40,66
"Oklahoma",65,78
"Oklahoma",52,70
"Oklahoma",67,65
"Oklahoma",36,71
"Oklahoma",44,92
"Oklahoma",62,72
"Oklahoma",55,78
"Oklahoma",47,67
"Oklahoma",NA,NA
"Oklahoma",NA,86
"Oklahoma",61,55
"Oklahoma",42,41
"Oklahoma",58,65
"Oklahoma",32,95
"Oklahoma",NA,82
"Oklahoma",37,51
"Oklahoma",52,63
"Oklahoma",29,41
"Oklahoma",NA,69
"Oklahoma",53,65
"Oklahoma",48,NA
"Oklahoma",68,69
"Oklahoma",68,85
"Oklahoma",80,52
"Oklahoma",56,78
"Oklahoma",NA,84
"Oklahoma",41,75
"Oklahoma",48,NA
"Oklahoma",39,50
"Oklahoma",49,NA
"Oklahoma",69,NA
"Oklahoma",45,58
"Oklahoma",71,67
"Oklahoma",66,41
"Oklahoma",65,52
"Oklahoma",51,85
"Oklahoma",35,63
"Oklahoma",65,72
"Oklahoma",48,61
"Oklahoma",13,69
"Oklahoma",27,49
"Oklahoma",62,57
"Oklahoma",39,77
"Oklahoma",53,66
"Oklahoma",67,51
"Oklahoma",50,79
"Oklahoma",68,57
"Oklahoma",71,82
"Oklahoma",40,87
"Oklahoma",33,53
"Oklahoma",41,70
"Oklahoma",64,80
"Oklahoma",46,67
"Oklahoma",36,NA
"Oklahoma",43,48
"Oklahoma",31,81
"Oklahoma",51,63
"Oklahoma",33,NA
"Oklahoma",66,NA
"Oklahoma",61,73
"Oklahoma",65,NA
"Oklahoma",45,77
"Oklahoma",NA,46
"Oklahoma",61,NA
"Oklahoma",34,62
"Oklahoma",68,72
"Oklahoma",50,NA
"Oklahoma",NA,NA
"Oklahoma",45,63
"Oklahoma",61,83
"Oklahoma",80,59
"Oklahoma",47,65
"Oklahoma",22,66
"Oklahoma",83,67
"Oklahoma",41,64
"Oklahoma",75,45
"Oklahoma",NA,NA
"Oklahoma",57,43
"Oklahoma",46,81
"Oklahoma",30,91
"Oklahoma",46,53
"Oklahoma",40,NA
"Oklahoma",63,NA
"Oklahoma",85,63
