"state","pre","post"
"Oregon",60,60
"Oregon",57,68
"Oregon",60,63
"Oregon",52,87
"Oregon",32,84
"Oregon",63,81
"Oregon",46,92
"Oregon",69,60
"Oregon",58,85
"Oregon",56,90
"Oregon",50,NA
"Oregon",NA,58
"Oregon",47,62
"Oregon",45,NA
"Oregon",52,68
"Oregon",63,64
"Oregon",91,77
"Oregon",64,NA
"Oregon",58,54
"Oregon",74,85
"Oregon",61,66
"Oregon",67,81
"Oregon",71,55
"Oregon",59,73
"Oregon",29,NA
"Oregon",72,85
"Oregon",66,NA
"Oregon",53,73
"Oregon",87,64
"Oregon",43,NA
"Oregon",45,NA
"Oregon",NA,78
"Oregon",NA,NA
"Oregon",53,56
"Oregon",49,NA
"Oregon",32,NA
"Oregon",64,75
"Oregon",68,65
"Oregon",69,91
"Oregon",33,52
"Oregon",11,65
"Oregon",18,NA
"Oregon",58,NA
"Oregon",61,79
"Oregon",72,41
"Oregon",72,82
"Oregon",66,55
"Oregon",58,94
"Oregon",NA,72
"Oregon",46,69
"Oregon",59,84
"Oregon",64,49
"Oregon",53,76
"Oregon",52,74
"Oregon",31,64
"Oregon",23,84
"Oregon",28,94
"Oregon",47,80
"Oregon",36,77
"Oregon",56,66
"Oregon",41,77
"Oregon",40,68
"Oregon",97,86
"Oregon",50,NA
"Oregon",NA,78
"Oregon",45,NA
"Oregon",63,70
"Oregon",44,70
"Oregon",54,75
"Oregon",36,72
"Oregon",64,NA
"Oregon",63,57
"Oregon",42,NA
"Oregon",50,82
"Oregon",54,83
"Oregon",80,59
"Oregon",27,75
"Oregon",54,78
"Oregon",60,71
"Oregon",60,NA
"Oregon",42,48
"Oregon",NA,85
"Oregon",45,42
"Oregon",NA,NA
"Oregon",55,NA
"Oregon",57,68
"Oregon",64,71
"Oregon",35,74
"Oregon",53,NA
"Oregon",51,NA
"Oregon",52,69
"Oregon",66,63
"Oregon",54,73
"Oregon",62,76
"Oregon",NA,86
"Oregon",39,79
"Oregon",73,59
"Oregon",45,56
"Oregon",49,88
"Oregon",66,72
"Oregon",70,58
"Oregon",44,NA
"Oregon",59,68
"Oregon",43,64
"Oregon",33,90
"Oregon",39,74
"Oregon",39,46
"Oregon",62,NA
"Oregon",39,NA
"Oregon",62,67
"Oregon",29,72
"Oregon",NA,87
"Oregon",72,64
"Oregon",40,72
"Oregon",40,NA
"Oregon",68,NA
"Oregon",65,83
"Oregon",44,88
"Oregon",77,52
"Oregon",58,70
"Oregon",84,NA
"Oregon",55,NA
"Oregon",51,52
"Oregon",62,74
"Oregon",68,NA
"Oregon",60,83
"Oregon",51,58
"Oregon",NA,61
"Oregon",55,62
"Oregon",74,93
"Oregon",72,NA
"Oregon",43,71
"Oregon",62,67
"Oregon",NA,NA
"Oregon",42,72
"Oregon",68,86
"Oregon",47,NA
"Oregon",NA,87
"Oregon",63,NA
"Oregon",NA,78
"Oregon",NA,63
"Oregon",64,69
"Oregon",73,57
"Oregon",44,87
"Oregon",62,70
"Oregon",52,73
"Oregon",56,55
"Oregon",43,NA
"Oregon",66,61
"Oregon",53,72
"Oregon",58,76
"Oregon",51,81
"Oregon",68,74
"Oregon",62,84
"Oregon",77,84
"Oregon",33,74
"Oregon",52,NA
"Oregon",60,84
"Oregon",47,68
"Oregon",36,68
"Oregon",49,89
"Oregon",51,70
"Oregon",60,82
"Oregon",NA,NA
"Oregon",52,42
"Oregon",68,75
"Oregon",NA,NA
"Oregon",50,NA
"Oregon",54,71
"Oregon",46,80
"Oregon",21,80
"Oregon",60,NA
"Oregon",39,NA
"Oregon",66,96
"Oregon",52,66
"Oregon",44,68
"Oregon",63,56
"Oregon",78,62
"Oregon",70,100
"Oregon",47,NA
"Oregon",NA,58
"Oregon",33,78
"Oregon",49,75
"Oregon",47,83
"Oregon",9,84
"Oregon",71,77
"Oregon",15,NA
"Oregon",NA,97
"Oregon",63,79
"Oregon",41,54
"Oregon",51,75
"Oregon",73,99
"Oregon",48,64
"Oregon",45,76
"Oregon",33,70
"Oregon",41,NA
"Oregon",58,68
"Oregon",71,67
"Oregon",27,86
"Oregon",54,67
"Oregon",57,66
"Oregon",38,68
"Oregon",22,88
"Oregon",55,97
"Oregon",72,81
"Oregon",58,NA
"Oregon",76,67
"Oregon",38,NA
"Oregon",41,49
"Oregon",39,79
"Oregon",64,NA
"Oregon",67,88
"Oregon",70,82
"Oregon",50,NA
"Oregon",66,NA
"Oregon",55,76
"Oregon",49,72
"Oregon",63,96
"Oregon",NA,93
"Oregon",48,66
"Oregon",70,67
"Oregon",48,NA
"Oregon",44,73
"Oregon",30,78
"Oregon",62,47
"Oregon",32,69
"Oregon",39,69
"Oregon",58,76
"Oregon",41,66
"Oregon",67,81
"Oregon",51,59
"Oregon",NA,73
"Oregon",56,76
"Oregon",54,89
"Oregon",53,89
"Oregon",41,NA
"Oregon",31,90
"Oregon",70,NA
"Oregon",46,NA
"Oregon",67,85
"Oregon",45,75
"Oregon",71,57
"Oregon",32,NA
"Oregon",51,NA
"Oregon",65,70
"Oregon",71,65
"Oregon",51,66
"Oregon",40,74
"Oregon",41,NA
"Oregon",NA,88
"Oregon",NA,78
"Oregon",73,NA
"Oregon",35,NA
"Oregon",71,79
"Oregon",61,52
"Oregon",NA,76
"Oregon",25,76
"Oregon",58,73
"Oregon",71,39
"Oregon",67,96
"Oregon",66,71
"Oregon",51,69
"Oregon",74,86
"Oregon",44,60
"Oregon",60,59
"Oregon",74,NA
"Oregon",47,91
"Oregon",61,78
"Oregon",56,61
"Oregon",65,NA
"Oregon",52,64
"Oregon",53,51
"Oregon",72,60
"Oregon",59,77
"Oregon",70,52
"Oregon",53,71
"Oregon",69,54
"Oregon",63,82
"Oregon",39,68
"Oregon",55,58
"Oregon",NA,NA
"Oregon",57,93
"Oregon",58,86
"Oregon",55,60
"Oregon",47,59
"Oregon",31,96
"Oregon",32,78
"Oregon",46,NA
"Oregon",28,75
"Oregon",33,70
"Oregon",59,69
"Oregon",46,NA
"Oregon",34,75
"Oregon",44,64
"Oregon",46,74
"Oregon",48,73
"Oregon",58,81
"Oregon",60,64
"Oregon",49,69
"Oregon",39,50
"Oregon",15,71
"Oregon",42,76
"Oregon",68,80
"Oregon",NA,86
"Oregon",59,NA
"Oregon",93,76
"Oregon",NA,57
"Oregon",69,85
"Oregon",46,71
"Oregon",60,63
"Oregon",53,NA
"Oregon",58,NA
"Oregon",46,67
"Oregon",54,75
"Oregon",31,NA
"Oregon",70,90
"Oregon",32,75
"Oregon",38,59
"Oregon",64,68
"Oregon",48,NA
"Oregon",61,59
"Oregon",45,52
"Oregon",63,86
"Oregon",52,68
"Oregon",NA,NA
"Oregon",73,NA
"Oregon",57,77
"Oregon",44,77
"Oregon",62,58
"Oregon",56,81
"Oregon",67,85
"Oregon",44,66
"Oregon",65,49
"Oregon",15,71
"Oregon",58,63
"Oregon",31,NA
"Oregon",NA,71
"Oregon",NA,81
"Oregon",73,NA
"Oregon",22,70
"Oregon",37,96
"Oregon",57,53
"Oregon",83,78
"Oregon",54,61
"Oregon",70,63
"Oregon",77,NA
"Oregon",19,74
"Oregon",51,NA
"Oregon",49,74
"Oregon",48,80
"Oregon",51,82
"Oregon",60,72
"Oregon",30,50
"Oregon",36,NA
"Oregon",57,55
"Oregon",78,98
"Oregon",51,81
"Oregon",37,88
"Oregon",68,46
"Oregon",71,76
"Oregon",50,NA
"Oregon",48,NA
"Oregon",45,87
"Oregon",58,84
"Oregon",58,100
"Oregon",86,76
"Oregon",66,80
"Oregon",55,NA
"Oregon",62,86
"Oregon",NA,NA
"Oregon",49,87
"Oregon",79,71
"Oregon",54,58
"Oregon",65,85
"Oregon",67,NA
"Oregon",66,NA
"Oregon",52,88
"Oregon",49,83
"Oregon",51,97
"Oregon",63,60
"Oregon",NA,93
"Oregon",51,68
"Oregon",54,85
"Oregon",66,NA
"Oregon",58,84
"Oregon",57,72
"Oregon",NA,NA
"Oregon",58,78
"Oregon",51,93
"Oregon",NA,70
"Oregon",57,87
"Oregon",69,NA
"Oregon",NA,60
"Oregon",69,92
"Oregon",NA,80
"Oregon",63,61
"Oregon",68,48
"Oregon",31,76
"Oregon",43,82
"Oregon",59,45
"Oregon",33,NA
"Oregon",60,NA
"Oregon",31,79
"Oregon",67,62
"Oregon",75,NA
"Oregon",68,78
"Oregon",46,64
"Oregon",49,51
"Oregon",57,69
"Oregon",NA,66
"Oregon",61,70
"Oregon",73,54
"Oregon",70,82
"Oregon",68,54
"Oregon",75,NA
"Oregon",56,NA
"Oregon",86,99
"Oregon",52,65
"Oregon",49,88
"Oregon",58,NA
"Oregon",70,66
"Oregon",59,72
"Oregon",NA,73
"Oregon",38,68
"Oregon",67,80
"Oregon",47,86
"Oregon",51,71
"Oregon",54,84
"Oregon",NA,77
"Oregon",NA,73
"Oregon",59,61
"Oregon",63,86
"Oregon",58,68
"Oregon",56,NA
"Oregon",51,74
"Oregon",39,66
"Oregon",57,93
"Oregon",59,73
"Oregon",NA,78
"Oregon",NA,NA
"Oregon",60,59
"Oregon",59,75
"Oregon",NA,100
"Oregon",44,69
"Oregon",68,70
"Oregon",NA,74
"Oregon",22,81
"Oregon",63,90
"Oregon",42,87
"Oregon",39,97
"Oregon",49,75
"Oregon",38,NA
"Oregon",37,59
"Oregon",65,54
"Oregon",30,85
"Oregon",60,76
"Oregon",53,NA
"Oregon",NA,NA
"Oregon",57,73
"Oregon",NA,69
"Oregon",64,NA
"Oregon",55,71
"Oregon",58,NA
"Oregon",88,61
"Oregon",75,NA
"Oregon",66,89
"Oregon",62,73
"Oregon",41,NA
"Oregon",NA,78
"Oregon",51,100
"Oregon",68,82
"Oregon",56,67
"Oregon",60,71
"Oregon",48,78
"Oregon",57,63
"Oregon",42,60
"Oregon",68,NA
"Oregon",55,65
"Oregon",62,70
"Oregon",63,64
"Oregon",58,91
"Oregon",NA,68
"Oregon",84,49
"Oregon",NA,88
"Oregon",38,61
"Oregon",57,NA
"Oregon",45,58
"Oregon",54,53
"Oregon",38,79
"Oregon",55,81
"Oregon",71,NA
"Oregon",67,86
"Oregon",72,NA
"Oregon",54,59
"Oregon",72,63
"Oregon",54,67
"Oregon",32,NA
"Oregon",54,78
"Oregon",66,55
"Oregon",54,87
"Oregon",44,60
"Oregon",67,85
"Oregon",59,54
"Oregon",30,65
"Oregon",44,70
"Oregon",NA,97
"Oregon",46,61
"Oregon",NA,52
"Oregon",71,NA
"Oregon",56,74
"Oregon",55,75
"Oregon",34,NA
"Oregon",35,NA
"Oregon",47,63
"Oregon",55,NA
"Oregon",60,59
"Oregon",42,NA
"Oregon",77,71
"Oregon",64,63
"Oregon",42,73
"Oregon",53,75
"Oregon",43,45
"Oregon",60,41
"Oregon",67,67
"Oregon",52,95
"Oregon",75,NA
"Oregon",NA,NA
"Oregon",43,NA
"Oregon",NA,NA
"Oregon",38,91
"Oregon",27,96
"Oregon",NA,55
"Oregon",NA,68
"Oregon",53,59
"Oregon",35,NA
"Oregon",73,92
"Oregon",64,85
"Oregon",48,99
"Oregon",89,73
"Oregon",60,49
"Oregon",49,64
"Oregon",48,45
"Oregon",67,NA
"Oregon",76,60
"Oregon",50,77
"Oregon",62,98
"Oregon",NA,47
"Oregon",30,92
"Oregon",37,65
"Oregon",40,NA
"Oregon",23,NA
"Oregon",50,95
"Oregon",70,49
"Oregon",61,71
"Oregon",58,75
"Oregon",40,62
"Oregon",39,87
"Oregon",41,82
"Oregon",NA,87
"Oregon",36,NA
"Oregon",NA,79
"Oregon",18,NA
"Oregon",56,82
"Oregon",NA,NA
"Oregon",NA,40
"Oregon",49,81
"Oregon",55,42
"Oregon",66,NA
"Oregon",63,84
"Oregon",42,83
"Oregon",NA,89
"Oregon",NA,59
"Oregon",59,80
"Oregon",79,60
"Oregon",63,57
"Oregon",67,87
"Oregon",52,NA
"Oregon",61,74
"Oregon",35,71
"Oregon",71,90
"Oregon",57,89
"Oregon",NA,81
"Oregon",51,97
"Oregon",35,NA
"Oregon",41,75
"Oregon",68,99
"Oregon",30,84
"Oregon",29,85
"Oregon",32,93
"Oregon",57,56
"Oregon",65,65
"Oregon",51,69
"Oregon",64,92
"Oregon",54,78
"Oregon",NA,73
"Oregon",57,66
"Oregon",67,84
"Oregon",52,69
"Oregon",80,71
"Oregon",64,73
"Oregon",76,48
"Oregon",66,58
"Oregon",22,98
"Oregon",70,NA
"Oregon",56,77
"Oregon",30,61
"Oregon",29,52
"Oregon",35,NA
"Oregon",67,85
"Oregon",50,72
"Oregon",31,54
"Oregon",61,84
"Oregon",NA,48
"Oregon",38,51
"Oregon",62,37
"Oregon",69,76
"Oregon",NA,89
"Oregon",49,79
"Oregon",24,55
"Oregon",NA,53
"Oregon",49,69
"Oregon",61,65
"Oregon",61,72
"Oregon",39,NA
"Oregon",86,60
"Oregon",74,52
"Oregon",68,85
"Oregon",NA,70
"Oregon",77,78
"Oregon",43,42
"Oregon",62,88
"Oregon",54,70
"Oregon",40,63
"Oregon",59,NA
"Oregon",49,66
"Oregon",53,NA
"Oregon",39,99
"Oregon",59,74
"Oregon",37,NA
"Oregon",46,72
"Oregon",43,57
"Oregon",NA,73
"Oregon",NA,99
"Oregon",36,84
"Oregon",47,55
"Oregon",67,89
"Oregon",58,85
"Oregon",49,71
"Oregon",92,54
"Oregon",72,80
"Oregon",72,68
"Oregon",41,84
"Oregon",NA,45
"Oregon",58,66
"Oregon",40,NA
"Oregon",57,90
"Oregon",58,NA
"Oregon",55,74
"Oregon",55,58
"Oregon",71,82
"Oregon",44,76
"Oregon",42,68
"Oregon",31,66
"Oregon",56,59
"Oregon",38,NA
"Oregon",NA,84
"Oregon",58,91
"Oregon",36,84
"Oregon",63,75
"Oregon",84,67
"Oregon",38,62
"Oregon",82,NA
"Oregon",46,98
"Oregon",30,84
"Oregon",73,84
"Oregon",18,54
"Oregon",65,88
"Oregon",49,84
"Oregon",76,97
"Oregon",46,86
"Oregon",60,NA
"Oregon",76,NA
"Oregon",NA,53
"Oregon",48,85
"Oregon",23,44
"Oregon",54,82
"Oregon",NA,67
"Oregon",NA,82
"Oregon",44,88
"Oregon",63,56
"Oregon",62,73
"Oregon",59,22
"Oregon",70,NA
"Oregon",68,78
"Oregon",68,79
"Oregon",64,85
"Oregon",54,44
"Oregon",45,99
"Oregon",NA,78
"Oregon",72,61
"Oregon",36,89
"Oregon",36,NA
"Oregon",41,63
"Oregon",NA,61
"Oregon",54,NA
"Oregon",44,NA
"Oregon",52,54
"Oregon",NA,79
"Oregon",71,75
"Oregon",63,83
"Oregon",37,NA
"Oregon",76,87
"Oregon",56,NA
"Oregon",NA,80
"Oregon",52,NA
"Oregon",NA,57
"Oregon",68,70
"Oregon",52,NA
"Oregon",58,58
"Oregon",19,64
"Oregon",NA,81
"Oregon",51,85
"Oregon",NA,58
"Oregon",47,NA
"Oregon",73,50
"Oregon",65,76
"Oregon",42,56
"Oregon",18,68
"Oregon",48,80
"Oregon",49,47
"Oregon",48,67
"Oregon",22,61
"Oregon",47,82
"Oregon",NA,55
"Oregon",67,84
"Oregon",40,74
"Oregon",40,88
"Oregon",51,94
"Oregon",47,66
"Oregon",54,85
"Oregon",62,96
"Oregon",25,NA
"Oregon",62,68
"Oregon",60,62
"Oregon",61,NA
"Oregon",63,NA
"Oregon",28,NA
"Oregon",56,95
"Oregon",42,61
"Oregon",64,NA
"Oregon",26,71
"Oregon",NA,64
"Oregon",64,77
"Oregon",60,47
"Oregon",42,77
"Oregon",57,NA
"Oregon",24,68
"Oregon",55,62
"Oregon",53,79
"Oregon",56,60
"Oregon",NA,77
"Oregon",34,NA
"Oregon",32,96
"Oregon",75,78
"Oregon",33,75
"Oregon",40,80
"Oregon",33,77
"Oregon",40,52
"Oregon",13,82
"Oregon",55,NA
"Oregon",46,50
"Oregon",NA,50
"Oregon",25,NA
"Oregon",53,76
"Oregon",64,68
"Oregon",59,NA
"Oregon",NA,68
"Oregon",58,NA
"Oregon",38,64
"Oregon",84,NA
"Oregon",48,70
"Oregon",NA,NA
"Oregon",45,72
"Oregon",32,75
"Oregon",39,86
"Oregon",30,56
"Oregon",45,67
"Oregon",44,81
"Oregon",55,55
"Oregon",47,71
"Oregon",92,NA
"Oregon",58,66
"Oregon",48,51
"Oregon",NA,59
"Oregon",54,NA
"Oregon",57,63
"Oregon",33,49
"Oregon",50,93
"Oregon",65,86
"Oregon",59,69
"Oregon",62,47
"Oregon",24,91
"Oregon",57,NA
"Oregon",39,95
"Oregon",46,90
"Oregon",46,69
"Oregon",37,95
"Oregon",28,78
"Oregon",19,NA
"Oregon",60,64
"Oregon",28,63
"Oregon",23,67
"Oregon",51,54
"Oregon",49,82
"Oregon",30,64
"Oregon",40,63
"Oregon",43,63
"Oregon",85,88
"Oregon",23,68
"Oregon",49,87
"Oregon",37,NA
"Oregon",59,61
"Oregon",41,72
"Oregon",46,NA
"Oregon",78,96
"Oregon",NA,79
"Oregon",75,64
"Oregon",73,NA
"Oregon",35,50
"Oregon",58,44
"Oregon",48,NA
"Oregon",51,64
"Oregon",63,NA
"Oregon",34,82
"Oregon",47,65
"Oregon",44,81
"Oregon",48,NA
"Oregon",45,69
"Oregon",53,76
"Oregon",63,50
"Oregon",49,49
"Oregon",39,NA
"Oregon",NA,85
"Oregon",46,90
"Oregon",64,84
"Oregon",77,91
"Oregon",41,77
"Oregon",44,94
"Oregon",61,NA
"Oregon",29,59
"Oregon",48,63
"Oregon",NA,62
"Oregon",42,68
"Oregon",NA,76
"Oregon",22,69
"Oregon",NA,85
"Oregon",47,56
"Oregon",57,70
"Oregon",NA,80
"Oregon",66,NA
"Oregon",75,86
"Oregon",41,71
"Oregon",43,NA
"Oregon",46,54
"Oregon",57,76
"Oregon",54,30
"Oregon",45,65
"Oregon",NA,72
"Oregon",68,NA
"Oregon",71,NA
"Oregon",53,48
"Oregon",49,NA
"Oregon",36,NA
"Oregon",79,65
"Oregon",82,NA
"Oregon",47,63
"Oregon",42,72
"Oregon",51,NA
"Oregon",67,71
"Oregon",43,71
"Oregon",56,50
"Oregon",15,70
"Oregon",50,88
"Oregon",39,NA
"Oregon",33,84
"Oregon",32,68
"Oregon",41,90
"Oregon",83,81
"Oregon",34,64
"Oregon",65,74
"Oregon",48,78
"Oregon",68,81
"Oregon",75,NA
"Oregon",80,NA
"Oregon",53,79
"Oregon",59,89
"Oregon",81,80
"Oregon",46,62
"Oregon",61,98
"Oregon",69,94
"Oregon",51,75
"Oregon",30,76
"Oregon",42,52
"Oregon",42,99
"Oregon",58,66
"Oregon",36,54
"Oregon",51,61
"Oregon",54,NA
"Oregon",49,78
"Oregon",68,59
"Oregon",59,NA
"Oregon",66,97
"Oregon",78,87
"Oregon",35,56
"Oregon",43,62
"Oregon",34,80
"Oregon",58,71
"Oregon",78,56
"Oregon",23,64
"Oregon",55,77
"Oregon",48,89
"Oregon",49,97
"Oregon",NA,83
"Oregon",80,NA
"Oregon",50,75
"Oregon",40,57
"Oregon",66,81
"Oregon",NA,92
"Oregon",27,93
"Oregon",67,NA
"Oregon",56,86
"Oregon",51,50
"Oregon",55,NA
"Oregon",55,NA
"Oregon",51,66
"Oregon",35,NA
"Oregon",66,75
"Oregon",13,75
"Oregon",37,49
"Oregon",67,85
"Oregon",NA,67
"Oregon",40,91
"Oregon",NA,77
"Oregon",58,69
"Oregon",50,66
"Oregon",60,62
"Oregon",39,54
"Oregon",55,NA
