"state","pre","post"
"Pennsylvania",50,51
"Pennsylvania",54,NA
"Pennsylvania",49,32
"Pennsylvania",37,70
"Pennsylvania",79,66
"Pennsylvania",37,41
"Pennsylvania",47,35
"Pennsylvania",41,57
"Pennsylvania",NA,24
"Pennsylvania",39,37
"Pennsylvania",50,NA
"Pennsylvania",38,50
"Pennsylvania",46,51
"Pennsylvania",30,58
"Pennsylvania",27,55
"Pennsylvania",51,39
"Pennsylvania",27,42
"Pennsylvania",31,52
"Pennsylvania",17,64
"Pennsylvania",34,44
"Pennsylvania",36,46
"Pennsylvania",40,44
"Pennsylvania",43,54
"Pennsylvania",33,58
"Pennsylvania",35,44
"Pennsylvania",61,46
"Pennsylvania",65,24
"Pennsylvania",30,NA
"Pennsylvania",69,35
"Pennsylvania",51,42
"Pennsylvania",35,31
"Pennsylvania",43,53
"Pennsylvania",NA,56
"Pennsylvania",9,30
"Pennsylvania",28,NA
"Pennsylvania",NA,36
"Pennsylvania",68,75
"Pennsylvania",NA,58
"Pennsylvania",38,17
"Pennsylvania",65,NA
"Pennsylvania",37,31
"Pennsylvania",60,42
"Pennsylvania",45,NA
"Pennsylvania",43,40
"Pennsylvania",28,20
"Pennsylvania",35,37
"Pennsylvania",NA,51
"Pennsylvania",58,18
"Pennsylvania",45,34
"Pennsylvania",20,76
"Pennsylvania",26,41
"Pennsylvania",NA,31
"Pennsylvania",35,22
"Pennsylvania",NA,20
"Pennsylvania",35,39
"Pennsylvania",23,NA
"Pennsylvania",31,37
"Pennsylvania",39,45
"Pennsylvania",47,27
"Pennsylvania",25,46
"Pennsylvania",47,46
"Pennsylvania",55,45
"Pennsylvania",69,NA
"Pennsylvania",45,50
"Pennsylvania",45,NA
"Pennsylvania",NA,37
"Pennsylvania",25,44
"Pennsylvania",47,34
"Pennsylvania",32,28
"Pennsylvania",58,70
"Pennsylvania",NA,27
"Pennsylvania",36,NA
"Pennsylvania",51,58
"Pennsylvania",40,58
"Pennsylvania",NA,25
"Pennsylvania",57,16
"Pennsylvania",NA,31
"Pennsylvania",23,42
"Pennsylvania",55,41
"Pennsylvania",42,49
"Pennsylvania",25,14
"Pennsylvania",48,51
"Pennsylvania",43,26
"Pennsylvania",50,54
"Pennsylvania",55,43
"Pennsylvania",63,NA
"Pennsylvania",29,53
"Pennsylvania",25,34
"Pennsylvania",37,32
"Pennsylvania",48,25
"Pennsylvania",10,40
"Pennsylvania",31,43
"Pennsylvania",62,14
"Pennsylvania",51,58
"Pennsylvania",28,29
"Pennsylvania",41,NA
"Pennsylvania",45,22
"Pennsylvania",14,40
"Pennsylvania",21,NA
"Pennsylvania",34,50
"Pennsylvania",15,53
"Pennsylvania",58,28
"Pennsylvania",NA,65
"Pennsylvania",NA,12
"Pennsylvania",63,20
"Pennsylvania",54,30
"Pennsylvania",32,47
"Pennsylvania",48,53
"Pennsylvania",50,57
"Pennsylvania",39,18
"Pennsylvania",69,37
"Pennsylvania",NA,48
"Pennsylvania",35,42
"Pennsylvania",43,60
"Pennsylvania",19,45
"Pennsylvania",52,59
"Pennsylvania",62,44
"Pennsylvania",18,66
"Pennsylvania",NA,38
"Pennsylvania",60,44
"Pennsylvania",69,41
"Pennsylvania",56,35
"Pennsylvania",46,NA
"Pennsylvania",67,66
"Pennsylvania",NA,65
"Pennsylvania",36,39
"Pennsylvania",58,30
"Pennsylvania",25,15
"Pennsylvania",20,NA
"Pennsylvania",51,52
"Pennsylvania",47,37
"Pennsylvania",43,34
"Pennsylvania",55,51
"Pennsylvania",31,37
"Pennsylvania",25,31
"Pennsylvania",27,35
"Pennsylvania",53,59
"Pennsylvania",57,9
"Pennsylvania",45,64
"Pennsylvania",NA,42
"Pennsylvania",34,47
"Pennsylvania",49,62
"Pennsylvania",36,NA
"Pennsylvania",NA,34
"Pennsylvania",58,9
"Pennsylvania",35,58
"Pennsylvania",NA,NA
"Pennsylvania",54,52
"Pennsylvania",NA,56
"Pennsylvania",38,31
"Pennsylvania",43,60
"Pennsylvania",30,38
"Pennsylvania",24,12
"Pennsylvania",44,26
"Pennsylvania",56,41
"Pennsylvania",12,26
"Pennsylvania",30,NA
"Pennsylvania",50,72
"Pennsylvania",NA,48
"Pennsylvania",36,37
"Pennsylvania",26,32
"Pennsylvania",31,39
"Pennsylvania",49,29
"Pennsylvania",41,51
"Pennsylvania",42,NA
"Pennsylvania",16,33
"Pennsylvania",45,3
"Pennsylvania",35,40
"Pennsylvania",51,43
"Pennsylvania",36,NA
"Pennsylvania",36,54
"Pennsylvania",NA,42
"Pennsylvania",57,35
"Pennsylvania",NA,52
"Pennsylvania",24,17
"Pennsylvania",32,40
"Pennsylvania",49,42
"Pennsylvania",50,23
"Pennsylvania",35,56
"Pennsylvania",34,29
"Pennsylvania",40,34
"Pennsylvania",72,45
"Pennsylvania",57,40
"Pennsylvania",38,32
"Pennsylvania",52,31
"Pennsylvania",72,59
"Pennsylvania",NA,55
"Pennsylvania",51,51
"Pennsylvania",48,39
"Pennsylvania",NA,23
"Pennsylvania",38,51
"Pennsylvania",40,49
"Pennsylvania",42,57
"Pennsylvania",NA,33
"Pennsylvania",57,44
"Pennsylvania",24,44
"Pennsylvania",40,56
"Pennsylvania",59,39
"Pennsylvania",29,25
"Pennsylvania",43,13
"Pennsylvania",21,81
"Pennsylvania",21,54
"Pennsylvania",17,33
"Pennsylvania",50,68
"Pennsylvania",69,43
"Pennsylvania",NA,71
"Pennsylvania",26,NA
"Pennsylvania",NA,59
"Pennsylvania",44,38
"Pennsylvania",45,29
"Pennsylvania",37,53
"Pennsylvania",10,32
"Pennsylvania",45,50
"Pennsylvania",64,52
"Pennsylvania",32,NA
"Pennsylvania",68,87
"Pennsylvania",10,24
"Pennsylvania",26,41
"Pennsylvania",46,NA
"Pennsylvania",47,NA
"Pennsylvania",51,32
"Pennsylvania",36,50
"Pennsylvania",43,36
"Pennsylvania",27,40
"Pennsylvania",50,NA
"Pennsylvania",41,33
"Pennsylvania",34,37
"Pennsylvania",49,63
"Pennsylvania",31,40
"Pennsylvania",44,69
"Pennsylvania",43,39
"Pennsylvania",45,NA
"Pennsylvania",35,36
"Pennsylvania",61,57
"Pennsylvania",47,49
"Pennsylvania",46,51
"Pennsylvania",NA,45
"Pennsylvania",40,53
"Pennsylvania",56,NA
"Pennsylvania",44,28
"Pennsylvania",NA,NA
"Pennsylvania",34,27
"Pennsylvania",28,36
"Pennsylvania",66,45
"Pennsylvania",41,51
"Pennsylvania",32,40
"Pennsylvania",45,26
"Pennsylvania",52,28
"Pennsylvania",37,54
