"state","pre","post"
"Rhode Island",45,73
"Rhode Island",44,NA
"Rhode Island",34,36
"Rhode Island",58,45
"Rhode Island",47,37
"Rhode Island",NA,NA
"Rhode Island",49,69
"Rhode Island",59,32
"Rhode Island",50,33
"Rhode Island",68,30
"Rhode Island",41,68
"Rhode Island",55,49
"Rhode Island",35,53
"Rhode Island",NA,NA
"Rhode Island",34,45
"Rhode Island",NA,61
"Rhode Island",69,81
"Rhode Island",38,59
"Rhode Island",26,79
"Rhode Island",65,NA
"Rhode Island",56,57
"Rhode Island",33,16
"Rhode Island",58,37
"Rhode Island",62,31
"Rhode Island",35,71
"Rhode Island",32,50
"Rhode Island",49,53
"Rhode Island",62,41
"Rhode Island",50,35
"Rhode Island",26,43
"Rhode Island",38,NA
"Rhode Island",54,78
"Rhode Island",37,26
"Rhode Island",35,63
"Rhode Island",34,60
"Rhode Island",38,NA
"Rhode Island",NA,52
"Rhode Island",53,39
"Rhode Island",40,45
"Rhode Island",NA,NA
"Rhode Island",26,34
"Rhode Island",46,65
"Rhode Island",31,75
"Rhode Island",48,53
"Rhode Island",46,39
"Rhode Island",24,NA
"Rhode Island",51,60
"Rhode Island",52,52
"Rhode Island",48,53
"Rhode Island",56,16
"Rhode Island",71,73
"Rhode Island",35,60
"Rhode Island",NA,NA
"Rhode Island",70,52
"Rhode Island",50,44
"Rhode Island",42,64
"Rhode Island",65,72
"Rhode Island",29,52
"Rhode Island",46,34
"Rhode Island",28,25
"Rhode Island",37,56
"Rhode Island",50,43
"Rhode Island",54,59
"Rhode Island",57,43
"Rhode Island",44,38
"Rhode Island",29,36
"Rhode Island",54,53
"Rhode Island",57,46
"Rhode Island",47,51
"Rhode Island",51,71
"Rhode Island",64,50
"Rhode Island",41,59
"Rhode Island",36,60
"Rhode Island",50,30
"Rhode Island",NA,61
"Rhode Island",58,41
"Rhode Island",21,NA
"Rhode Island",76,NA
"Rhode Island",52,64
"Rhode Island",50,71
"Rhode Island",34,67
"Rhode Island",48,36
"Rhode Island",46,47
"Rhode Island",59,44
"Rhode Island",37,41
"Rhode Island",67,36
"Rhode Island",49,66
"Rhode Island",51,31
"Rhode Island",NA,43
"Rhode Island",59,36
"Rhode Island",72,NA
"Rhode Island",58,45
"Rhode Island",30,79
"Rhode Island",48,60
"Rhode Island",47,NA
"Rhode Island",70,44
"Rhode Island",53,NA
"Rhode Island",49,58
"Rhode Island",NA,52
"Rhode Island",45,40
"Rhode Island",52,65
"Rhode Island",NA,21
"Rhode Island",35,72
"Rhode Island",82,33
"Rhode Island",51,NA
"Rhode Island",43,61
"Rhode Island",37,65
"Rhode Island",NA,41
"Rhode Island",49,42
"Rhode Island",56,NA
"Rhode Island",17,29
"Rhode Island",64,NA
"Rhode Island",63,50
"Rhode Island",43,65
"Rhode Island",63,26
"Rhode Island",60,48
"Rhode Island",52,42
"Rhode Island",38,68
"Rhode Island",46,NA
"Rhode Island",46,57
"Rhode Island",54,49
"Rhode Island",31,38
"Rhode Island",24,NA
"Rhode Island",56,59
"Rhode Island",40,67
"Rhode Island",53,76
"Rhode Island",14,58
"Rhode Island",45,33
"Rhode Island",57,72
"Rhode Island",63,38
"Rhode Island",68,51
"Rhode Island",55,64
"Rhode Island",55,45
"Rhode Island",NA,49
"Rhode Island",40,64
"Rhode Island",35,41
"Rhode Island",70,62
"Rhode Island",63,41
"Rhode Island",28,50
"Rhode Island",52,NA
"Rhode Island",52,54
"Rhode Island",63,72
"Rhode Island",71,35
"Rhode Island",70,62
"Rhode Island",39,65
"Rhode Island",45,61
"Rhode Island",45,63
"Rhode Island",70,40
"Rhode Island",46,43
"Rhode Island",55,NA
"Rhode Island",64,46
"Rhode Island",31,39
"Rhode Island",52,33
"Rhode Island",49,34
"Rhode Island",31,52
"Rhode Island",78,NA
"Rhode Island",29,NA
"Rhode Island",67,63
"Rhode Island",53,55
"Rhode Island",47,31
"Rhode Island",63,48
"Rhode Island",62,58
"Rhode Island",58,37
"Rhode Island",64,40
"Rhode Island",34,77
"Rhode Island",65,NA
"Rhode Island",58,77
"Rhode Island",78,68
"Rhode Island",41,34
"Rhode Island",34,45
"Rhode Island",39,44
"Rhode Island",38,61
"Rhode Island",60,36
"Rhode Island",29,55
"Rhode Island",71,66
"Rhode Island",59,46
"Rhode Island",40,34
"Rhode Island",47,75
"Rhode Island",33,39
"Rhode Island",35,67
"Rhode Island",17,65
"Rhode Island",55,56
"Rhode Island",58,46
"Rhode Island",39,58
"Rhode Island",58,87
"Rhode Island",59,61
"Rhode Island",NA,NA
"Rhode Island",59,58
"Rhode Island",78,45
"Rhode Island",42,43
