"state","pre","post"
"South Carolina",42,NA
"South Carolina",47,63
"South Carolina",19,70
"South Carolina",26,55
"South Carolina",56,NA
"South Carolina",NA,29
"South Carolina",44,NA
"South Carolina",12,54
"South Carolina",41,73
"South Carolina",NA,75
"South Carolina",58,43
"South Carolina",33,59
"South Carolina",45,73
"South Carolina",46,NA
"South Carolina",35,52
"South Carolina",39,54
"South Carolina",15,70
"South Carolina",52,46
"South Carolina",NA,64
"South Carolina",57,62
"South Carolina",50,53
"South Carolina",40,53
"South Carolina",64,92
"South Carolina",49,46
"South Carolina",44,44
"South Carolina",17,62
"South Carolina",25,63
"South Carolina",37,60
"South Carolina",41,61
"South Carolina",NA,39
"South Carolina",65,42
"South Carolina",43,NA
"South Carolina",41,64
"South Carolina",28,68
"South Carolina",26,63
"South Carolina",30,68
"South Carolina",15,40
"South Carolina",31,44
"South Carolina",38,NA
"South Carolina",34,50
"South Carolina",39,53
"South Carolina",NA,28
"South Carolina",36,56
"South Carolina",37,44
"South Carolina",45,NA
"South Carolina",51,NA
"South Carolina",37,71
"South Carolina",NA,66
"South Carolina",27,72
"South Carolina",33,70
"South Carolina",42,NA
"South Carolina",59,56
"South Carolina",39,84
"South Carolina",60,41
"South Carolina",NA,65
"South Carolina",33,45
"South Carolina",50,58
"South Carolina",34,41
"South Carolina",65,NA
"South Carolina",NA,35
"South Carolina",46,48
"South Carolina",27,NA
"South Carolina",26,NA
"South Carolina",31,73
"South Carolina",51,NA
"South Carolina",NA,50
"South Carolina",50,68
"South Carolina",37,NA
"South Carolina",53,66
"South Carolina",18,40
"South Carolina",48,NA
"South Carolina",30,72
"South Carolina",44,100
"South Carolina",40,45
"South Carolina",47,46
"South Carolina",33,46
"South Carolina",23,NA
"South Carolina",33,61
"South Carolina",32,63
"South Carolina",37,69
"South Carolina",NA,40
"South Carolina",74,NA
"South Carolina",10,NA
"South Carolina",21,78
"South Carolina",36,36
"South Carolina",NA,46
"South Carolina",37,50
"South Carolina",15,NA
"South Carolina",36,39
"South Carolina",11,73
"South Carolina",57,NA
"South Carolina",66,40
"South Carolina",59,66
"South Carolina",54,49
"South Carolina",33,NA
"South Carolina",38,NA
"South Carolina",56,81
"South Carolina",51,79
"South Carolina",53,64
"South Carolina",41,NA
"South Carolina",24,62
"South Carolina",49,49
"South Carolina",65,NA
"South Carolina",41,78
"South Carolina",44,NA
"South Carolina",43,60
"South Carolina",18,64
"South Carolina",33,NA
"South Carolina",NA,40
"South Carolina",41,NA
"South Carolina",66,59
"South Carolina",24,79
"South Carolina",84,NA
"South Carolina",NA,78
"South Carolina",39,NA
"South Carolina",39,55
"South Carolina",NA,77
"South Carolina",25,NA
"South Carolina",26,41
"South Carolina",27,NA
"South Carolina",15,73
"South Carolina",28,NA
"South Carolina",57,43
"South Carolina",36,39
"South Carolina",55,81
"South Carolina",56,65
"South Carolina",31,61
"South Carolina",41,NA
"South Carolina",39,75
"South Carolina",NA,88
"South Carolina",47,NA
"South Carolina",68,81
"South Carolina",74,NA
"South Carolina",NA,97
"South Carolina",NA,NA
"South Carolina",NA,61
"South Carolina",24,NA
"South Carolina",43,NA
"South Carolina",34,NA
"South Carolina",45,76
"South Carolina",17,27
"South Carolina",25,49
"South Carolina",NA,NA
"South Carolina",46,50
"South Carolina",50,73
"South Carolina",NA,70
"South Carolina",31,NA
"South Carolina",62,70
"South Carolina",40,42
"South Carolina",39,53
"South Carolina",57,82
"South Carolina",60,63
"South Carolina",NA,68
"South Carolina",29,83
"South Carolina",4,68
"South Carolina",43,70
"South Carolina",46,58
"South Carolina",12,64
"South Carolina",74,NA
"South Carolina",42,NA
"South Carolina",71,NA
"South Carolina",56,41
"South Carolina",NA,77
"South Carolina",NA,42
"South Carolina",32,79
"South Carolina",31,97
"South Carolina",37,38
"South Carolina",19,74
"South Carolina",59,66
"South Carolina",NA,65
"South Carolina",38,63
"South Carolina",24,63
"South Carolina",28,51
"South Carolina",47,56
"South Carolina",32,73
"South Carolina",49,72
"South Carolina",NA,71
"South Carolina",48,74
"South Carolina",NA,73
"South Carolina",38,53
"South Carolina",45,45
"South Carolina",34,63
"South Carolina",71,43
"South Carolina",32,NA
"South Carolina",NA,64
"South Carolina",41,54
"South Carolina",65,94
"South Carolina",48,72
"South Carolina",33,NA
"South Carolina",15,65
"South Carolina",65,43
"South Carolina",77,NA
"South Carolina",38,71
"South Carolina",54,54
"South Carolina",31,74
"South Carolina",22,51
"South Carolina",53,NA
"South Carolina",18,74
"South Carolina",44,50
"South Carolina",61,NA
"South Carolina",34,70
"South Carolina",20,99
"South Carolina",36,69
"South Carolina",76,66
"South Carolina",39,63
"South Carolina",55,43
"South Carolina",53,52
"South Carolina",29,95
"South Carolina",24,32
"South Carolina",60,40
"South Carolina",52,59
"South Carolina",34,74
"South Carolina",60,61
"South Carolina",28,85
"South Carolina",21,64
"South Carolina",22,41
"South Carolina",40,NA
"South Carolina",NA,56
"South Carolina",29,61
"South Carolina",51,50
"South Carolina",61,75
"South Carolina",41,NA
"South Carolina",45,71
"South Carolina",52,44
"South Carolina",50,NA
"South Carolina",46,NA
"South Carolina",30,46
"South Carolina",NA,NA
"South Carolina",58,61
"South Carolina",49,35
"South Carolina",57,68
"South Carolina",35,49
"South Carolina",37,80
"South Carolina",45,NA
"South Carolina",40,68
"South Carolina",28,NA
"South Carolina",30,34
"South Carolina",68,NA
"South Carolina",35,61
"South Carolina",46,71
"South Carolina",66,55
"South Carolina",52,72
"South Carolina",35,70
"South Carolina",NA,59
"South Carolina",20,57
"South Carolina",27,16
"South Carolina",39,66
"South Carolina",52,47
"South Carolina",53,NA
"South Carolina",48,74
"South Carolina",NA,65
"South Carolina",41,58
"South Carolina",NA,56
"South Carolina",36,45
"South Carolina",39,66
"South Carolina",31,NA
"South Carolina",33,71
"South Carolina",42,NA
"South Carolina",68,53
"South Carolina",NA,38
"South Carolina",14,36
"South Carolina",32,37
"South Carolina",55,70
"South Carolina",53,71
"South Carolina",62,40
"South Carolina",NA,62
"South Carolina",NA,32
"South Carolina",47,NA
"South Carolina",34,77
"South Carolina",32,47
"South Carolina",NA,79
"South Carolina",19,72
"South Carolina",44,77
"South Carolina",39,49
"South Carolina",52,74
"South Carolina",21,42
"South Carolina",52,53
"South Carolina",46,NA
"South Carolina",18,54
"South Carolina",42,80
"South Carolina",20,49
"South Carolina",62,48
"South Carolina",49,34
"South Carolina",42,85
"South Carolina",27,61
"South Carolina",18,67
"South Carolina",51,66
"South Carolina",4,60
"South Carolina",NA,NA
"South Carolina",60,71
"South Carolina",48,46
"South Carolina",62,36
"South Carolina",14,36
"South Carolina",67,73
"South Carolina",38,38
"South Carolina",46,72
"South Carolina",53,NA
"South Carolina",26,55
"South Carolina",43,64
"South Carolina",NA,49
"South Carolina",45,76
"South Carolina",42,NA
"South Carolina",33,NA
"South Carolina",43,68
"South Carolina",33,64
"South Carolina",NA,NA
"South Carolina",45,63
"South Carolina",32,53
"South Carolina",NA,38
"South Carolina",39,76
"South Carolina",72,NA
"South Carolina",59,67
"South Carolina",41,69
"South Carolina",41,56
"South Carolina",38,64
"South Carolina",NA,48
"South Carolina",40,43
"South Carolina",66,55
"South Carolina",18,51
"South Carolina",34,48
"South Carolina",28,82
"South Carolina",43,65
"South Carolina",45,76
"South Carolina",28,48
"South Carolina",NA,NA
"South Carolina",46,58
"South Carolina",27,68
"South Carolina",43,64
"South Carolina",25,57
"South Carolina",36,NA
"South Carolina",52,82
"South Carolina",53,23
"South Carolina",41,84
"South Carolina",51,71
"South Carolina",48,77
"South Carolina",23,69
"South Carolina",48,NA
"South Carolina",39,67
"South Carolina",39,47
"South Carolina",50,62
"South Carolina",47,NA
"South Carolina",NA,59
"South Carolina",51,57
"South Carolina",58,53
"South Carolina",44,60
"South Carolina",43,61
"South Carolina",14,50
"South Carolina",43,42
"South Carolina",12,44
"South Carolina",11,55
"South Carolina",42,71
"South Carolina",23,NA
"South Carolina",NA,NA
"South Carolina",30,73
"South Carolina",42,78
"South Carolina",52,NA
"South Carolina",11,66
"South Carolina",49,65
"South Carolina",37,58
"South Carolina",36,77
"South Carolina",17,32
"South Carolina",49,71
"South Carolina",NA,59
"South Carolina",62,NA
"South Carolina",29,55
"South Carolina",38,54
"South Carolina",30,51
"South Carolina",51,72
