"state","pre","post"
"South Dakota",46,88
"South Dakota",61,62
"South Dakota",73,71
"South Dakota",65,87
"South Dakota",71,47
"South Dakota",89,84
"South Dakota",46,55
"South Dakota",68,58
"South Dakota",39,67
"South Dakota",54,50
"South Dakota",81,62
"South Dakota",74,73
"South Dakota",67,61
"South Dakota",52,NA
"South Dakota",43,NA
"South Dakota",39,70
"South Dakota",51,88
"South Dakota",49,41
"South Dakota",50,59
"South Dakota",66,NA
"South Dakota",97,61
"South Dakota",64,75
"South Dakota",67,93
"South Dakota",58,83
"South Dakota",79,43
"South Dakota",64,49
"South Dakota",43,99
"South Dakota",29,75
"South Dakota",33,53
"South Dakota",92,89
"South Dakota",62,88
"South Dakota",49,71
"South Dakota",63,79
"South Dakota",83,NA
"South Dakota",55,66
"South Dakota",NA,92
"South Dakota",88,71
"South Dakota",59,NA
"South Dakota",63,NA
"South Dakota",69,71
"South Dakota",72,51
"South Dakota",65,69
"South Dakota",47,66
"South Dakota",90,77
"South Dakota",69,NA
"South Dakota",61,68
"South Dakota",57,50
"South Dakota",74,60
"South Dakota",64,79
"South Dakota",97,83
"South Dakota",61,47
"South Dakota",69,NA
"South Dakota",37,NA
"South Dakota",66,80
"South Dakota",55,56
"South Dakota",63,50
"South Dakota",49,67
"South Dakota",65,61
"South Dakota",44,77
"South Dakota",96,94
"South Dakota",66,69
"South Dakota",60,88
"South Dakota",76,86
"South Dakota",40,NA
"South Dakota",83,90
"South Dakota",65,53
"South Dakota",69,NA
"South Dakota",78,74
"South Dakota",76,81
"South Dakota",83,77
"South Dakota",72,57
"South Dakota",64,65
"South Dakota",99,66
"South Dakota",39,49
"South Dakota",56,62
"South Dakota",43,81
"South Dakota",NA,NA
"South Dakota",39,69
"South Dakota",NA,NA
"South Dakota",65,NA
"South Dakota",46,74
"South Dakota",63,NA
"South Dakota",84,83
"South Dakota",55,81
"South Dakota",58,72
"South Dakota",62,70
"South Dakota",45,NA
"South Dakota",39,91
"South Dakota",NA,NA
"South Dakota",85,NA
"South Dakota",69,88
"South Dakota",51,68
"South Dakota",39,70
"South Dakota",50,67
"South Dakota",55,NA
"South Dakota",51,89
"South Dakota",NA,63
"South Dakota",33,92
"South Dakota",60,64
"South Dakota",67,69
"South Dakota",72,64
"South Dakota",81,87
"South Dakota",56,80
"South Dakota",60,69
"South Dakota",48,44
"South Dakota",52,57
"South Dakota",91,89
"South Dakota",75,88
"South Dakota",54,45
"South Dakota",42,NA
"South Dakota",43,NA
"South Dakota",55,56
"South Dakota",48,77
"South Dakota",79,99
"South Dakota",72,60
"South Dakota",NA,86
"South Dakota",43,NA
"South Dakota",79,60
"South Dakota",57,74
"South Dakota",61,82
"South Dakota",68,85
"South Dakota",50,84
"South Dakota",59,76
"South Dakota",70,68
"South Dakota",67,83
"South Dakota",59,79
"South Dakota",50,70
"South Dakota",80,90
"South Dakota",56,75
"South Dakota",NA,52
"South Dakota",81,64
"South Dakota",51,79
"South Dakota",63,86
"South Dakota",64,53
"South Dakota",56,NA
"South Dakota",62,77
"South Dakota",50,81
"South Dakota",39,58
"South Dakota",70,64
"South Dakota",47,69
"South Dakota",77,88
"South Dakota",49,81
"South Dakota",66,84
"South Dakota",76,76
"South Dakota",34,88
"South Dakota",33,73
"South Dakota",32,64
"South Dakota",64,NA
"South Dakota",44,66
"South Dakota",51,NA
"South Dakota",72,NA
"South Dakota",42,59
"South Dakota",62,NA
"South Dakota",53,NA
"South Dakota",54,64
"South Dakota",83,61
"South Dakota",36,50
"South Dakota",75,71
"South Dakota",54,78
"South Dakota",59,NA
"South Dakota",68,71
"South Dakota",52,59
"South Dakota",87,NA
"South Dakota",53,70
"South Dakota",72,NA
"South Dakota",37,73
"South Dakota",60,73
"South Dakota",90,NA
"South Dakota",42,61
"South Dakota",79,79
"South Dakota",49,NA
"South Dakota",79,63
"South Dakota",64,NA
"South Dakota",65,49
"South Dakota",43,48
"South Dakota",49,46
"South Dakota",80,71
"South Dakota",51,34
"South Dakota",74,77
"South Dakota",69,77
"South Dakota",NA,58
"South Dakota",55,89
"South Dakota",49,NA
"South Dakota",60,NA
"South Dakota",60,73
"South Dakota",59,98
"South Dakota",60,71
