"state","pre","post"
"Tennessee",59,61
"Tennessee",32,NA
"Tennessee",75,NA
"Tennessee",45,79
"Tennessee",42,87
"Tennessee",48,66
"Tennessee",35,86
"Tennessee",69,64
"Tennessee",61,77
"Tennessee",58,87
"Tennessee",59,67
"Tennessee",40,89
"Tennessee",67,NA
"Tennessee",NA,62
"Tennessee",23,NA
"Tennessee",52,73
"Tennessee",NA,80
"Tennessee",71,NA
"Tennessee",53,80
"Tennessee",NA,90
"Tennessee",59,NA
"Tennessee",43,NA
"Tennessee",80,63
"Tennessee",55,84
"Tennessee",39,76
"Tennessee",72,84
"Tennessee",55,85
"Tennessee",70,NA
"Tennessee",43,88
"Tennessee",23,76
"Tennessee",51,69
"Tennessee",54,43
"Tennessee",53,74
"Tennessee",13,NA
"Tennessee",27,73
"Tennessee",28,92
"Tennessee",40,NA
"Tennessee",58,79
"Tennessee",55,55
"Tennessee",51,80
"Tennessee",37,NA
"Tennessee",66,82
"Tennessee",72,60
"Tennessee",58,NA
"Tennessee",43,82
"Tennessee",58,92
"Tennessee",50,67
"Tennessee",58,82
"Tennessee",55,59
"Tennessee",49,NA
"Tennessee",33,89
"Tennessee",64,87
"Tennessee",31,50
"Tennessee",43,90
"Tennessee",61,58
"Tennessee",30,67
"Tennessee",60,59
"Tennessee",68,74
"Tennessee",54,74
"Tennessee",40,NA
"Tennessee",53,NA
"Tennessee",63,NA
"Tennessee",38,99
"Tennessee",39,58
"Tennessee",46,95
"Tennessee",60,NA
"Tennessee",49,NA
"Tennessee",74,81
"Tennessee",43,79
"Tennessee",80,38
"Tennessee",NA,91
"Tennessee",38,77
"Tennessee",NA,81
"Tennessee",66,NA
"Tennessee",NA,98
"Tennessee",30,NA
"Tennessee",30,NA
"Tennessee",61,74
"Tennessee",63,82
"Tennessee",59,68
"Tennessee",52,71
"Tennessee",42,75
"Tennessee",31,NA
"Tennessee",69,75
"Tennessee",40,82
"Tennessee",50,88
"Tennessee",48,61
"Tennessee",NA,81
"Tennessee",41,NA
"Tennessee",37,78
"Tennessee",46,76
"Tennessee",35,51
"Tennessee",55,88
"Tennessee",57,NA
"Tennessee",29,75
"Tennessee",74,70
"Tennessee",21,NA
"Tennessee",50,82
"Tennessee",35,66
"Tennessee",29,NA
"Tennessee",48,76
"Tennessee",53,50
"Tennessee",63,NA
"Tennessee",52,NA
"Tennessee",50,58
"Tennessee",39,55
"Tennessee",57,86
"Tennessee",27,100
"Tennessee",NA,NA
"Tennessee",44,50
"Tennessee",73,87
"Tennessee",37,NA
"Tennessee",38,76
"Tennessee",85,82
"Tennessee",46,NA
"Tennessee",80,57
"Tennessee",51,81
"Tennessee",74,75
"Tennessee",51,43
"Tennessee",49,83
"Tennessee",42,61
"Tennessee",66,91
"Tennessee",66,94
"Tennessee",59,NA
"Tennessee",46,62
"Tennessee",51,NA
"Tennessee",47,64
"Tennessee",69,77
"Tennessee",NA,NA
"Tennessee",47,64
"Tennessee",42,81
"Tennessee",47,69
"Tennessee",74,83
"Tennessee",44,99
"Tennessee",30,54
"Tennessee",50,62
"Tennessee",52,92
"Tennessee",51,65
"Tennessee",61,56
"Tennessee",29,85
"Tennessee",66,89
"Tennessee",58,NA
"Tennessee",30,NA
"Tennessee",42,78
"Tennessee",37,71
"Tennessee",53,88
"Tennessee",39,81
"Tennessee",NA,NA
"Tennessee",51,87
"Tennessee",43,80
"Tennessee",73,73
"Tennessee",64,68
"Tennessee",41,68
"Tennessee",42,73
"Tennessee",52,71
"Tennessee",48,50
"Tennessee",60,72
"Tennessee",53,91
"Tennessee",NA,77
"Tennessee",45,95
"Tennessee",67,NA
"Tennessee",NA,61
"Tennessee",31,59
"Tennessee",51,63
"Tennessee",53,NA
"Tennessee",38,80
"Tennessee",67,81
"Tennessee",67,57
"Tennessee",56,62
"Tennessee",62,NA
"Tennessee",56,NA
"Tennessee",64,100
"Tennessee",65,57
"Tennessee",28,42
"Tennessee",37,NA
"Tennessee",41,64
"Tennessee",50,82
"Tennessee",62,73
"Tennessee",78,69
"Tennessee",47,NA
"Tennessee",45,NA
"Tennessee",65,71
"Tennessee",57,88
"Tennessee",45,97
"Tennessee",58,79
"Tennessee",45,70
"Tennessee",23,59
"Tennessee",52,NA
"Tennessee",62,96
"Tennessee",94,74
"Tennessee",34,69
"Tennessee",NA,72
"Tennessee",61,NA
"Tennessee",51,70
"Tennessee",39,NA
"Tennessee",59,90
"Tennessee",24,80
"Tennessee",55,88
"Tennessee",NA,60
"Tennessee",NA,80
"Tennessee",63,83
"Tennessee",43,63
"Tennessee",49,NA
"Tennessee",30,87
"Tennessee",18,72
"Tennessee",60,NA
"Tennessee",60,NA
"Tennessee",47,82
"Tennessee",35,91
"Tennessee",64,60
"Tennessee",43,99
"Tennessee",64,82
"Tennessee",31,56
"Tennessee",51,49
"Tennessee",NA,69
"Tennessee",84,76
"Tennessee",49,82
"Tennessee",31,69
"Tennessee",43,NA
"Tennessee",55,73
"Tennessee",30,43
"Tennessee",53,57
"Tennessee",46,88
"Tennessee",32,70
"Tennessee",74,70
"Tennessee",74,91
"Tennessee",50,73
"Tennessee",74,72
"Tennessee",76,NA
"Tennessee",42,74
"Tennessee",50,58
"Tennessee",49,91
"Tennessee",38,70
"Tennessee",54,NA
"Tennessee",49,93
"Tennessee",20,54
"Tennessee",58,66
"Tennessee",48,82
"Tennessee",28,93
"Tennessee",63,68
"Tennessee",49,NA
"Tennessee",38,92
"Tennessee",60,87
"Tennessee",46,NA
"Tennessee",46,68
"Tennessee",53,79
"Tennessee",38,69
"Tennessee",77,78
"Tennessee",42,69
"Tennessee",58,NA
"Tennessee",56,83
"Tennessee",18,56
"Tennessee",56,72
"Tennessee",58,64
"Tennessee",49,76
"Tennessee",49,89
"Tennessee",56,61
"Tennessee",55,82
"Tennessee",45,67
"Tennessee",55,62
"Tennessee",57,91
"Tennessee",52,NA
"Tennessee",49,NA
"Tennessee",28,NA
"Tennessee",38,94
"Tennessee",46,NA
"Tennessee",40,NA
"Tennessee",NA,77
"Tennessee",53,NA
"Tennessee",41,73
"Tennessee",26,42
"Tennessee",49,84
"Tennessee",28,NA
"Tennessee",31,60
"Tennessee",50,NA
"Tennessee",83,NA
"Tennessee",51,NA
"Tennessee",56,71
"Tennessee",74,92
"Tennessee",73,NA
"Tennessee",34,73
"Tennessee",24,65
"Tennessee",29,81
"Tennessee",28,76
"Tennessee",65,NA
"Tennessee",50,74
"Tennessee",30,53
"Tennessee",53,61
"Tennessee",63,79
"Tennessee",43,84
"Tennessee",53,88
"Tennessee",33,NA
"Tennessee",65,85
"Tennessee",33,69
"Tennessee",63,91
"Tennessee",56,62
"Tennessee",60,95
"Tennessee",60,75
"Tennessee",74,49
"Tennessee",39,57
"Tennessee",68,68
"Tennessee",59,88
"Tennessee",42,NA
