"state","pre","post"
"Texas",75,45
"Texas",40,57
"Texas",31,48
"Texas",48,30
"Texas",16,64
"Texas",42,36
"Texas",42,37
"Texas",53,66
"Texas",50,68
"Texas",27,60
"Texas",56,65
"Texas",46,56
"Texas",32,37
"Texas",58,48
"Texas",58,58
"Texas",17,62
"Texas",NA,68
"Texas",NA,60
"Texas",43,61
"Texas",44,50
"Texas",18,NA
"Texas",NA,48
"Texas",35,31
"Texas",46,NA
"Texas",21,51
"Texas",32,60
"Texas",NA,51
"Texas",7,40
"Texas",45,48
"Texas",50,24
"Texas",37,48
"Texas",39,28
"Texas",35,57
"Texas",31,59
"Texas",36,62
"Texas",46,32
"Texas",71,42
"Texas",54,34
"Texas",40,43
"Texas",36,NA
"Texas",17,31
"Texas",49,50
"Texas",NA,51
"Texas",59,68
"Texas",37,NA
"Texas",52,64
"Texas",69,57
"Texas",44,31
"Texas",33,68
"Texas",22,NA
"Texas",40,NA
"Texas",NA,56
"Texas",50,51
"Texas",58,56
"Texas",46,44
"Texas",43,NA
"Texas",81,53
"Texas",44,62
"Texas",44,51
"Texas",25,41
"Texas",42,68
"Texas",26,70
"Texas",NA,61
"Texas",NA,51
"Texas",45,60
"Texas",30,66
"Texas",41,23
"Texas",32,49
"Texas",47,73
"Texas",39,44
"Texas",35,35
"Texas",30,55
"Texas",56,14
"Texas",47,46
"Texas",49,34
"Texas",41,42
"Texas",65,NA
"Texas",NA,55
"Texas",47,NA
"Texas",35,39
"Texas",50,47
"Texas",34,58
"Texas",31,25
"Texas",NA,51
"Texas",62,NA
"Texas",NA,42
"Texas",49,36
"Texas",24,62
"Texas",32,73
"Texas",51,NA
"Texas",16,52
"Texas",16,NA
"Texas",49,48
"Texas",48,73
"Texas",41,40
"Texas",42,NA
"Texas",46,NA
"Texas",51,61
"Texas",11,72
"Texas",50,80
"Texas",68,73
"Texas",44,70
"Texas",7,72
"Texas",35,52
"Texas",37,43
"Texas",35,40
"Texas",54,NA
"Texas",31,51
"Texas",54,NA
"Texas",46,NA
"Texas",33,47
"Texas",NA,NA
"Texas",33,52
"Texas",40,55
"Texas",44,36
"Texas",41,NA
"Texas",32,66
"Texas",21,47
"Texas",31,57
"Texas",41,56
"Texas",NA,54
"Texas",57,46
"Texas",43,46
"Texas",28,NA
"Texas",NA,23
"Texas",NA,62
"Texas",34,50
"Texas",45,84
"Texas",38,30
"Texas",41,28
"Texas",41,NA
"Texas",22,29
"Texas",18,78
"Texas",33,76
"Texas",42,NA
"Texas",41,48
"Texas",7,42
"Texas",24,48
"Texas",42,27
"Texas",18,56
"Texas",12,62
"Texas",39,42
"Texas",19,31
"Texas",37,68
"Texas",54,NA
"Texas",NA,74
"Texas",51,64
"Texas",39,75
"Texas",51,43
"Texas",4,69
"Texas",47,25
"Texas",55,54
"Texas",28,46
"Texas",35,65
"Texas",38,68
"Texas",22,29
"Texas",21,59
"Texas",8,38
"Texas",55,NA
"Texas",NA,55
"Texas",61,52
"Texas",41,72
"Texas",66,51
"Texas",21,52
"Texas",27,50
"Texas",15,66
"Texas",43,80
"Texas",25,55
"Texas",70,43
"Texas",47,60
"Texas",NA,60
"Texas",36,48
"Texas",60,51
"Texas",53,70
"Texas",40,50
"Texas",39,18
"Texas",47,55
"Texas",51,35
"Texas",43,56
"Texas",41,60
"Texas",45,52
"Texas",51,75
"Texas",40,51
"Texas",49,51
"Texas",42,73
"Texas",54,NA
"Texas",26,NA
"Texas",59,57
"Texas",30,93
"Texas",30,44
"Texas",32,NA
"Texas",40,75
"Texas",36,58
"Texas",50,NA
"Texas",38,51
"Texas",28,39
"Texas",26,71
"Texas",56,26
"Texas",NA,43
"Texas",98,54
"Texas",NA,65
