"state","pre","post"
"Utah",69,61
"Utah",55,NA
"Utah",38,80
"Utah",52,90
"Utah",68,NA
"Utah",45,64
"Utah",49,83
"Utah",68,76
"Utah",49,43
"Utah",51,52
"Utah",30,57
"Utah",50,58
"Utah",75,49
"Utah",42,72
"Utah",NA,78
"Utah",49,72
"Utah",47,73
"Utah",44,78
"Utah",59,78
"Utah",67,83
"Utah",34,96
"Utah",44,81
"Utah",63,76
"Utah",49,58
"Utah",35,72
"Utah",43,47
"Utah",55,69
"Utah",45,93
"Utah",NA,74
"Utah",51,45
"Utah",59,85
"Utah",46,84
"Utah",61,NA
"Utah",48,53
"Utah",45,56
"Utah",29,88
"Utah",30,86
"Utah",NA,92
"Utah",18,55
"Utah",58,93
"Utah",28,62
"Utah",42,55
"Utah",30,55
"Utah",59,75
"Utah",62,89
"Utah",76,NA
"Utah",52,94
"Utah",60,60
"Utah",50,62
"Utah",47,86
"Utah",28,58
"Utah",54,78
"Utah",52,47
"Utah",51,67
"Utah",53,NA
"Utah",34,64
"Utah",NA,61
"Utah",50,NA
"Utah",56,87
"Utah",62,74
"Utah",64,82
"Utah",48,NA
"Utah",60,68
"Utah",50,71
"Utah",72,NA
"Utah",49,92
"Utah",56,60
"Utah",44,84
"Utah",32,59
"Utah",25,47
"Utah",68,74
"Utah",58,72
"Utah",66,71
"Utah",32,NA
"Utah",61,90
"Utah",82,71
"Utah",NA,82
"Utah",47,51
"Utah",NA,NA
"Utah",66,37
"Utah",51,33
"Utah",36,40
"Utah",63,46
"Utah",56,NA
"Utah",66,73
"Utah",36,83
"Utah",54,NA
"Utah",45,65
"Utah",56,57
"Utah",71,91
"Utah",NA,85
"Utah",70,37
"Utah",48,56
"Utah",62,60
"Utah",54,82
"Utah",43,60
"Utah",83,NA
"Utah",34,73
"Utah",NA,68
"Utah",47,97
"Utah",49,60
"Utah",40,NA
"Utah",80,NA
"Utah",45,94
"Utah",NA,66
"Utah",77,70
"Utah",39,97
"Utah",58,38
"Utah",52,NA
"Utah",22,NA
"Utah",51,73
"Utah",42,60
"Utah",46,NA
"Utah",69,70
"Utah",63,82
"Utah",NA,NA
"Utah",NA,52
"Utah",NA,73
"Utah",48,70
"Utah",32,79
"Utah",68,49
"Utah",39,77
"Utah",54,44
"Utah",49,75
"Utah",48,84
"Utah",27,NA
"Utah",24,NA
"Utah",40,NA
"Utah",69,NA
"Utah",58,94
"Utah",NA,46
"Utah",71,64
"Utah",63,49
"Utah",80,59
"Utah",46,70
"Utah",40,64
"Utah",37,87
"Utah",55,85
"Utah",NA,NA
"Utah",NA,71
"Utah",32,76
"Utah",NA,83
"Utah",49,64
"Utah",31,44
"Utah",NA,53
"Utah",71,78
"Utah",33,75
"Utah",29,NA
"Utah",90,59
"Utah",43,70
"Utah",64,66
"Utah",45,NA
"Utah",NA,86
"Utah",NA,68
"Utah",39,57
"Utah",42,NA
"Utah",60,72
"Utah",38,67
"Utah",50,47
"Utah",NA,70
"Utah",52,65
"Utah",42,64
"Utah",36,80
"Utah",NA,89
"Utah",59,76
"Utah",22,65
"Utah",64,97
"Utah",74,68
"Utah",45,92
"Utah",63,77
"Utah",66,64
"Utah",41,80
"Utah",22,68
"Utah",49,79
"Utah",53,61
"Utah",35,71
"Utah",54,83
"Utah",57,62
"Utah",NA,78
"Utah",44,51
"Utah",73,59
"Utah",47,NA
"Utah",57,NA
"Utah",55,99
"Utah",69,85
"Utah",NA,64
"Utah",77,53
"Utah",67,NA
"Utah",NA,72
"Utah",30,80
"Utah",34,68
"Utah",45,NA
"Utah",45,53
"Utah",60,48
"Utah",47,74
"Utah",39,41
"Utah",73,67
"Utah",39,58
"Utah",69,60
"Utah",47,NA
"Utah",34,76
"Utah",56,47
"Utah",32,NA
"Utah",78,55
"Utah",49,73
"Utah",41,NA
"Utah",54,NA
"Utah",52,64
"Utah",44,73
"Utah",NA,85
"Utah",56,71
"Utah",50,58
"Utah",47,NA
"Utah",59,50
"Utah",55,63
"Utah",34,61
"Utah",49,63
"Utah",27,68
"Utah",81,73
"Utah",54,83
"Utah",35,71
"Utah",32,82
"Utah",53,86
"Utah",NA,79
"Utah",39,50
"Utah",45,73
"Utah",NA,68
"Utah",54,72
"Utah",56,NA
"Utah",40,74
"Utah",31,95
"Utah",49,75
"Utah",61,NA
"Utah",75,88
"Utah",66,78
"Utah",73,88
"Utah",83,82
"Utah",42,NA
"Utah",60,86
"Utah",54,NA
"Utah",55,76
"Utah",42,45
"Utah",8,45
"Utah",57,64
"Utah",68,50
"Utah",NA,91
"Utah",46,73
"Utah",50,59
"Utah",25,58
"Utah",36,85
"Utah",31,83
"Utah",68,72
"Utah",57,63
"Utah",48,94
"Utah",49,NA
"Utah",33,69
"Utah",70,48
"Utah",68,58
"Utah",56,60
"Utah",49,72
"Utah",48,66
"Utah",34,71
"Utah",NA,NA
"Utah",44,70
"Utah",NA,76
"Utah",51,NA
"Utah",35,79
"Utah",46,NA
"Utah",69,68
"Utah",28,54
"Utah",24,82
"Utah",NA,87
"Utah",NA,NA
"Utah",41,85
"Utah",60,78
"Utah",52,86
"Utah",61,93
"Utah",40,71
"Utah",43,48
"Utah",55,60
"Utah",40,60
"Utah",64,52
"Utah",65,88
"Utah",77,NA
"Utah",67,69
"Utah",44,67
"Utah",36,42
"Utah",48,NA
"Utah",38,60
"Utah",63,95
"Utah",26,63
"Utah",54,63
"Utah",47,81
"Utah",49,95
"Utah",63,NA
"Utah",57,96
"Utah",55,66
"Utah",50,66
"Utah",35,NA
"Utah",40,67
"Utah",53,64
"Utah",81,NA
"Utah",49,80
"Utah",46,89
"Utah",56,81
"Utah",70,NA
"Utah",NA,86
"Utah",47,71
"Utah",43,NA
"Utah",55,69
"Utah",42,75
"Utah",63,98
"Utah",58,75
"Utah",60,95
"Utah",60,66
"Utah",45,65
"Utah",NA,87
"Utah",48,77
"Utah",NA,54
"Utah",36,62
"Utah",27,NA
"Utah",74,80
"Utah",34,76
"Utah",27,70
"Utah",45,78
"Utah",70,58
"Utah",42,69
"Utah",56,68
"Utah",51,59
"Utah",28,71
"Utah",51,NA
"Utah",80,91
"Utah",39,78
"Utah",65,85
"Utah",40,55
"Utah",NA,87
"Utah",32,71
"Utah",29,92
"Utah",37,69
"Utah",42,NA
"Utah",54,66
"Utah",NA,54
"Utah",61,NA
"Utah",42,66
"Utah",50,80
"Utah",51,82
"Utah",51,87
"Utah",71,69
"Utah",23,69
"Utah",66,98
"Utah",NA,57
"Utah",58,90
"Utah",49,86
"Utah",45,81
"Utah",49,55
"Utah",68,75
"Utah",39,86
"Utah",67,57
"Utah",40,NA
"Utah",30,87
"Utah",NA,85
"Utah",57,75
"Utah",21,65
"Utah",58,83
"Utah",68,67
"Utah",36,77
"Utah",51,NA
"Utah",38,80
"Utah",52,58
"Utah",40,75
"Utah",46,81
"Utah",61,62
"Utah",64,59
"Utah",85,83
"Utah",33,88
"Utah",47,98
