"state","pre","post"
"Vermont",75,28
"Vermont",48,58
"Vermont",NA,45
"Vermont",NA,19
"Vermont",62,32
"Vermont",55,62
"Vermont",NA,25
"Vermont",27,NA
"Vermont",NA,33
"Vermont",49,80
"Vermont",29,52
"Vermont",55,42
"Vermont",65,14
"Vermont",48,NA
"Vermont",57,15
"Vermont",53,NA
"Vermont",65,28
"Vermont",42,32
"Vermont",34,21
"Vermont",NA,36
"Vermont",82,45
"Vermont",NA,44
"Vermont",64,NA
"Vermont",41,NA
"Vermont",62,43
"Vermont",55,NA
"Vermont",48,NA
"Vermont",51,34
"Vermont",42,61
"Vermont",55,27
"Vermont",29,NA
"Vermont",NA,45
"Vermont",53,36
"Vermont",53,23
"Vermont",NA,57
"Vermont",61,69
"Vermont",NA,53
"Vermont",73,31
"Vermont",41,54
"Vermont",57,40
"Vermont",59,37
"Vermont",40,NA
"Vermont",42,NA
"Vermont",73,31
"Vermont",78,40
"Vermont",63,4
"Vermont",NA,29
"Vermont",52,52
"Vermont",49,42
"Vermont",47,37
"Vermont",NA,14
"Vermont",NA,NA
"Vermont",52,22
"Vermont",NA,84
"Vermont",66,71
"Vermont",43,63
"Vermont",65,25
"Vermont",42,48
"Vermont",80,23
"Vermont",73,NA
"Vermont",NA,47
"Vermont",57,38
"Vermont",78,46
"Vermont",66,44
"Vermont",NA,NA
"Vermont",69,NA
"Vermont",57,58
"Vermont",41,29
"Vermont",NA,43
"Vermont",70,30
"Vermont",78,45
"Vermont",42,70
"Vermont",26,70
"Vermont",48,64
"Vermont",64,24
"Vermont",NA,33
"Vermont",NA,51
"Vermont",53,51
"Vermont",43,55
"Vermont",61,41
"Vermont",50,36
"Vermont",64,45
"Vermont",66,53
"Vermont",66,32
"Vermont",53,NA
"Vermont",57,NA
"Vermont",54,38
"Vermont",NA,21
"Vermont",78,45
"Vermont",50,NA
"Vermont",33,17
"Vermont",63,36
"Vermont",45,NA
"Vermont",58,37
"Vermont",48,52
"Vermont",NA,46
"Vermont",53,40
"Vermont",48,47
"Vermont",79,NA
"Vermont",34,46
"Vermont",NA,12
"Vermont",67,12
"Vermont",65,36
"Vermont",63,61
"Vermont",49,35
"Vermont",68,51
"Vermont",22,15
"Vermont",65,19
"Vermont",65,58
"Vermont",33,80
"Vermont",46,NA
"Vermont",82,NA
"Vermont",54,29
"Vermont",69,NA
"Vermont",43,47
"Vermont",49,30
"Vermont",42,NA
"Vermont",57,NA
"Vermont",78,31
"Vermont",45,65
"Vermont",NA,54
"Vermont",54,NA
"Vermont",36,44
"Vermont",74,34
"Vermont",NA,57
"Vermont",71,21
"Vermont",31,NA
"Vermont",67,47
"Vermont",30,49
"Vermont",52,60
"Vermont",NA,51
"Vermont",60,NA
"Vermont",71,45
"Vermont",32,38
"Vermont",25,23
"Vermont",47,37
"Vermont",34,23
"Vermont",45,41
"Vermont",31,42
"Vermont",55,22
"Vermont",56,13
"Vermont",52,NA
"Vermont",34,26
"Vermont",47,45
"Vermont",74,20
"Vermont",56,50
"Vermont",NA,71
"Vermont",29,69
"Vermont",37,NA
"Vermont",69,NA
"Vermont",62,37
"Vermont",39,44
"Vermont",55,NA
"Vermont",50,NA
"Vermont",56,50
"Vermont",46,NA
"Vermont",59,35
"Vermont",49,NA
"Vermont",55,NA
"Vermont",37,48
"Vermont",27,NA
"Vermont",29,33
"Vermont",76,NA
"Vermont",78,58
"Vermont",39,NA
"Vermont",55,26
"Vermont",42,44
"Vermont",41,33
"Vermont",54,NA
"Vermont",73,43
"Vermont",54,NA
"Vermont",NA,20
"Vermont",42,50
"Vermont",39,43
"Vermont",60,7
"Vermont",62,38
"Vermont",60,71
"Vermont",42,15
"Vermont",NA,NA
"Vermont",65,25
"Vermont",23,13
"Vermont",45,NA
"Vermont",76,46
"Vermont",78,44
"Vermont",NA,66
"Vermont",NA,38
"Vermont",63,NA
"Vermont",35,42
"Vermont",57,24
"Vermont",NA,54
"Vermont",41,NA
"Vermont",NA,35
"Vermont",29,2
"Vermont",41,NA
"Vermont",38,NA
"Vermont",56,33
"Vermont",9,42
"Vermont",45,54
"Vermont",54,NA
"Vermont",64,40
"Vermont",81,46
"Vermont",NA,30
"Vermont",50,72
"Vermont",31,60
"Vermont",48,38
"Vermont",49,NA
"Vermont",64,61
"Vermont",NA,61
"Vermont",79,41
"Vermont",57,NA
"Vermont",75,32
"Vermont",42,67
"Vermont",24,NA
"Vermont",55,70
"Vermont",79,55
"Vermont",65,63
"Vermont",NA,39
"Vermont",28,31
"Vermont",54,44
"Vermont",26,NA
"Vermont",34,68
"Vermont",30,30
"Vermont",45,NA
"Vermont",43,62
"Vermont",71,32
"Vermont",60,43
"Vermont",55,52
"Vermont",30,38
"Vermont",67,48
"Vermont",NA,11
"Vermont",NA,NA
"Vermont",NA,43
"Vermont",54,34
"Vermont",55,51
"Vermont",42,59
"Vermont",NA,24
"Vermont",38,23
"Vermont",53,NA
"Vermont",NA,27
"Vermont",67,34
"Vermont",64,62
"Vermont",NA,28
"Vermont",46,37
"Vermont",NA,22
"Vermont",38,44
"Vermont",43,45
"Vermont",NA,NA
"Vermont",54,31
"Vermont",30,59
"Vermont",36,31
"Vermont",37,71
"Vermont",64,47
"Vermont",85,NA
"Vermont",80,64
"Vermont",51,52
"Vermont",53,48
"Vermont",73,43
"Vermont",86,50
"Vermont",81,48
"Vermont",76,63
"Vermont",66,33
"Vermont",51,27
"Vermont",51,42
"Vermont",72,14
"Vermont",53,21
"Vermont",NA,50
"Vermont",56,38
"Vermont",NA,21
"Vermont",69,40
"Vermont",49,34
"Vermont",40,38
"Vermont",47,45
"Vermont",35,NA
"Vermont",68,40
"Vermont",80,50
"Vermont",72,45
"Vermont",30,31
"Vermont",85,41
"Vermont",55,50
"Vermont",44,33
"Vermont",52,40
"Vermont",NA,34
"Vermont",41,72
"Vermont",38,34
"Vermont",87,31
"Vermont",50,41
"Vermont",33,NA
"Vermont",33,47
"Vermont",39,NA
"Vermont",67,NA
"Vermont",56,40
"Vermont",38,NA
"Vermont",61,33
"Vermont",29,NA
"Vermont",56,65
"Vermont",32,62
"Vermont",64,NA
"Vermont",67,31
"Vermont",58,43
"Vermont",38,NA
"Vermont",44,45
"Vermont",38,55
"Vermont",NA,41
"Vermont",40,22
"Vermont",35,56
"Vermont",NA,48
"Vermont",75,NA
"Vermont",78,NA
"Vermont",47,60
"Vermont",NA,41
"Vermont",40,NA
"Vermont",64,29
"Vermont",49,47
"Vermont",47,NA
"Vermont",44,19
"Vermont",49,NA
"Vermont",45,46
"Vermont",42,33
"Vermont",38,47
"Vermont",42,NA
"Vermont",46,NA
"Vermont",58,NA
"Vermont",77,NA
"Vermont",17,40
"Vermont",48,NA
"Vermont",30,12
"Vermont",57,52
"Vermont",72,60
"Vermont",60,NA
"Vermont",59,53
"Vermont",54,44
"Vermont",59,NA
"Vermont",39,44
"Vermont",46,38
"Vermont",69,55
"Vermont",62,25
"Vermont",34,60
"Vermont",NA,49
"Vermont",64,NA
"Vermont",48,56
"Vermont",56,17
"Vermont",53,NA
"Vermont",30,32
"Vermont",66,41
"Vermont",51,NA
"Vermont",49,NA
"Vermont",89,NA
"Vermont",53,58
"Vermont",66,48
"Vermont",35,39
"Vermont",NA,71
"Vermont",54,30
"Vermont",62,51
"Vermont",49,30
"Vermont",52,48
"Vermont",61,46
"Vermont",52,51
"Vermont",71,NA
"Vermont",60,NA
"Vermont",44,36
"Vermont",44,90
"Vermont",72,56
"Vermont",76,NA
"Vermont",52,38
"Vermont",51,37
"Vermont",NA,26
"Vermont",43,NA
"Vermont",59,NA
"Vermont",39,26
"Vermont",48,NA
"Vermont",83,NA
"Vermont",30,37
"Vermont",82,34
"Vermont",52,53
"Vermont",69,NA
"Vermont",60,35
"Vermont",50,19
"Vermont",52,26
"Vermont",40,24
"Vermont",53,40
"Vermont",63,46
"Vermont",62,51
"Vermont",53,55
"Vermont",48,30
"Vermont",58,30
"Vermont",30,55
"Vermont",27,NA
"Vermont",75,35
"Vermont",50,63
"Vermont",57,56
"Vermont",66,51
"Vermont",42,NA
"Vermont",32,30
"Vermont",58,NA
"Vermont",41,67
"Vermont",41,51
"Vermont",56,37
"Vermont",64,47
"Vermont",NA,51
"Vermont",50,45
"Vermont",51,59
"Vermont",52,43
"Vermont",62,41
"Vermont",48,21
"Vermont",75,50
"Vermont",69,45
"Vermont",46,25
"Vermont",NA,33
"Vermont",62,37
"Vermont",NA,34
"Vermont",77,26
"Vermont",NA,29
"Vermont",29,66
"Vermont",60,NA
"Vermont",53,22
"Vermont",72,22
"Vermont",62,52
"Vermont",67,57
"Vermont",52,64
"Vermont",59,50
"Vermont",22,43
"Vermont",79,NA
"Vermont",58,21
"Vermont",NA,51
"Vermont",67,32
"Vermont",36,NA
"Vermont",84,NA
"Vermont",91,NA
"Vermont",52,43
"Vermont",35,35
"Vermont",53,62
"Vermont",40,16
"Vermont",NA,54
"Vermont",38,NA
"Vermont",67,NA
"Vermont",41,29
"Vermont",NA,36
"Vermont",63,23
"Vermont",47,NA
"Vermont",69,31
"Vermont",55,1
"Vermont",74,34
"Vermont",48,65
"Vermont",45,64
"Vermont",62,NA
"Vermont",68,35
"Vermont",63,NA
"Vermont",37,NA
"Vermont",53,40
"Vermont",79,49
"Vermont",71,58
"Vermont",48,38
"Vermont",56,73
"Vermont",68,NA
"Vermont",41,47
"Vermont",45,27
"Vermont",58,NA
"Vermont",46,49
"Vermont",73,NA
"Vermont",44,44
"Vermont",53,55
"Vermont",42,52
"Vermont",49,33
"Vermont",55,7
"Vermont",46,63
"Vermont",55,25
"Vermont",48,NA
"Vermont",70,55
"Vermont",35,NA
"Vermont",77,NA
"Vermont",73,67
"Vermont",61,37
"Vermont",NA,28
"Vermont",22,54
"Vermont",36,49
"Vermont",NA,35
"Vermont",43,60
"Vermont",73,34
"Vermont",66,17
"Vermont",44,39
"Vermont",59,45
"Vermont",51,NA
"Vermont",53,NA
"Vermont",47,55
"Vermont",36,NA
"Vermont",NA,31
"Vermont",64,46
"Vermont",55,53
"Vermont",79,32
"Vermont",48,NA
"Vermont",57,41
"Vermont",62,45
"Vermont",51,26
"Vermont",54,NA
"Vermont",37,NA
"Vermont",35,34
"Vermont",62,40
"Vermont",43,39
