"state","pre","post"
"Virginia",58,40
"Virginia",30,57
"Virginia",31,32
"Virginia",45,NA
"Virginia",48,62
"Virginia",43,39
"Virginia",6,31
"Virginia",56,54
"Virginia",50,38
"Virginia",12,62
"Virginia",22,41
"Virginia",25,45
"Virginia",45,64
"Virginia",53,51
"Virginia",NA,42
"Virginia",30,34
"Virginia",30,31
"Virginia",19,40
"Virginia",NA,38
"Virginia",26,NA
"Virginia",53,54
"Virginia",62,34
"Virginia",41,28
"Virginia",21,40
"Virginia",41,69
"Virginia",45,19
"Virginia",46,NA
"Virginia",33,65
"Virginia",58,39
"Virginia",47,54
"Virginia",27,52
"Virginia",36,34
"Virginia",14,58
"Virginia",76,82
"Virginia",49,49
"Virginia",19,33
"Virginia",37,42
"Virginia",23,39
"Virginia",51,58
"Virginia",NA,32
"Virginia",33,NA
"Virginia",32,10
"Virginia",31,38
"Virginia",15,58
"Virginia",54,65
"Virginia",49,35
"Virginia",26,51
"Virginia",35,48
"Virginia",27,NA
"Virginia",54,38
"Virginia",37,44
"Virginia",49,39
"Virginia",32,57
"Virginia",30,27
"Virginia",29,45
"Virginia",53,52
"Virginia",48,NA
"Virginia",NA,42
"Virginia",30,39
"Virginia",38,NA
"Virginia",34,NA
"Virginia",58,24
"Virginia",46,43
"Virginia",35,NA
"Virginia",36,68
"Virginia",36,37
"Virginia",26,NA
"Virginia",NA,64
"Virginia",NA,55
"Virginia",37,71
"Virginia",24,85
"Virginia",NA,53
"Virginia",41,51
"Virginia",44,35
"Virginia",52,63
"Virginia",34,46
"Virginia",29,NA
"Virginia",NA,44
"Virginia",36,51
"Virginia",45,33
"Virginia",26,60
"Virginia",27,25
"Virginia",18,38
"Virginia",NA,NA
"Virginia",24,42
"Virginia",NA,34
"Virginia",NA,30
"Virginia",36,47
"Virginia",23,33
"Virginia",34,69
"Virginia",30,40
"Virginia",NA,20
"Virginia",49,55
"Virginia",59,61
"Virginia",NA,43
"Virginia",NA,56
"Virginia",NA,33
"Virginia",28,29
"Virginia",56,22
"Virginia",18,64
"Virginia",24,50
"Virginia",34,NA
"Virginia",6,52
"Virginia",45,64
"Virginia",24,31
"Virginia",21,75
"Virginia",58,58
"Virginia",48,NA
"Virginia",35,56
"Virginia",NA,75
"Virginia",58,47
"Virginia",38,62
"Virginia",NA,50
"Virginia",11,54
"Virginia",42,26
"Virginia",38,47
"Virginia",4,NA
"Virginia",21,NA
"Virginia",NA,30
"Virginia",28,51
"Virginia",44,52
"Virginia",43,31
"Virginia",NA,NA
"Virginia",42,36
"Virginia",NA,30
"Virginia",40,28
"Virginia",58,NA
"Virginia",22,29
"Virginia",18,68
"Virginia",45,51
"Virginia",35,49
"Virginia",74,81
"Virginia",32,28
"Virginia",10,49
"Virginia",45,38
"Virginia",40,58
"Virginia",47,47
"Virginia",21,NA
"Virginia",36,39
"Virginia",NA,45
"Virginia",11,47
"Virginia",60,46
"Virginia",17,53
"Virginia",25,34
"Virginia",28,59
"Virginia",31,66
"Virginia",18,43
"Virginia",55,NA
"Virginia",39,47
"Virginia",20,47
"Virginia",44,62
"Virginia",41,54
"Virginia",43,NA
"Virginia",31,25
"Virginia",48,63
"Virginia",41,NA
"Virginia",52,72
"Virginia",32,54
"Virginia",54,45
"Virginia",45,38
"Virginia",11,53
"Virginia",60,48
"Virginia",17,31
"Virginia",40,52
"Virginia",42,34
"Virginia",20,45
"Virginia",39,48
"Virginia",44,34
"Virginia",52,NA
"Virginia",39,68
"Virginia",27,73
"Virginia",33,49
"Virginia",44,30
