"state","pre","post"
"Washington",19,89
"Washington",63,77
"Washington",45,NA
"Washington",50,57
"Washington",56,NA
"Washington",37,22
"Washington",35,38
"Washington",NA,51
"Washington",57,NA
"Washington",NA,NA
"Washington",41,62
"Washington",32,NA
"Washington",42,58
"Washington",33,63
"Washington",66,54
"Washington",32,58
"Washington",20,56
"Washington",47,NA
"Washington",56,26
"Washington",55,69
"Washington",56,73
"Washington",54,63
"Washington",26,38
"Washington",52,30
"Washington",52,60
"Washington",52,NA
"Washington",31,23
"Washington",33,61
"Washington",42,31
"Washington",60,90
"Washington",25,34
"Washington",64,NA
"Washington",43,67
"Washington",15,66
"Washington",42,56
"Washington",59,50
"Washington",61,NA
"Washington",44,48
"Washington",43,NA
"Washington",50,64
"Washington",63,62
"Washington",43,51
"Washington",57,47
"Washington",39,NA
"Washington",18,NA
"Washington",43,71
"Washington",52,81
"Washington",47,58
"Washington",43,57
"Washington",56,44
"Washington",60,69
"Washington",32,55
"Washington",79,69
"Washington",NA,69
"Washington",35,38
"Washington",39,53
"Washington",49,NA
"Washington",74,59
"Washington",22,43
"Washington",39,43
"Washington",60,36
"Washington",53,60
"Washington",68,58
"Washington",47,NA
"Washington",55,55
"Washington",40,78
"Washington",35,72
"Washington",43,41
"Washington",45,NA
"Washington",46,57
"Washington",64,44
"Washington",58,63
"Washington",NA,25
"Washington",80,59
"Washington",37,NA
"Washington",43,77
"Washington",NA,6
"Washington",46,58
"Washington",37,NA
"Washington",NA,58
"Washington",NA,36
"Washington",NA,NA
"Washington",53,NA
"Washington",42,62
"Washington",53,70
"Washington",56,83
"Washington",52,57
"Washington",68,NA
"Washington",45,69
"Washington",66,NA
"Washington",67,39
"Washington",51,NA
"Washington",45,77
"Washington",79,67
"Washington",51,23
"Washington",42,86
"Washington",45,NA
"Washington",44,36
"Washington",49,NA
"Washington",NA,55
"Washington",82,56
"Washington",66,73
"Washington",42,49
"Washington",64,28
"Washington",60,77
"Washington",37,56
"Washington",25,52
"Washington",24,22
"Washington",31,51
"Washington",47,NA
"Washington",27,26
"Washington",46,56
"Washington",57,45
"Washington",97,28
"Washington",39,NA
"Washington",43,45
"Washington",61,76
"Washington",32,NA
"Washington",41,62
"Washington",27,NA
"Washington",NA,NA
"Washington",NA,64
"Washington",NA,51
"Washington",54,63
"Washington",64,51
"Washington",28,50
"Washington",37,73
"Washington",NA,87
"Washington",50,68
"Washington",30,35
"Washington",38,NA
"Washington",NA,72
"Washington",60,31
"Washington",43,45
"Washington",62,46
"Washington",45,44
"Washington",52,28
"Washington",40,35
"Washington",78,40
"Washington",41,47
"Washington",41,15
"Washington",NA,41
"Washington",25,59
"Washington",59,79
"Washington",67,NA
"Washington",NA,69
"Washington",24,NA
"Washington",NA,48
"Washington",51,60
"Washington",63,45
"Washington",63,48
"Washington",40,76
"Washington",42,61
"Washington",64,NA
"Washington",27,NA
"Washington",61,65
"Washington",36,34
"Washington",75,86
"Washington",22,66
"Washington",26,NA
"Washington",18,39
"Washington",72,74
"Washington",43,49
"Washington",NA,21
"Washington",57,48
"Washington",56,48
"Washington",19,30
"Washington",53,59
"Washington",47,52
"Washington",NA,45
"Washington",20,63
"Washington",26,NA
"Washington",31,62
"Washington",63,68
"Washington",71,83
"Washington",57,30
"Washington",72,67
"Washington",33,45
"Washington",53,64
"Washington",46,55
"Washington",46,34
"Washington",NA,45
"Washington",66,58
"Washington",47,67
"Washington",15,55
"Washington",33,NA
"Washington",18,NA
"Washington",50,90
"Washington",NA,70
"Washington",51,55
"Washington",41,72
"Washington",49,50
"Washington",33,52
"Washington",37,43
"Washington",36,39
"Washington",25,73
"Washington",56,43
"Washington",57,38
"Washington",63,74
"Washington",25,NA
"Washington",47,57
"Washington",63,86
"Washington",58,47
"Washington",56,63
"Washington",45,NA
"Washington",61,45
"Washington",45,41
"Washington",46,61
"Washington",40,56
"Washington",33,43
"Washington",48,NA
"Washington",55,71
"Washington",49,78
"Washington",32,59
"Washington",62,39
"Washington",NA,59
"Washington",61,62
"Washington",54,NA
"Washington",70,45
"Washington",42,NA
"Washington",59,49
"Washington",55,39
"Washington",52,62
"Washington",72,59
"Washington",45,59
"Washington",63,32
"Washington",31,81
"Washington",34,53
"Washington",59,NA
"Washington",33,NA
"Washington",72,59
"Washington",67,78
"Washington",67,NA
"Washington",23,NA
"Washington",59,67
"Washington",NA,41
"Washington",33,60
"Washington",NA,60
"Washington",64,71
"Washington",20,60
"Washington",51,65
"Washington",NA,75
"Washington",34,61
"Washington",43,72
"Washington",74,53
"Washington",48,NA
"Washington",47,41
"Washington",41,38
"Washington",44,NA
"Washington",60,66
"Washington",26,55
"Washington",43,55
"Washington",40,NA
"Washington",58,71
"Washington",53,85
"Washington",57,72
"Washington",45,85
"Washington",60,78
"Washington",43,52
"Washington",15,69
"Washington",53,54
"Washington",51,NA
"Washington",56,61
"Washington",47,54
"Washington",17,65
"Washington",64,NA
"Washington",68,53
"Washington",NA,41
"Washington",72,NA
"Washington",38,NA
"Washington",69,40
"Washington",60,NA
"Washington",47,42
"Washington",60,31
"Washington",50,35
"Washington",43,70
"Washington",51,71
"Washington",71,63
"Washington",64,56
"Washington",46,NA
"Washington",39,43
"Washington",61,NA
"Washington",NA,34
"Washington",60,60
"Washington",NA,NA
"Washington",57,44
"Washington",43,56
"Washington",56,43
"Washington",NA,69
"Washington",NA,62
"Washington",64,64
"Washington",NA,NA
"Washington",40,63
"Washington",45,55
"Washington",32,53
"Washington",67,58
"Washington",52,60
"Washington",52,50
"Washington",24,NA
"Washington",41,57
"Washington",87,44
"Washington",32,90
"Washington",38,79
"Washington",57,41
"Washington",36,70
"Washington",65,72
"Washington",38,NA
"Washington",74,56
"Washington",73,62
"Washington",49,17
"Washington",48,47
"Washington",NA,77
"Washington",41,65
"Washington",46,56
"Washington",52,77
"Washington",64,60
"Washington",69,NA
"Washington",NA,47
"Washington",77,42
"Washington",66,38
"Washington",34,43
"Washington",54,52
"Washington",48,72
"Washington",82,30
"Washington",57,48
"Washington",43,39
"Washington",NA,65
"Washington",NA,NA
"Washington",31,47
"Washington",53,52
"Washington",50,21
"Washington",50,40
"Washington",NA,56
"Washington",75,62
"Washington",NA,NA
"Washington",58,NA
"Washington",22,NA
"Washington",51,73
"Washington",59,NA
"Washington",NA,59
"Washington",44,28
"Washington",32,38
"Washington",NA,52
"Washington",66,46
"Washington",45,56
"Washington",54,40
"Washington",39,NA
"Washington",NA,82
"Washington",30,NA
"Washington",26,38
"Washington",59,50
"Washington",NA,NA
"Washington",59,46
"Washington",45,36
"Washington",52,65
"Washington",42,35
"Washington",56,31
"Washington",65,65
"Washington",67,37
"Washington",48,54
"Washington",71,64
"Washington",47,NA
"Washington",76,NA
"Washington",55,75
"Washington",52,57
"Washington",54,79
"Washington",66,NA
"Washington",71,62
"Washington",49,60
"Washington",48,83
"Washington",38,NA
"Washington",59,71
"Washington",41,44
"Washington",40,NA
"Washington",39,46
"Washington",61,52
"Washington",54,84
"Washington",61,NA
"Washington",36,40
"Washington",NA,21
"Washington",33,NA
"Washington",42,59
"Washington",35,NA
"Washington",69,46
"Washington",42,68
"Washington",NA,46
"Washington",51,71
"Washington",52,70
"Washington",27,63
"Washington",NA,24
"Washington",NA,73
"Washington",NA,47
"Washington",35,39
"Washington",22,65
"Washington",35,NA
"Washington",NA,32
"Washington",23,39
"Washington",84,49
"Washington",57,57
"Washington",NA,42
"Washington",61,NA
"Washington",64,48
"Washington",63,63
"Washington",58,NA
"Washington",75,55
"Washington",43,61
"Washington",82,NA
"Washington",46,59
"Washington",58,44
"Washington",NA,51
"Washington",59,NA
"Washington",53,NA
"Washington",64,68
"Washington",44,73
"Washington",28,67
"Washington",25,70
"Washington",53,NA
"Washington",41,NA
"Washington",53,NA
"Washington",38,61
"Washington",71,47
"Washington",40,27
"Washington",49,38
"Washington",35,58
"Washington",25,62
"Washington",33,37
"Washington",NA,55
"Washington",41,63
"Washington",63,38
"Washington",38,80
"Washington",60,NA
"Washington",50,37
"Washington",25,54
"Washington",NA,58
"Washington",37,42
"Washington",34,83
"Washington",51,70
"Washington",34,73
"Washington",57,NA
"Washington",31,54
"Washington",28,59
"Washington",60,47
"Washington",56,75
"Washington",28,NA
"Washington",58,78
