"state","pre","post"
"West Virginia",36,NA
"West Virginia",36,54
"West Virginia",42,74
"West Virginia",39,51
"West Virginia",67,60
"West Virginia",41,61
"West Virginia",37,64
"West Virginia",57,55
"West Virginia",46,79
"West Virginia",68,67
"West Virginia",58,67
"West Virginia",45,63
"West Virginia",45,33
"West Virginia",55,70
"West Virginia",49,53
"West Virginia",71,64
"West Virginia",44,86
"West Virginia",38,65
"West Virginia",61,94
"West Virginia",42,49
"West Virginia",55,88
"West Virginia",22,90
"West Virginia",69,73
"West Virginia",46,49
"West Virginia",60,81
"West Virginia",NA,58
"West Virginia",46,60
"West Virginia",15,78
"West Virginia",54,40
"West Virginia",41,84
"West Virginia",39,NA
"West Virginia",64,69
"West Virginia",35,66
"West Virginia",55,64
"West Virginia",NA,52
"West Virginia",97,89
"West Virginia",57,87
"West Virginia",53,54
"West Virginia",61,65
"West Virginia",34,NA
"West Virginia",32,77
"West Virginia",77,62
"West Virginia",54,89
"West Virginia",48,34
"West Virginia",NA,71
"West Virginia",44,94
"West Virginia",47,58
"West Virginia",50,58
"West Virginia",76,61
"West Virginia",44,63
"West Virginia",50,35
"West Virginia",48,89
"West Virginia",48,71
"West Virginia",53,NA
"West Virginia",31,65
"West Virginia",66,41
"West Virginia",15,60
"West Virginia",58,60
"West Virginia",NA,NA
"West Virginia",63,67
"West Virginia",57,61
"West Virginia",79,61
"West Virginia",44,NA
"West Virginia",69,39
"West Virginia",29,NA
"West Virginia",50,51
"West Virginia",68,76
"West Virginia",52,NA
"West Virginia",53,69
"West Virginia",36,30
"West Virginia",76,54
"West Virginia",31,83
"West Virginia",NA,63
"West Virginia",48,75
"West Virginia",79,65
"West Virginia",25,77
"West Virginia",33,42
"West Virginia",41,75
"West Virginia",45,59
"West Virginia",31,93
"West Virginia",42,59
"West Virginia",57,33
"West Virginia",53,50
"West Virginia",47,70
"West Virginia",67,71
"West Virginia",49,62
"West Virginia",52,NA
"West Virginia",NA,NA
"West Virginia",84,63
"West Virginia",82,69
"West Virginia",60,67
"West Virginia",81,80
"West Virginia",37,71
"West Virginia",71,48
"West Virginia",31,77
"West Virginia",48,68
"West Virginia",NA,48
"West Virginia",50,75
"West Virginia",27,76
"West Virginia",66,68
"West Virginia",76,69
"West Virginia",44,88
"West Virginia",48,49
"West Virginia",58,60
"West Virginia",55,NA
"West Virginia",58,70
"West Virginia",46,74
"West Virginia",32,82
"West Virginia",58,57
"West Virginia",41,71
"West Virginia",59,34
"West Virginia",64,52
"West Virginia",23,81
"West Virginia",58,68
"West Virginia",51,65
"West Virginia",52,53
"West Virginia",18,55
"West Virginia",81,49
"West Virginia",57,42
"West Virginia",NA,NA
"West Virginia",23,75
"West Virginia",40,72
"West Virginia",34,73
"West Virginia",52,64
"West Virginia",69,62
"West Virginia",34,61
"West Virginia",70,60
"West Virginia",NA,56
"West Virginia",57,NA
"West Virginia",79,NA
"West Virginia",35,57
"West Virginia",53,85
"West Virginia",48,69
"West Virginia",42,80
"West Virginia",35,44
"West Virginia",45,60
"West Virginia",50,91
"West Virginia",47,89
"West Virginia",44,83
"West Virginia",75,50
"West Virginia",16,41
"West Virginia",58,31
"West Virginia",NA,69
"West Virginia",66,43
"West Virginia",37,65
"West Virginia",50,60
"West Virginia",48,70
"West Virginia",41,65
"West Virginia",48,82
"West Virginia",27,67
"West Virginia",57,63
"West Virginia",65,49
"West Virginia",40,51
"West Virginia",40,63
"West Virginia",43,73
"West Virginia",59,48
"West Virginia",75,45
"West Virginia",78,61
"West Virginia",52,46
"West Virginia",47,60
"West Virginia",34,NA
"West Virginia",22,NA
"West Virginia",47,NA
"West Virginia",49,66
"West Virginia",36,70
"West Virginia",61,72
"West Virginia",68,73
"West Virginia",48,78
"West Virginia",44,55
"West Virginia",45,66
"West Virginia",54,NA
"West Virginia",57,43
"West Virginia",72,76
"West Virginia",68,80
"West Virginia",46,51
"West Virginia",66,54
"West Virginia",37,40
"West Virginia",76,66
"West Virginia",62,60
"West Virginia",59,71
"West Virginia",42,NA
"West Virginia",45,61
"West Virginia",53,72
"West Virginia",22,49
"West Virginia",33,69
"West Virginia",40,75
"West Virginia",46,52
"West Virginia",61,76
"West Virginia",NA,59
"West Virginia",23,79
"West Virginia",64,60
"West Virginia",54,30
"West Virginia",14,68
"West Virginia",31,39
"West Virginia",34,61
"West Virginia",57,81
"West Virginia",61,62
"West Virginia",60,79
"West Virginia",52,55
"West Virginia",67,49
"West Virginia",64,49
"West Virginia",27,58
"West Virginia",17,69
"West Virginia",70,55
"West Virginia",18,50
"West Virginia",72,NA
"West Virginia",60,85
"West Virginia",39,71
"West Virginia",49,45
"West Virginia",NA,60
"West Virginia",53,90
"West Virginia",54,20
"West Virginia",49,76
"West Virginia",36,83
"West Virginia",60,72
"West Virginia",60,75
"West Virginia",33,58
"West Virginia",64,74
"West Virginia",25,50
"West Virginia",75,56
"West Virginia",40,58
"West Virginia",46,55
"West Virginia",37,55
"West Virginia",35,64
"West Virginia",43,43
"West Virginia",36,60
"West Virginia",71,70
"West Virginia",63,61
"West Virginia",66,18
"West Virginia",52,55
"West Virginia",38,NA
"West Virginia",42,62
"West Virginia",59,60
"West Virginia",NA,66
"West Virginia",42,46
"West Virginia",NA,43
"West Virginia",57,48
"West Virginia",52,57
"West Virginia",16,37
"West Virginia",47,52
"West Virginia",50,70
"West Virginia",77,64
"West Virginia",65,75
"West Virginia",53,73
"West Virginia",34,43
"West Virginia",37,76
"West Virginia",35,69
"West Virginia",54,65
"West Virginia",24,63
"West Virginia",26,69
"West Virginia",41,68
"West Virginia",60,40
"West Virginia",43,69
"West Virginia",92,59
"West Virginia",36,64
"West Virginia",73,69
"West Virginia",34,57
"West Virginia",45,48
"West Virginia",47,95
"West Virginia",43,75
"West Virginia",45,NA
"West Virginia",54,58
"West Virginia",53,60
"West Virginia",53,68
"West Virginia",50,86
"West Virginia",70,NA
"West Virginia",NA,73
"West Virginia",37,NA
"West Virginia",57,59
"West Virginia",58,52
"West Virginia",62,59
"West Virginia",70,58
"West Virginia",43,61
"West Virginia",NA,76
"West Virginia",12,78
"West Virginia",51,NA
"West Virginia",NA,83
"West Virginia",49,37
"West Virginia",35,67
"West Virginia",32,65
"West Virginia",76,72
"West Virginia",45,62
"West Virginia",44,74
"West Virginia",40,50
"West Virginia",55,NA
"West Virginia",59,55
"West Virginia",58,79
"West Virginia",24,68
"West Virginia",57,52
"West Virginia",62,74
"West Virginia",73,46
"West Virginia",56,NA
"West Virginia",52,66
"West Virginia",46,68
"West Virginia",52,47
"West Virginia",45,49
"West Virginia",32,62
"West Virginia",46,NA
"West Virginia",72,89
"West Virginia",58,73
"West Virginia",69,79
"West Virginia",49,49
"West Virginia",57,60
"West Virginia",48,59
"West Virginia",32,59
"West Virginia",50,49
"West Virginia",56,65
"West Virginia",49,85
"West Virginia",55,57
"West Virginia",72,49
"West Virginia",42,37
"West Virginia",74,44
"West Virginia",46,59
"West Virginia",39,49
"West Virginia",55,48
"West Virginia",49,34
"West Virginia",51,66
"West Virginia",72,39
"West Virginia",49,62
"West Virginia",59,NA
"West Virginia",56,58
"West Virginia",46,68
"West Virginia",47,69
"West Virginia",56,57
"West Virginia",36,50
"West Virginia",39,NA
"West Virginia",37,NA
"West Virginia",48,70
"West Virginia",57,41
"West Virginia",40,71
"West Virginia",NA,33
"West Virginia",31,75
"West Virginia",24,NA
"West Virginia",58,NA
"West Virginia",50,94
"West Virginia",41,66
"West Virginia",56,36
"West Virginia",44,77
"West Virginia",32,59
"West Virginia",55,56
"West Virginia",58,57
"West Virginia",20,69
"West Virginia",48,88
"West Virginia",53,43
"West Virginia",57,NA
"West Virginia",54,NA
"West Virginia",23,70
"West Virginia",42,73
"West Virginia",67,NA
"West Virginia",38,46
"West Virginia",43,56
"West Virginia",49,27
"West Virginia",NA,72
"West Virginia",11,55
"West Virginia",42,57
"West Virginia",15,36
"West Virginia",28,56
"West Virginia",57,51
"West Virginia",74,64
"West Virginia",NA,67
"West Virginia",49,67
"West Virginia",48,40
"West Virginia",45,47
"West Virginia",51,45
"West Virginia",40,77
"West Virginia",76,54
"West Virginia",24,62
"West Virginia",49,NA
"West Virginia",44,45
"West Virginia",53,72
"West Virginia",33,53
"West Virginia",40,73
"West Virginia",66,NA
"West Virginia",67,NA
"West Virginia",56,61
"West Virginia",35,60
"West Virginia",55,90
"West Virginia",56,82
"West Virginia",49,NA
"West Virginia",NA,56
"West Virginia",40,NA
"West Virginia",57,25
"West Virginia",68,49
"West Virginia",51,78
"West Virginia",56,50
"West Virginia",62,42
"West Virginia",54,NA
"West Virginia",52,65
"West Virginia",70,77
"West Virginia",74,NA
"West Virginia",37,58
"West Virginia",73,70
"West Virginia",NA,71
"West Virginia",63,72
"West Virginia",51,62
"West Virginia",73,54
"West Virginia",57,42
"West Virginia",44,77
"West Virginia",67,77
"West Virginia",92,66
"West Virginia",69,63
"West Virginia",52,NA
"West Virginia",52,66
"West Virginia",NA,62
"West Virginia",33,48
"West Virginia",31,46
"West Virginia",50,66
"West Virginia",44,70
"West Virginia",84,47
"West Virginia",28,NA
"West Virginia",41,79
"West Virginia",55,57
"West Virginia",32,91
"West Virginia",40,42
"West Virginia",64,96
"West Virginia",68,36
"West Virginia",39,75
"West Virginia",32,34
"West Virginia",59,88
"West Virginia",43,63
"West Virginia",59,62
"West Virginia",37,60
"West Virginia",67,53
"West Virginia",44,86
"West Virginia",43,69
"West Virginia",38,NA
"West Virginia",45,55
"West Virginia",65,72
"West Virginia",33,77
"West Virginia",49,62
"West Virginia",82,45
"West Virginia",23,42
"West Virginia",NA,NA
"West Virginia",18,55
"West Virginia",44,64
"West Virginia",21,39
