"state","pre","post"
"Wisconsin",51,41
"Wisconsin",47,55
"Wisconsin",45,60
"Wisconsin",53,68
"Wisconsin",68,NA
"Wisconsin",87,38
"Wisconsin",57,NA
"Wisconsin",53,82
"Wisconsin",48,44
"Wisconsin",67,34
"Wisconsin",98,65
"Wisconsin",55,53
"Wisconsin",50,48
"Wisconsin",48,NA
"Wisconsin",62,69
"Wisconsin",50,53
"Wisconsin",77,48
"Wisconsin",61,NA
"Wisconsin",56,NA
"Wisconsin",74,NA
"Wisconsin",52,47
"Wisconsin",44,NA
"Wisconsin",77,NA
"Wisconsin",64,60
"Wisconsin",61,NA
"Wisconsin",45,NA
"Wisconsin",64,77
"Wisconsin",73,50
"Wisconsin",78,NA
"Wisconsin",44,66
"Wisconsin",24,NA
"Wisconsin",41,62
"Wisconsin",39,76
"Wisconsin",70,NA
"Wisconsin",61,55
"Wisconsin",64,21
"Wisconsin",55,NA
"Wisconsin",52,42
"Wisconsin",NA,NA
"Wisconsin",86,NA
"Wisconsin",71,64
"Wisconsin",56,NA
"Wisconsin",58,69
"Wisconsin",45,46
"Wisconsin",56,42
"Wisconsin",NA,NA
"Wisconsin",58,NA
"Wisconsin",42,NA
"Wisconsin",56,NA
"Wisconsin",48,NA
"Wisconsin",57,87
"Wisconsin",44,73
"Wisconsin",68,49
"Wisconsin",52,NA
"Wisconsin",66,22
"Wisconsin",51,63
"Wisconsin",71,NA
"Wisconsin",64,45
"Wisconsin",46,NA
"Wisconsin",59,57
"Wisconsin",65,54
"Wisconsin",66,44
"Wisconsin",49,42
"Wisconsin",40,NA
"Wisconsin",70,NA
"Wisconsin",66,59
"Wisconsin",41,68
"Wisconsin",60,NA
"Wisconsin",45,82
"Wisconsin",NA,NA
"Wisconsin",36,67
"Wisconsin",28,62
"Wisconsin",48,29
"Wisconsin",84,56
"Wisconsin",79,64
"Wisconsin",58,60
"Wisconsin",53,52
"Wisconsin",56,53
"Wisconsin",NA,59
"Wisconsin",55,70
"Wisconsin",59,55
"Wisconsin",67,NA
"Wisconsin",98,NA
"Wisconsin",68,45
"Wisconsin",58,51
"Wisconsin",30,51
"Wisconsin",52,59
"Wisconsin",NA,54
"Wisconsin",69,59
"Wisconsin",66,62
"Wisconsin",52,NA
"Wisconsin",70,84
"Wisconsin",56,59
"Wisconsin",54,36
"Wisconsin",65,NA
"Wisconsin",74,66
"Wisconsin",61,85
"Wisconsin",91,47
"Wisconsin",48,52
"Wisconsin",NA,NA
"Wisconsin",84,33
"Wisconsin",46,26
"Wisconsin",84,66
"Wisconsin",NA,60
"Wisconsin",32,62
"Wisconsin",48,NA
"Wisconsin",53,NA
"Wisconsin",54,45
"Wisconsin",47,NA
"Wisconsin",77,73
"Wisconsin",73,61
"Wisconsin",63,53
"Wisconsin",44,51
"Wisconsin",55,63
"Wisconsin",40,50
"Wisconsin",47,53
"Wisconsin",57,NA
"Wisconsin",50,47
"Wisconsin",57,35
"Wisconsin",44,26
"Wisconsin",NA,62
"Wisconsin",30,53
"Wisconsin",85,74
"Wisconsin",58,70
"Wisconsin",70,NA
"Wisconsin",NA,66
"Wisconsin",68,NA
"Wisconsin",84,91
"Wisconsin",63,NA
"Wisconsin",58,74
"Wisconsin",44,58
"Wisconsin",51,67
"Wisconsin",62,48
"Wisconsin",71,58
"Wisconsin",68,NA
"Wisconsin",54,66
"Wisconsin",49,NA
"Wisconsin",81,51
"Wisconsin",48,54
"Wisconsin",56,66
"Wisconsin",71,58
"Wisconsin",30,28
"Wisconsin",74,54
"Wisconsin",48,NA
"Wisconsin",70,NA
"Wisconsin",40,NA
"Wisconsin",83,60
"Wisconsin",57,52
"Wisconsin",72,39
"Wisconsin",57,NA
"Wisconsin",56,NA
"Wisconsin",44,57
"Wisconsin",56,NA
"Wisconsin",61,55
"Wisconsin",44,64
"Wisconsin",74,83
"Wisconsin",42,34
"Wisconsin",87,NA
"Wisconsin",54,NA
"Wisconsin",79,59
"Wisconsin",NA,76
"Wisconsin",45,40
"Wisconsin",77,NA
"Wisconsin",41,65
"Wisconsin",49,65
"Wisconsin",68,50
"Wisconsin",68,33
"Wisconsin",58,NA
"Wisconsin",64,51
"Wisconsin",60,58
"Wisconsin",76,41
"Wisconsin",NA,NA
"Wisconsin",28,43
"Wisconsin",90,47
"Wisconsin",53,NA
"Wisconsin",64,52
"Wisconsin",49,50
"Wisconsin",NA,36
"Wisconsin",46,63
"Wisconsin",60,65
"Wisconsin",53,45
"Wisconsin",72,NA
"Wisconsin",58,NA
"Wisconsin",NA,NA
"Wisconsin",75,NA
"Wisconsin",42,NA
"Wisconsin",81,59
"Wisconsin",35,22
"Wisconsin",56,NA
"Wisconsin",38,46
"Wisconsin",62,78
"Wisconsin",60,44
"Wisconsin",33,53
"Wisconsin",43,NA
"Wisconsin",66,NA
"Wisconsin",73,53
"Wisconsin",35,NA
"Wisconsin",57,42
"Wisconsin",60,NA
"Wisconsin",24,NA
"Wisconsin",59,60
"Wisconsin",NA,53
"Wisconsin",61,67
"Wisconsin",67,52
"Wisconsin",43,69
"Wisconsin",54,34
"Wisconsin",50,NA
"Wisconsin",65,76
"Wisconsin",38,58
"Wisconsin",32,41
"Wisconsin",66,54
"Wisconsin",43,NA
"Wisconsin",83,NA
"Wisconsin",66,NA
"Wisconsin",87,47
"Wisconsin",37,45
"Wisconsin",44,28
"Wisconsin",NA,52
"Wisconsin",75,85
"Wisconsin",54,56
"Wisconsin",36,NA
"Wisconsin",61,45
"Wisconsin",NA,NA
"Wisconsin",68,NA
"Wisconsin",81,61
"Wisconsin",53,69
"Wisconsin",56,35
"Wisconsin",34,NA
"Wisconsin",85,59
"Wisconsin",60,52
"Wisconsin",47,67
"Wisconsin",66,NA
"Wisconsin",51,NA
"Wisconsin",NA,27
"Wisconsin",25,50
"Wisconsin",55,NA
"Wisconsin",34,40
"Wisconsin",57,41
"Wisconsin",67,56
"Wisconsin",78,74
"Wisconsin",NA,NA
"Wisconsin",42,42
"Wisconsin",71,NA
"Wisconsin",69,NA
"Wisconsin",64,NA
"Wisconsin",50,48
"Wisconsin",68,71
"Wisconsin",NA,37
"Wisconsin",58,52
"Wisconsin",56,65
"Wisconsin",NA,77
"Wisconsin",66,NA
"Wisconsin",NA,57
"Wisconsin",66,50
"Wisconsin",64,53
"Wisconsin",73,NA
"Wisconsin",52,50
"Wisconsin",45,58
"Wisconsin",81,60
"Wisconsin",56,60
"Wisconsin",41,68
"Wisconsin",42,48
"Wisconsin",30,41
"Wisconsin",80,67
"Wisconsin",NA,78
"Wisconsin",53,55
"Wisconsin",47,81
"Wisconsin",54,NA
"Wisconsin",60,29
"Wisconsin",NA,71
"Wisconsin",23,52
"Wisconsin",63,NA
"Wisconsin",61,33
"Wisconsin",54,56
"Wisconsin",94,55
"Wisconsin",81,NA
"Wisconsin",63,39
"Wisconsin",75,15
"Wisconsin",55,55
"Wisconsin",50,NA
"Wisconsin",49,NA
"Wisconsin",57,64
"Wisconsin",72,77
"Wisconsin",64,60
"Wisconsin",49,56
"Wisconsin",48,72
"Wisconsin",45,75
"Wisconsin",NA,71
"Wisconsin",33,53
"Wisconsin",57,74
"Wisconsin",46,41
"Wisconsin",52,71
"Wisconsin",22,NA
"Wisconsin",58,81
"Wisconsin",76,49
"Wisconsin",38,78
"Wisconsin",63,NA
"Wisconsin",72,NA
"Wisconsin",NA,74
"Wisconsin",73,NA
"Wisconsin",36,26
"Wisconsin",63,54
"Wisconsin",71,NA
"Wisconsin",57,52
"Wisconsin",53,73
"Wisconsin",30,74
"Wisconsin",87,NA
"Wisconsin",57,90
"Wisconsin",NA,64
"Wisconsin",36,68
"Wisconsin",65,NA
"Wisconsin",70,NA
"Wisconsin",83,52
"Wisconsin",63,NA
"Wisconsin",50,62
"Wisconsin",48,46
"Wisconsin",37,NA
"Wisconsin",65,16
"Wisconsin",65,61
"Wisconsin",50,32
"Wisconsin",62,NA
"Wisconsin",80,51
"Wisconsin",52,49
"Wisconsin",55,43
"Wisconsin",71,57
"Wisconsin",67,65
"Wisconsin",84,43
"Wisconsin",73,37
"Wisconsin",48,NA
"Wisconsin",56,42
"Wisconsin",48,58
"Wisconsin",68,52
"Wisconsin",52,41
"Wisconsin",53,62
"Wisconsin",60,NA
"Wisconsin",61,75
"Wisconsin",40,44
"Wisconsin",45,80
"Wisconsin",68,56
"Wisconsin",71,NA
"Wisconsin",NA,48
"Wisconsin",48,66
"Wisconsin",73,72
"Wisconsin",56,67
"Wisconsin",62,56
"Wisconsin",70,48
"Wisconsin",69,59
"Wisconsin",NA,32
"Wisconsin",78,65
"Wisconsin",72,39
"Wisconsin",47,64
"Wisconsin",87,53
"Wisconsin",NA,53
"Wisconsin",42,NA
"Wisconsin",52,39
"Wisconsin",86,37
"Wisconsin",41,NA
"Wisconsin",46,62
"Wisconsin",43,54
"Wisconsin",NA,68
"Wisconsin",70,59
"Wisconsin",29,14
"Wisconsin",52,43
"Wisconsin",89,NA
"Wisconsin",60,36
"Wisconsin",72,NA
"Wisconsin",69,48
"Wisconsin",51,43
"Wisconsin",NA,61
"Wisconsin",68,66
"Wisconsin",39,29
"Wisconsin",79,79
"Wisconsin",59,42
"Wisconsin",71,47
"Wisconsin",46,57
"Wisconsin",67,NA
"Wisconsin",69,33
"Wisconsin",42,58
"Wisconsin",52,60
"Wisconsin",29,22
"Wisconsin",59,52
"Wisconsin",NA,68
"Wisconsin",77,51
"Wisconsin",67,36
"Wisconsin",64,63
"Wisconsin",93,NA
"Wisconsin",35,66
"Wisconsin",55,NA
"Wisconsin",70,54
"Wisconsin",58,NA
"Wisconsin",46,67
"Wisconsin",58,NA
"Wisconsin",52,NA
"Wisconsin",NA,58
"Wisconsin",61,NA
"Wisconsin",NA,61
"Wisconsin",50,NA
"Wisconsin",60,52
"Wisconsin",71,NA
"Wisconsin",80,50
"Wisconsin",68,37
"Wisconsin",65,51
"Wisconsin",NA,66
"Wisconsin",57,47
"Wisconsin",76,64
"Wisconsin",50,NA
"Wisconsin",50,NA
"Wisconsin",60,68
"Wisconsin",22,79
"Wisconsin",85,68
"Wisconsin",NA,NA
"Wisconsin",37,NA
"Wisconsin",66,70
"Wisconsin",NA,83
"Wisconsin",68,31
"Wisconsin",60,48
"Wisconsin",58,28
"Wisconsin",32,66
"Wisconsin",26,69
"Wisconsin",26,55
"Wisconsin",75,78
"Wisconsin",62,39
"Wisconsin",39,73
"Wisconsin",76,47
"Wisconsin",53,44
"Wisconsin",65,76
"Wisconsin",63,NA
"Wisconsin",56,NA
"Wisconsin",NA,55
"Wisconsin",78,71
"Wisconsin",48,NA
"Wisconsin",53,NA
"Wisconsin",NA,NA
"Wisconsin",88,32
"Wisconsin",44,41
"Wisconsin",38,NA
"Wisconsin",62,19
"Wisconsin",56,41
"Wisconsin",59,84
"Wisconsin",83,60
"Wisconsin",61,NA
"Wisconsin",50,62
"Wisconsin",51,NA
"Wisconsin",NA,NA
"Wisconsin",31,NA
"Wisconsin",73,44
"Wisconsin",NA,38
"Wisconsin",NA,60
"Wisconsin",NA,57
"Wisconsin",69,68
"Wisconsin",62,64
"Wisconsin",65,62
"Wisconsin",67,NA
"Wisconsin",73,39
"Wisconsin",NA,64
"Wisconsin",94,62
"Wisconsin",75,68
"Wisconsin",31,68
"Wisconsin",57,71
"Wisconsin",56,39
"Wisconsin",NA,66
"Wisconsin",NA,NA
"Wisconsin",66,52
"Wisconsin",65,46
"Wisconsin",40,63
"Wisconsin",80,61
"Wisconsin",66,45
"Wisconsin",NA,68
"Wisconsin",58,37
"Wisconsin",51,25
"Wisconsin",78,62
"Wisconsin",77,50
"Wisconsin",61,NA
"Wisconsin",51,57
"Wisconsin",59,61
"Wisconsin",NA,39
"Wisconsin",NA,56
"Wisconsin",79,NA
"Wisconsin",69,NA
"Wisconsin",49,62
"Wisconsin",42,66
"Wisconsin",36,82
"Wisconsin",53,49
"Wisconsin",56,NA
"Wisconsin",51,NA
"Wisconsin",69,46
"Wisconsin",50,49
"Wisconsin",81,84
"Wisconsin",33,54
"Wisconsin",57,74
"Wisconsin",60,NA
"Wisconsin",54,46
"Wisconsin",61,NA
"Wisconsin",NA,34
"Wisconsin",34,NA
"Wisconsin",51,56
"Wisconsin",60,69
"Wisconsin",93,43
"Wisconsin",63,61
"Wisconsin",51,60
"Wisconsin",67,50
"Wisconsin",61,54
"Wisconsin",55,52
"Wisconsin",58,46
"Wisconsin",22,NA
"Wisconsin",64,73
"Wisconsin",88,NA
"Wisconsin",47,60
"Wisconsin",71,42
"Wisconsin",53,45
"Wisconsin",60,69
"Wisconsin",93,NA
"Wisconsin",63,68
"Wisconsin",49,84
"Wisconsin",68,89
"Wisconsin",67,NA
"Wisconsin",NA,66
"Wisconsin",40,NA
"Wisconsin",49,44
"Wisconsin",57,56
"Wisconsin",77,NA
"Wisconsin",81,64
"Wisconsin",56,59
"Wisconsin",45,67
"Wisconsin",59,72
"Wisconsin",56,77
"Wisconsin",44,NA
"Wisconsin",53,67
"Wisconsin",60,NA
"Wisconsin",58,44
"Wisconsin",80,NA
"Wisconsin",58,53
"Wisconsin",59,42
"Wisconsin",74,53
"Wisconsin",44,61
"Wisconsin",NA,50
"Wisconsin",49,NA
"Wisconsin",66,41
"Wisconsin",52,59
"Wisconsin",58,NA
"Wisconsin",NA,44
"Wisconsin",31,76
"Wisconsin",75,65
"Wisconsin",49,NA
"Wisconsin",48,NA
"Wisconsin",NA,64
"Wisconsin",52,61
"Wisconsin",22,44
"Wisconsin",90,68
"Wisconsin",61,63
"Wisconsin",64,54
"Wisconsin",51,81
"Wisconsin",35,47
"Wisconsin",36,NA
"Wisconsin",49,64
"Wisconsin",44,NA
"Wisconsin",63,NA
"Wisconsin",70,33
"Wisconsin",NA,NA
"Wisconsin",58,NA
"Wisconsin",NA,62
"Wisconsin",66,72
"Wisconsin",86,45
"Wisconsin",38,46
"Wisconsin",44,NA
"Wisconsin",71,53
"Wisconsin",54,67
"Wisconsin",52,35
"Wisconsin",82,36
"Wisconsin",73,53
"Wisconsin",62,53
"Wisconsin",66,NA
"Wisconsin",59,77
"Wisconsin",53,68
"Wisconsin",48,70
"Wisconsin",44,68
"Wisconsin",77,46
"Wisconsin",78,46
"Wisconsin",74,NA
"Wisconsin",52,76
"Wisconsin",68,59
"Wisconsin",72,50
"Wisconsin",68,40
"Wisconsin",NA,NA
"Wisconsin",67,NA
"Wisconsin",56,54
"Wisconsin",22,46
"Wisconsin",74,28
"Wisconsin",46,47
"Wisconsin",60,49
"Wisconsin",76,NA
"Wisconsin",66,33
"Wisconsin",55,42
"Wisconsin",49,NA
"Wisconsin",63,NA
"Wisconsin",45,70
"Wisconsin",60,63
"Wisconsin",54,71
"Wisconsin",NA,79
"Wisconsin",78,29
"Wisconsin",34,30
"Wisconsin",51,NA
"Wisconsin",NA,NA
"Wisconsin",43,65
"Wisconsin",54,77
"Wisconsin",44,54
"Wisconsin",63,63
"Wisconsin",58,84
"Wisconsin",69,44
"Wisconsin",58,70
"Wisconsin",42,NA
"Wisconsin",NA,18
"Wisconsin",56,64
"Wisconsin",69,NA
"Wisconsin",87,49
"Wisconsin",77,61
"Wisconsin",NA,72
"Wisconsin",49,64
"Wisconsin",64,61
"Wisconsin",59,70
"Wisconsin",49,NA
"Wisconsin",50,68
"Wisconsin",81,52
"Wisconsin",71,NA
"Wisconsin",72,44
"Wisconsin",77,59
