"state","pre","post"
"Wyoming",60,34
"Wyoming",57,49
"Wyoming",38,78
"Wyoming",38,76
"Wyoming",56,31
"Wyoming",50,45
"Wyoming",17,NA
"Wyoming",25,47
"Wyoming",19,68
"Wyoming",10,NA
"Wyoming",53,44
"Wyoming",13,58
"Wyoming",37,39
"Wyoming",54,NA
"Wyoming",NA,68
"Wyoming",8,75
"Wyoming",40,57
"Wyoming",11,56
"Wyoming",25,42
"Wyoming",51,48
"Wyoming",55,57
"Wyoming",46,NA
"Wyoming",29,33
"Wyoming",64,25
"Wyoming",56,36
"Wyoming",16,NA
"Wyoming",16,63
"Wyoming",NA,39
"Wyoming",43,51
"Wyoming",33,35
"Wyoming",67,55
"Wyoming",40,63
"Wyoming",37,52
"Wyoming",65,48
"Wyoming",37,NA
"Wyoming",40,70
"Wyoming",46,51
"Wyoming",21,52
"Wyoming",43,46
"Wyoming",48,NA
"Wyoming",24,39
"Wyoming",44,65
"Wyoming",24,48
"Wyoming",NA,NA
"Wyoming",28,52
"Wyoming",NA,NA
"Wyoming",18,60
"Wyoming",NA,NA
"Wyoming",46,55
"Wyoming",55,NA
"Wyoming",9,80
"Wyoming",52,35
"Wyoming",16,55
"Wyoming",15,59
"Wyoming",59,63
"Wyoming",32,67
"Wyoming",17,NA
"Wyoming",4,33
"Wyoming",23,44
"Wyoming",39,26
"Wyoming",41,49
"Wyoming",44,39
"Wyoming",27,61
"Wyoming",22,48
"Wyoming",30,NA
"Wyoming",11,66
"Wyoming",30,54
"Wyoming",41,40
"Wyoming",29,69
"Wyoming",22,31
"Wyoming",28,NA
"Wyoming",26,75
"Wyoming",55,56
"Wyoming",25,44
"Wyoming",49,46
"Wyoming",30,NA
"Wyoming",43,57
"Wyoming",53,79
"Wyoming",36,48
"Wyoming",72,51
"Wyoming",34,NA
"Wyoming",42,70
"Wyoming",24,NA
"Wyoming",38,48
"Wyoming",42,29
"Wyoming",29,41
"Wyoming",66,29
"Wyoming",38,38
"Wyoming",41,85
"Wyoming",42,44
"Wyoming",56,36
"Wyoming",51,62
"Wyoming",22,51
"Wyoming",14,69
"Wyoming",18,29
"Wyoming",33,59
"Wyoming",43,55
"Wyoming",21,50
"Wyoming",32,55
"Wyoming",41,53
"Wyoming",15,34
"Wyoming",20,44
"Wyoming",NA,46
"Wyoming",41,67
"Wyoming",39,57
"Wyoming",48,54
"Wyoming",10,75
"Wyoming",39,NA
"Wyoming",2,NA
"Wyoming",37,80
"Wyoming",41,79
"Wyoming",30,28
"Wyoming",13,35
"Wyoming",60,NA
"Wyoming",16,29
"Wyoming",32,68
"Wyoming",25,64
"Wyoming",26,72
"Wyoming",68,70
"Wyoming",53,41
"Wyoming",48,53
"Wyoming",33,51
"Wyoming",6,42
"Wyoming",46,NA
"Wyoming",23,25
"Wyoming",37,82
"Wyoming",44,55
"Wyoming",64,24
"Wyoming",22,40
"Wyoming",31,84
"Wyoming",26,51
"Wyoming",38,40
"Wyoming",55,50
"Wyoming",47,23
"Wyoming",39,41
"Wyoming",45,61
"Wyoming",53,40
"Wyoming",39,56
"Wyoming",16,43
"Wyoming",21,64
"Wyoming",34,27
"Wyoming",58,49
"Wyoming",29,50
"Wyoming",26,59
"Wyoming",61,55
"Wyoming",22,74
"Wyoming",37,20
"Wyoming",27,83
"Wyoming",29,55
"Wyoming",20,64
"Wyoming",30,38
"Wyoming",NA,48
"Wyoming",26,52
"Wyoming",15,50
"Wyoming",43,63
"Wyoming",27,NA
"Wyoming",45,71
"Wyoming",52,61
"Wyoming",19,NA
"Wyoming",40,30
"Wyoming",40,69
"Wyoming",54,64
"Wyoming",NA,36
"Wyoming",43,NA
"Wyoming",69,54
"Wyoming",26,54
"Wyoming",27,NA
"Wyoming",40,NA
"Wyoming",43,47
"Wyoming",59,52
"Wyoming",24,32
"Wyoming",26,33
"Wyoming",15,87
"Wyoming",50,56
"Wyoming",49,45
"Wyoming",33,49
"Wyoming",25,41
"Wyoming",35,53
"Wyoming",37,97
"Wyoming",32,NA
"Wyoming",48,28
"Wyoming",48,55
"Wyoming",52,49
"Wyoming",32,NA
"Wyoming",NA,56
