"state","pre","post"
"Indiana",80,72
"Indiana",73,NA
"Indiana",84,77
"Indiana",NA,56
"Indiana",71,76
"Indiana",59,57
"Indiana",NA,87
"Indiana",60,75
"Indiana",46,61
"Indiana",69,59
"Indiana",53,53
"Indiana",48,75
"Indiana",72,81
"Indiana",60,58
"Indiana",51,75
"Indiana",53,67
"Indiana",40,83
"Indiana",40,50
"Indiana",60,45
"Indiana",76,59
"Indiana",64,55
"Indiana",45,74
"Indiana",67,51
"Indiana",90,60
"Indiana",33,82
"Indiana",89,93
"Indiana",NA,80
"Indiana",56,88
"Indiana",NA,31
"Indiana",38,44
"Indiana",38,67
"Indiana",67,93
"Indiana",69,56
"Indiana",35,48
"Indiana",67,58
"Indiana",76,50
"Indiana",NA,93
"Indiana",53,81
"Indiana",58,NA
"Indiana",45,31
"Indiana",70,70
"Indiana",49,69
"Indiana",56,83
"Indiana",60,81
"Indiana",65,NA
"Indiana",67,57
"Indiana",50,NA
"Indiana",53,64
"Indiana",42,NA
"Indiana",55,87
"Indiana",86,76
"Indiana",NA,81
"Indiana",54,NA
"Indiana",62,86
"Indiana",94,72
"Indiana",50,91
"Indiana",89,NA
"Indiana",69,64
"Indiana",43,63
"Indiana",58,47
"Indiana",40,57
"Indiana",53,NA
"Indiana",59,63
"Indiana",57,65
"Indiana",57,47
"Indiana",23,87
"Indiana",59,70
"Indiana",49,60
"Indiana",39,65
"Indiana",60,86
"Indiana",81,63
"Indiana",86,63
"Indiana",31,47
"Indiana",59,NA
"Indiana",27,72
"Indiana",54,52
"Indiana",56,52
"Indiana",48,73
"Indiana",61,62
"Indiana",52,60
"Indiana",66,48
"Indiana",62,70
"Indiana",77,89
"Indiana",40,55
"Indiana",33,NA
"Indiana",34,56
"Indiana",NA,91
"Indiana",18,NA
"Indiana",69,57
"Indiana",47,NA
"Indiana",62,71
"Indiana",48,NA
"Indiana",62,78
"Indiana",56,87
"Indiana",62,65
"Indiana",62,81
"Indiana",47,60
"Indiana",54,NA
"Indiana",60,69
"Indiana",NA,45
"Indiana",52,79
"Indiana",55,76
"Indiana",78,62
"Indiana",57,66
"Indiana",59,79
"Indiana",66,78
"Indiana",24,63
"Indiana",34,88
"Indiana",38,66
"Indiana",NA,NA
"Indiana",57,70
"Indiana",NA,60
"Indiana",24,66
"Indiana",86,65
"Indiana",70,45
"Indiana",86,71
"Indiana",48,72
"Indiana",59,56
"Indiana",65,74
"Indiana",71,55
"Indiana",64,81
"Indiana",90,56
"Indiana",60,54
"Indiana",34,54
"Indiana",80,52
"Indiana",32,65
"Indiana",56,64
"Indiana",62,42
"Indiana",23,94
"Indiana",54,NA
"Indiana",55,79
"Indiana",47,90
"Indiana",54,53
"Indiana",26,64
"Indiana",55,86
"Indiana",63,84
"Indiana",78,58
"Indiana",57,73
"Indiana",56,55
"Indiana",56,86
"Indiana",58,78
"Indiana",66,67
"Indiana",74,48
"Indiana",NA,56
"Indiana",43,39
"Indiana",73,66
"Indiana",68,84
"Indiana",47,NA
"Indiana",50,60
"Indiana",49,NA
"Indiana",33,67
"Indiana",37,64
"Indiana",69,75
"Indiana",49,59
"Indiana",42,76
"Indiana",54,76
"Indiana",57,76
"Indiana",46,76
"Indiana",74,45
"Indiana",47,85
"Indiana",46,70
"Indiana",83,81
"Indiana",74,76
"Indiana",38,NA
"Indiana",68,61
"Indiana",68,58
"Indiana",73,92
